,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,996895.6
2026-01-27,996934.6
2026-01-28,1000241.7999999999
2026-01-29,1001950.0
2026-01-30,1002285.3999999999
2026-02-01,991810.0
2026-02-02,990055.0
2026-02-03,990055.0000000001
2026-02-04,999573.7000000001
2026-02-05,1000123.2200000001
2026-02-06,995759.53
2026-02-09,1009597.9700000001
2026-02-10,1023671.9400000001
2026-02-11,1029312.8200000001
2026-02-12,1032346.9
2026-02-13,1021490.79
2026-02-16,1031219.16
2026-02-17,1037045.49
2026-02-18,1042078.6300000001
2026-02-19,1023584.98
2026-02-20,1031672.02
2026-02-23,1040568.81
2026-02-24,1041812.39
2026-02-25,1053424.06
2026-02-26,1060289.25
2026-02-27,1054955.87
2026-03-02,1053877.86
2026-03-04,1040315.7100000002
2026-03-05,1057534.9300000002
2026-03-06,1056030.6
2026-03-09,1040488.6500000001
2026-03-10,1048542.2500000001
2026-03-11,1038140.5500000002
2026-03-12,1036529.6500000001
2026-03-13,1023318.8500000001
2026-03-16,1019432.75
2026-03-17,1031161.55
2026-03-18,1022917.9500000001
2026-03-19,1005408.2500000001
2026-03-20,999342.3500000001
2026-03-23,990867.8500000001
2026-03-24,990558.9500000001
2026-03-25,998172.9500000001
2026-03-27,998606.9500000001
2026-03-30,993321.9500000001
2026-04-01,992858.05
2026-04-02,992009.6500000001
2026-04-06,992686.3500000001
2026-04-07,991635.9500000001
2026-04-08,992211.6500000001
2026-04-09,992686.3500000001
2026-04-10,993595.3500000001
2026-04-13,992625.75
2026-04-15,996069.8500000001
2026-04-16,997342.4500000001
2026-04-17,997291.9500000001
2026-04-20,995453.75
2026-04-21,997867.6500000001
2026-04-22,1000847.1500000001
2026-04-23,1002281.3500000001
2026-04-24,1000099.75
2026-04-27,1000392.6500000001
2026-04-28,1000988.55
2026-04-29,998382.75
2026-04-30,996259.7500000001
2026-05-04,993003.9500000002
2026-05-05,998823.3500000001
2026-05-06,1013639.4000000001
2026-05-07,1022261.9500000002
2026-05-08,1023460.6000000001
2026-05-11,1020618.3
2026-05-12,999680.9000000001
2026-05-13,1001378.3000000002
2026-05-14,1019751.2000000001
2026-05-15,1011582.0000000001
2026-05-18,1003642.4
2026-05-19,1001439.4000000001
2026-05-20,1014427.5000000002
2026-05-21,1022043.2000000002
2026-05-22,1026900.5000000002
2026-05-25,1030268.3000000002
2026-05-26,1034926.7000000002
2026-05-27,1047599.8000000002
2026-05-29,1045530.4000000001
2026-06-01,1034744.1000000001
2026-06-02,1035922.5000000001
2026-06-03,1037350.5000000001
2026-06-04,1039618.8000000002
2026-06-05,1040575.1000000001
2026-06-08,1027906.8
2026-06-09,1048463.7000000001
2026-06-10,1037555.7000000001
2026-06-11,1037312.0000000001
2026-06-12,1047583.1000000001
2026-06-15,1056971.7000000002
2026-06-16,1056155.0
2026-06-17,1064548.6
2026-06-18,1064707.7000000002
2026-06-19,1079005.0
2026-06-22,1081754.4000000001
2026-06-23,1075689.4000000001
2026-06-24,1065645.8000000003
2026-06-25,1060687.8000000003
2026-06-29,1056880.1
2026-06-30,1059260.6
2026-07-01,1057158.0500000003
2026-07-02,1054238.35
2026-07-03,1046021.5500000002
2026-07-06,1047924.0500000002
2026-07-07,1047266.6500000001
2026-07-08,1040695.9500000002
2026-07-09,1039772.7500000002
2026-07-10,1050480.25
2026-07-13,1051824.05
2026-07-14,1054227.4500000002
2026-07-15,1047392.9500000002
2026-07-16,1045267.1500000001
2026-07-17,1051263.9500000002
2026-07-20,1055004.6500000001
2026-07-21,1056225.15
2026-07-22,1047992.2500000001
2026-07-23,1033909.8500000002
2026-07-24,1033082.4500000002
2026-07-27,1037975.3500000002
2026-07-28,1030600.8500000002
2026-07-29,1034074.6000000002
2026-07-30,1031682.8000000002
2026-07-31,1036432.0000000002
2026-08-03,1046797.8000000002
2026-08-04,1064630.7000000002
2026-08-05,1068952.0000000002
2026-08-06,1068965.8000000003
2026-08-07,1070786.8
2026-08-10,1064383.0000000002
2026-08-11,1060372.4000000001
2026-08-12,1062792.2000000002
2026-08-13,1061902.3000000003
2026-08-14,1060019.8000000003
2026-08-17,1060263.1
2026-08-18,1060515.7000000002
