,equity
2026-01-14,1000000.0
2026-01-16,1010060.0299999998
2026-01-19,1011361.7299999997
2026-01-20,1001871.3099999998
2026-01-21,993910.3399999999
2026-01-22,1019353.0499999998
2026-01-23,1012679.6199999998
2026-01-27,1023254.3699999998
2026-01-28,1037212.3699999998
2026-01-29,1047464.7199999999
2026-01-30,1025392.8699999999
2026-02-01,989940.5199999998
2026-02-02,988151.7699999998
2026-02-03,988151.7699999998
2026-02-04,986336.6699999997
2026-02-05,986707.4099999997
2026-02-06,988406.0799999997
2026-02-09,989903.2599999997
2026-02-10,997665.0499999997
2026-02-11,997137.0099999997
2026-02-12,999587.1699999997
2026-02-13,987915.5999999996
2026-02-16,993391.8899999997
2026-02-17,997220.8499999996
2026-02-18,1003094.9299999997
2026-02-19,992228.2799999997
2026-02-20,1003313.8599999996
2026-02-23,1011258.9399999997
2026-02-24,1008899.9499999997
2026-02-25,1017787.5899999997
2026-02-26,1014483.6699999997
2026-02-27,1007697.9599999997
2026-03-02,997981.7899999997
2026-03-04,983849.1399999997
2026-03-05,988032.5799999997
2026-03-06,980669.1199999996
2026-03-09,959245.7699999998
2026-03-10,959006.1699999997
2026-03-11,963695.3199999997
2026-03-12,961667.9199999997
2026-03-13,944814.0699999997
2026-03-16,934567.8199999997
2026-03-17,937886.4199999997
2026-03-18,937827.8699999998
2026-03-19,928535.2699999997
2026-03-20,936862.7699999997
2026-03-23,926397.4199999997
2026-03-24,927552.8199999997
2026-03-25,937235.1699999997
2026-03-27,943547.9899999996
2026-03-30,935222.3999999997
2026-04-01,939138.2799999997
2026-04-02,931939.0899999996
2026-04-06,932576.6299999997
2026-04-07,935181.5299999997
2026-04-08,943212.2699999997
2026-04-09,944827.3699999996
2026-04-10,943733.2699999997
2026-04-13,944280.3199999997
2026-04-15,944306.3699999996
2026-04-16,941779.5199999997
2026-04-17,942456.8199999997
2026-04-20,942092.1199999996
2026-04-21,941961.8699999996
2026-04-22,942248.4199999997
2026-04-23,943603.0199999997
2026-04-24,942847.5699999997
2026-04-27,943420.6699999997
2026-04-28,950037.3699999996
2026-04-29,950037.3699999996
2026-04-30,950037.3699999996
2026-05-04,950037.3699999996
2026-05-05,950037.3699999996
2026-05-06,950037.3699999996
2026-05-07,950037.3699999996
2026-05-08,950037.3699999996
2026-05-11,950037.3699999996
2026-05-12,950037.3699999996
2026-05-13,950037.3699999996
2026-05-14,955382.7699999997
2026-05-15,948257.3699999996
2026-05-18,944855.9699999996
2026-05-19,943841.0699999996
2026-05-20,951510.0699999996
2026-05-21,957351.4699999996
2026-05-22,959785.2699999997
2026-05-25,958695.0699999996
2026-05-26,964349.1699999997
2026-05-27,978209.4099999997
2026-05-29,975428.7899999996
2026-06-01,968532.8299999996
2026-06-02,972442.4699999996
2026-06-03,970007.9899999995
2026-06-04,974304.1199999995
2026-06-05,972409.7799999996
2026-06-08,947302.9799999995
2026-06-09,963762.4499999996
2026-06-10,954849.4199999996
2026-06-11,952076.5099999995
2026-06-12,968088.4399999996
2026-06-15,970948.1399999995
2026-06-16,969218.2299999995
2026-06-17,980881.1299999995
2026-06-18,986228.7399999995
2026-06-19,997287.5099999995
2026-06-22,1001408.5699999995
2026-06-23,1002694.2499999995
2026-06-24,984861.9099999995
2026-06-25,979884.0899999994
2026-06-29,993232.6299999994
2026-06-30,991968.1899999995
2026-07-01,983019.0099999995
2026-07-02,984887.0299999996
2026-07-03,989563.2499999995
2026-07-06,989512.7299999995
2026-07-07,985506.9899999995
2026-07-08,981861.4699999995
2026-07-09,983014.9899999995
2026-07-10,986535.9299999996
2026-07-13,983271.7099999995
2026-07-14,988886.2899999996
2026-07-15,986296.6899999996
2026-07-16,984795.2899999996
2026-07-17,974858.0299999996
2026-07-20,983068.4899999995
2026-07-21,987281.1899999995
2026-07-22,979185.1299999995
2026-07-23,964785.2699999996
2026-07-24,965900.6099999996
2026-07-27,978666.5099999995
2026-07-28,978012.0899999996
2026-07-29,981359.8599999996
2026-07-30,981922.2499999995
2026-07-31,982635.4199999995
2026-08-03,986896.0399999996
2026-08-04,988629.7399999995
2026-08-05,988940.2899999993
2026-08-06,987161.5399999996
2026-08-07,985883.8499999994
2026-08-10,987598.5799999994
2026-08-11,992244.5599999994
2026-08-12,995828.6899999995
2026-08-13,991346.2399999994
2026-08-14,981787.4799999994
2026-08-17,977838.1899999995
2026-08-18,977247.8899999994
