,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1004334.1942
2026-01-27,1004393.6942
2026-01-28,1052150.1985317594
2026-01-29,1045031.2029364812
2026-01-30,1045031.2029364812
2026-02-01,1045031.2029364812
2026-02-02,1045031.2029364812
2026-02-03,1045031.2029364812
2026-02-04,1051156.9529364812
2026-02-05,1057307.6329364814
2026-02-06,1057466.4329364814
2026-02-09,1059817.6329364814
2026-02-10,1068491.7329364815
2026-02-11,1075611.7829364813
2026-02-12,1077005.7829364813
2026-02-13,1069830.7829364813
2026-02-16,1073151.7829364813
2026-02-17,1073397.7829364813
2026-02-18,1072577.7829364813
2026-02-19,1080818.7829364813
2026-02-20,1084098.7829364813
2026-02-23,1081638.7829364813
2026-02-24,1082335.7829364813
2026-02-25,1083114.7829364813
2026-02-26,1085287.7829364813
2026-02-27,1086491.5429364813
2026-03-02,1086491.5429364813
2026-03-04,1086491.5429364813
2026-03-05,1086491.5429364813
2026-03-06,1092870.1585364812
2026-03-09,1083524.9585364815
2026-03-10,1092227.6785364815
2026-03-11,1104616.5785364814
2026-03-12,1099015.9785364815
2026-03-13,1082972.0785364814
2026-03-16,1075765.2785364813
2026-03-17,1083015.2785364813
2026-03-18,1082290.9785364815
2026-03-19,1070881.2785364813
2026-03-20,1076688.1785364812
2026-03-23,1064223.2785364813
2026-03-24,1063595.9785364813
2026-03-25,1069574.4964164812
2026-03-27,1069697.6164164813
2026-03-30,1060767.1764164814
2026-04-01,1065760.7564164815
2026-04-02,1061599.6164164813
2026-04-06,1065797.6564164814
2026-04-07,1065925.2564164815
2026-04-08,1074102.6427764813
2026-04-09,1074102.6427764813
2026-04-10,1074102.6427764813
2026-04-13,1074102.6427764813
2026-04-15,1074102.6427764813
2026-04-16,1074102.6427764813
2026-04-17,1074102.6427764813
2026-04-20,1074102.6427764813
2026-04-21,1074102.6427764813
2026-04-22,1074102.6427764813
2026-04-23,1074102.6427764813
2026-04-24,1074102.6427764813
2026-04-27,1074102.6427764813
2026-04-28,1074102.6427764813
2026-04-29,1074102.6427764813
2026-04-30,1074102.6427764813
2026-05-04,1074102.6427764813
2026-05-05,1074102.6427764813
2026-05-06,1074102.6427764813
2026-05-07,1074102.6427764813
2026-05-08,1074102.6427764813
2026-05-11,1074102.6427764813
2026-05-12,1074102.6427764813
2026-05-13,1074102.6427764813
2026-05-14,1074102.6427764813
2026-05-15,1074304.946104573
2026-05-18,1072636.2861045732
2026-05-19,1072463.666104573
2026-05-20,1073408.966104573
2026-05-21,1072660.946104573
2026-05-22,1078226.0861045732
2026-05-25,1090862.406104573
2026-05-26,1096244.706104573
2026-05-27,1098796.596120298
2026-05-29,1096300.596120298
2026-06-01,1094532.596120298
2026-06-02,1094038.596120298
2026-06-03,1099264.596120298
2026-06-04,1101412.1332082453
2026-06-05,1102309.1332082453
2026-06-08,1094669.1332082453
2026-06-09,1104208.1332082453
2026-06-10,1101465.1332082453
2026-06-11,1097914.1332082453
2026-06-12,1103854.1332082453
2026-06-15,1099251.1332082453
2026-06-16,1099099.1332082453
2026-06-17,1107901.1332082453
2026-06-18,1110215.1332082453
2026-06-19,1123585.8248535977
2026-06-22,1125640.8248535977
2026-06-23,1136652.1608535976
2026-06-24,1127652.8859175406
2026-06-25,1128304.6859175405
2026-06-29,1131659.8859175406
2026-06-30,1130202.2859175405
2026-07-01,1126491.6859175405
2026-07-02,1124510.2859175405
2026-07-03,1127344.5979175405
2026-07-06,1127344.5979175405
2026-07-07,1127344.5979175405
2026-07-08,1127344.5979175405
2026-07-09,1127344.5979175405
2026-07-10,1127344.5979175405
2026-07-13,1127344.5979175405
2026-07-14,1127344.5979175405
2026-07-15,1127344.5979175405
2026-07-16,1127344.5979175405
2026-07-17,1127344.5979175405
2026-07-20,1127344.5979175405
2026-07-21,1127344.5979175405
2026-07-22,1127344.5979175405
2026-07-23,1127344.5979175405
2026-07-24,1127344.5979175405
2026-07-27,1127344.5979175405
2026-07-28,1142465.2568475404
2026-07-29,1144006.9572575404
2026-07-30,1146417.5972575406
2026-07-31,1149252.7903575404
2026-08-03,1159561.4412119011
2026-08-04,1158699.701911901
2026-08-05,1163581.3019119008
2026-08-06,1163565.4019119008
2026-08-07,1158297.3019119008
2026-08-10,1163895.3019119008
2026-08-11,1156384.4019119008
2026-08-12,1157530.3019119008
2026-08-13,1158557.3019119008
2026-08-14,1153725.3019119008
2026-08-17,1155803.8019119008
2026-08-18,1153686.9019119008
