,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1029366.9395364813
2026-01-29,1032131.8569364812
2026-01-30,1032131.8569364812
2026-02-01,1032131.8569364812
2026-02-02,1032131.8569364812
2026-02-03,1037401.8688364811
2026-02-04,1039110.4428364811
2026-02-05,1040070.4028364812
2026-02-06,1041932.5328364811
2026-02-09,1044429.3528364812
2026-02-10,1056876.6848364812
2026-02-11,1064263.839836481
2026-02-12,1063753.139836481
2026-02-13,1054586.2898364812
2026-02-16,1060171.839836481
2026-02-17,1062928.839836481
2026-02-18,1072753.7898364812
2026-02-19,1064444.639836481
2026-02-20,1073834.7398364812
2026-02-23,1081875.4398364811
2026-02-24,1079518.4898364812
2026-02-25,1087765.223836481
2026-02-26,1082438.873836481
2026-02-27,1078010.173836481
2026-03-02,1074096.1018364811
2026-03-04,1070883.1018364811
2026-03-05,1074393.3912703693
2026-03-06,1072619.4229922795
2026-03-09,1056973.0229922798
2026-03-10,1074647.4404922798
2026-03-11,1085565.0404922797
2026-03-12,1081609.9404922798
2026-03-13,1067326.2561265482
2026-03-16,1058265.8561265483
2026-03-17,1072398.9041265484
2026-03-18,1066469.0041265483
2026-03-19,1049736.4041265484
2026-03-20,1048626.1041265484
2026-03-23,1036384.0041265483
2026-03-24,1035766.9041265482
2026-03-25,1040861.0041265483
2026-03-27,1040643.2041265483
2026-03-30,1036238.8041265483
2026-04-01,1032766.1041265483
2026-04-02,1025082.6041265483
2026-04-06,1025082.6041265483
2026-04-07,1025082.6041265483
2026-04-08,1025082.6041265483
2026-04-09,1025082.6041265483
2026-04-10,1025082.6041265483
2026-04-13,1025082.6041265483
2026-04-15,1025082.6041265483
2026-04-16,1025082.6041265483
2026-04-17,1025082.6041265483
2026-04-20,1025082.6041265483
2026-04-21,1025082.6041265483
2026-04-22,1025082.6041265483
2026-04-23,1025082.6041265483
2026-04-24,1025082.6041265483
2026-04-27,1025082.6041265483
2026-04-28,1025082.6041265483
2026-04-29,1025082.6041265483
2026-04-30,1025082.6041265483
2026-05-04,1025082.6041265483
2026-05-05,1025082.6041265483
2026-05-06,1025082.6041265483
2026-05-07,1025082.6041265483
2026-05-08,1025082.6041265483
2026-05-11,1025082.6041265483
2026-05-12,1025082.6041265483
2026-05-13,1027730.6447909764
2026-05-14,1039429.0169599598
2026-05-15,1026923.7469599597
2026-05-18,1020637.3369599598
2026-05-19,1024349.9169599597
2026-05-20,1036042.0669599598
2026-05-21,1044347.0969599597
2026-05-22,1048106.1769599598
2026-05-25,1059046.1469599595
2026-05-26,1072143.9469599598
2026-05-27,1082597.7641751105
2026-05-29,1073796.0141751105
2026-06-01,1065035.0641751103
2026-06-02,1067080.0641751103
2026-06-03,1065620.0237956312
2026-06-04,1081239.6909956313
2026-06-05,1076167.1909956313
2026-06-08,1037992.2909956311
2026-06-09,1062486.3409956312
2026-06-10,1045464.7409956313
2026-06-11,1043832.8409956313
2026-06-12,1060911.8409956312
2026-06-15,1065175.2729956312
2026-06-16,1064098.2729956312
2026-06-17,1080551.6764735302
2026-06-18,1083184.1764735302
2026-06-19,1094158.2508277488
2026-06-22,1096693.2508277488
2026-06-23,1101285.350827749
2026-06-24,1093052.5277650931
2026-06-25,1102428.9071250933
2026-06-29,1102591.4615950931
2026-06-30,1101306.8615950933
2026-07-01,1112890.695026633
2026-07-02,1111012.695026633
2026-07-03,1096869.2950266332
2026-07-06,1098141.616626633
2026-07-07,1093792.816626633
2026-07-08,1091719.216626633
2026-07-09,1087551.1293266076
2026-07-10,1102881.2224139574
2026-07-13,1106754.2224139574
2026-07-14,1107608.9224139575
2026-07-15,1098055.6224139575
2026-07-16,1087073.4224139575
2026-07-17,1097602.6518639575
2026-07-20,1103417.7739139574
2026-07-21,1113010.2611139573
2026-07-22,1089679.6611139572
2026-07-23,1080875.7611139573
2026-07-24,1082262.0611139573
2026-07-27,1101290.0323646828
2026-07-28,1104832.7101946827
2026-07-29,1105067.010194683
2026-07-30,1106822.660194683
2026-07-31,1118940.0101946827
2026-08-03,1125441.6101946826
2026-08-04,1124330.6101946828
2026-08-05,1127812.9607127346
2026-08-06,1126619.1607127346
2026-08-07,1124210.9607127346
2026-08-10,1125518.9607127346
2026-08-11,1115415.1607127346
2026-08-12,1113852.9607127346
2026-08-13,1118009.1554108243
2026-08-14,1111867.1554108243
2026-08-17,1107783.1554108243
2026-08-18,1116886.3554108243
