,equity
2021-01-01,1000000.0
2021-01-04,1016649.1600000001
2021-01-05,1020644.7200000001
2021-01-06,1020296.9500000001
2021-01-07,1042342.1700000002
2021-01-08,1056855.6300000001
2021-01-11,1060360.7600000002
2021-01-12,1060091.8100000003
2021-01-13,1079876.4500000002
2021-01-14,1081527.8994290568
2021-01-15,1066277.1494290568
2021-01-18,1046131.8294290568
2021-01-19,1079602.879429057
2021-01-20,1097855.8894290568
2021-01-21,1068613.589429057
2021-01-22,1045589.0607553214
2021-01-25,1023215.8073657058
2021-01-27,1034855.2248026866
2021-01-28,1025486.3748026866
2021-01-29,1022888.0444864106
2021-02-01,1043572.856888498
2021-02-02,1074110.956888498
2021-02-03,1089082.256888498
2021-02-04,1102774.7568884979
2021-02-05,1107818.4568884978
2021-02-08,1151777.306888498
2021-02-09,1156723.106888498
2021-02-10,1173377.806888498
2021-02-11,1184544.2068884978
2021-02-12,1173990.306888498
2021-02-15,1184171.5068884979
2021-02-16,1190421.406888498
2021-02-17,1195028.656888498
2021-02-18,1194464.056888498
2021-02-19,1175335.556888498
2021-02-22,1146779.356888498
2021-02-23,1167759.156888498
2021-02-24,1194671.506888498
2021-02-25,1218778.8068884981
2021-02-26,1216518.406888498
2021-03-01,1250954.356888498
2021-03-02,1268308.806888498
2021-03-03,1301989.206888498
2021-03-04,1322440.5568884981
2021-03-05,1313545.9568884978
2021-03-08,1340434.4368884978
2021-03-09,1348991.9368884978
2021-03-10,1371557.586888498
2021-03-12,1382019.636888498
2021-03-15,1401854.3339029236
2021-03-16,1387931.2339029235
2021-03-17,1360553.607557325
2021-03-18,1359987.507557325
2021-03-19,1372422.657557325
2021-03-22,1390679.207557325
2021-03-23,1407954.4075573247
2021-03-24,1381488.907557325
2021-03-25,1344975.7575573248
2021-03-26,1368380.207557325
2021-03-30,1387615.739785149
2021-03-31,1384312.3697851493
2021-04-01,1421542.829785149
2021-04-05,1421509.7397851492
2021-04-06,1462749.1797851492
2021-04-07,1467762.4097851492
2021-04-08,1504453.6597851492
2021-04-09,1501421.9697851492
2021-04-12,1411505.0824080252
2021-04-13,1424419.942408025
2021-04-15,1439021.035282134
2021-04-16,1452468.1252821342
2021-04-19,1439558.465282134
2021-04-20,1444206.6852821342
2021-04-22,1477379.745282134
2021-04-23,1480720.255282134
2021-04-26,1512903.485282134
2021-04-27,1534849.725282134
2021-04-28,1545489.805282134
2021-04-29,1608350.495282134
2021-04-30,1617673.995282134
2021-05-03,1664980.515282134
2021-05-04,1676170.765282134
2021-05-05,1700552.035282134
2021-05-06,1736316.6052821341
2021-05-07,1813129.535282134
2021-05-10,1846949.6652821342
2021-05-11,1818948.8552821341
2021-05-12,1778999.825282134
2021-05-14,1692577.270452615
2021-05-17,1748527.210452615
2021-05-18,1782129.3304526152
2021-05-19,1768421.2904526151
2021-05-20,1735933.690452615
2021-05-21,1746267.9123668799
2021-05-24,1752890.7724150622
2021-05-25,1735697.5724150622
2021-05-26,1708171.1124150623
