,equity
2023-08-24,1000000.0
2023-08-25,991503.8500000001
2023-08-28,999147.2000000001
2023-08-29,1003252.75
2023-08-30,1021731.1500000001
2023-08-31,1045435.05
2023-09-01,1064482.0674943526
2023-09-04,1104604.6174943526
2023-09-05,1119250.7174943527
2023-09-06,1104371.4174943527
2023-09-07,1140879.0174943528
2023-09-08,1195050.1674943527
2023-09-11,1229397.3674943526
2023-09-12,1167868.1174943526
2023-09-13,1147529.7674943528
2023-09-14,1156887.2174943527
2023-09-15,1162330.8183016663
2023-09-18,1147933.7683016662
2023-09-20,1140601.4683016662
2023-09-21,1125833.4683016662
2023-09-22,1141223.2983016663
2023-09-25,1149208.6683016664
2023-09-26,1152596.4383016662
2023-09-27,1178704.4083016661
2023-09-28,1169648.1583016661
2023-09-29,1189409.4183016662
2023-10-03,1200692.8383016663
2023-10-04,1180023.3483016663
2023-10-05,1181663.9383016664
2023-10-06,1200051.3983016664
2023-10-09,1165805.0756030898
2023-10-10,1203921.9056030898
2023-10-11,1217460.2056030899
2023-10-12,1214168.1856030899
2023-10-13,1218643.32560309
2023-10-16,1231162.05560309
2023-10-17,1237891.72560309
2023-10-18,1227504.58560309
2023-10-19,1241600.28560309
2023-10-20,1246319.4356030899
2023-10-23,1219257.0919991035
2023-10-25,1226952.3632098325
2023-10-26,1222588.036841079
2023-10-27,1241132.386841079
2023-10-30,1252430.8013483626
2023-10-31,1258193.0013483625
2023-11-01,1254081.9413483627
2023-11-02,1269197.4213483627
2023-11-03,1297668.6413483627
2023-11-06,1313784.1413483627
2023-11-07,1344378.1913483627
2023-11-08,1374877.1713483627
2023-11-09,1360027.9913483628
2023-11-10,1381367.7513483625
2023-11-12,1409021.8413483626
2023-11-13,1443482.1013483626
2023-11-15,1461870.8013483628
2023-11-16,1461916.1513483627
2023-11-17,1468540.7813483626
2023-11-20,1458421.4313483625
2023-11-21,1450271.3813483624
2023-11-22,1433302.8795062262
2023-11-23,1447401.6795062262
2023-11-24,1457668.3795062262
2023-11-28,1501982.7295062263
2023-11-29,1511341.0795062261
2023-11-30,1539053.2295062263
2023-12-01,1571718.2795062263
2023-12-04,1594285.1795062262
2023-12-05,1584972.2795062263
2023-12-06,1594086.3295062263
2023-12-07,1598689.4795062263
2023-12-08,1597453.4795062263
2023-12-11,1593515.0795062263
2023-12-12,1575348.6795062262
2023-12-13,1625578.9295062262
2023-12-14,1638308.8795062262
2023-12-15,1616279.2295062263
2023-12-18,1634369.3295062263
2023-12-19,1638037.8795062264
2023-12-20,1582632.7295062263
2023-12-21,1591572.700062128
2023-12-22,1601197.400062128
2023-12-26,1614953.000062128
2023-12-27,1618957.100062128
2023-12-28,1621301.0500621279
2023-12-29,1634682.650062128
2024-01-01,1651259.6500621282
2024-01-02,1656666.2000621282
2024-01-03,1665436.750062128
2024-01-04,1701725.9500621282
2024-01-05,1704741.500062128
2024-01-08,1710771.4000621282
2024-01-09,1715623.6500621282
2024-01-10,1712475.550062128
2024-01-11,1730351.550062128
2024-01-12,1734899.3500621282
2024-01-15,1752861.6485200243
2024-01-16,1722953.8203900743
2024-01-17,1706670.1703900741
2024-01-18,1715602.2203900742
2024-01-19,1761437.6703900741
2024-01-20,1772037.2703900742
2024-01-23,1669506.8239372813
2024-01-24,1736628.3339372813
2024-01-25,1776787.5339372812
2024-01-29,1821372.9339372814
2024-01-30,1811443.7444713975
2024-01-31,1840706.2944713973
2024-02-01,1851630.2144713975
2024-02-02,1928126.3144713973
2024-02-05,1925699.5644713975
2024-02-06,1932058.4744713975
2024-02-07,1944045.7744713975
2024-02-08,1955759.0444713975
2024-02-09,1893061.3453016682
2024-02-12,1779022.5547506572
2024-02-13,1799110.5547506572
2024-02-14,1852031.4847506573
2024-02-15,1900274.5647506574
2024-02-16,1904178.5947506574
2024-02-19,1913120.0547506574
2024-02-20,1919708.1647506573
2024-02-21,1866586.1747506573
2024-02-22,1894229.3647506572
2024-02-23,1871318.9247506573
2024-02-26,1849969.5047506574
2024-02-27,1850264.3747506572
2024-02-28,1809342.5047506574
2024-02-29,1781685.735388724
2024-03-01,1827615.6653887238
2024-03-02,1834923.9253887236
2024-03-04,1867623.1153887238
2024-03-05,1887261.7753887237
2024-03-06,1902756.485388724
2024-03-07,1919540.0553887237
2024-03-11,1927091.4153887238
2024-03-12,1880731.725388724
2024-03-13,1798154.7473632526
2024-03-14,1826781.3926973569
2024-03-15,1799513.3785418011
2024-03-18,1807336.9285418012
2024-03-19,1783574.3785418011
2024-03-20,1792420.628541801
2024-03-21,1842255.838541801
2024-03-22,1849237.9485418012
2024-03-26,1878699.8885418011
2024-03-27,1886571.228541801
2024-03-28,1900553.1085418009
2024-04-01,1893081.408541801
2024-04-02,1916380.4085418012
2024-04-03,1925335.4085418012
2024-04-04,1915748.9085418012
2024-04-05,1923357.6585418012
2024-04-08,1912175.3585418009
2024-04-09,1887320.508541801
2024-04-10,1906011.108541801
2024-04-12,1898615.4585418012
2024-04-15,1876368.808541801
2024-04-16,1890382.2457307107
2024-04-18,1872233.295730711
2024-04-19,1872679.711205341
2024-04-22,1891995.8112053408
2024-04-23,1908686.211205341
2024-04-24,1933601.961205341
2024-04-25,1955614.1612053409
2024-04-26,1977352.6112053408
2024-04-29,1938703.570247184
2024-04-30,1933354.9202471839
2024-05-02,1957459.370247184
2024-05-03,1953732.470247184
2024-05-06,1931165.0570509327
2024-05-07,1908298.5570509327
2024-05-08,1922279.5570509327
2024-05-09,1873354.8234003636
2024-05-10,1882623.3234003638
2024-05-13,1907615.2234003637
2024-05-14,1940972.5234003635
2024-05-15,1959631.0234003635
2024-05-16,2000643.5234003637
2024-05-17,2024389.7234003637
2024-05-18,2053510.2234003637
2024-05-21,2043287.2734003635
2024-05-22,2034166.0234003637
2024-05-23,2051716.5734003636
2024-05-24,2056288.5234003635
2024-05-27,2073818.2734003635
2024-05-28,2049257.7734003637
2024-05-29,2043305.8517654848
2024-05-30,2025960.5517654847
2024-05-31,2022293.2203002993
2024-06-03,2141415.6203002995
2024-06-04,1886742.1017957488
2024-06-05,1899984.0797402035
2024-06-06,1941098.0797402035
2024-06-07,1983321.8797402033
2024-06-10,2002020.679740203
2024-06-11,2026406.3797402033
2024-06-12,2062520.4297402035
2024-06-13,2104937.679740203
2024-06-14,2166203.3797402033
2024-06-18,2202423.5797402035
2024-06-19,2164912.179740203
2024-06-20,2171340.529740203
2024-06-21,2164082.6297402033
2024-06-24,2188018.929740203
2024-06-25,2173248.8297402035
2024-06-26,2168445.9797402034
2024-06-27,2220016.779740203
2024-06-28,2198699.6297402033
2024-07-01,2231094.6797402035
2024-07-02,2213689.6570796366
2024-07-03,2268146.857079637
2024-07-04,2363635.1570796366
2024-07-05,2430547.357079637
2024-07-08,2451584.5570796365
2024-07-09,2427934.4570796364
2024-07-10,2456115.857079637
2024-07-11,2503920.607079637
2024-07-12,2475121.757079636
2024-07-15,2463851.3070796365
2024-07-16,2443002.4570796364
2024-07-18,2346023.0570796365
2024-07-19,2302133.406280305
2024-07-22,2352109.506280305
2024-07-23,2261413.539011995
2024-07-24,2293941.619011995
2024-07-25,2285128.4790119953
2024-07-26,2267952.429011995
2024-07-29,2373051.439011995
2024-07-30,2391732.979011995
2024-07-31,2376373.0390119953
2024-08-01,2341442.7890119953
2024-08-02,2304292.239011995
2024-08-05,2187332.5730522973
2024-08-06,2170282.543052297
2024-08-07,2245998.9930522973
2024-08-08,2225987.443052297
2024-08-09,2254034.7930522976
2024-08-12,2249149.7930522976
2024-08-13,2244969.443052297
2024-08-14,2241457.863052297
2024-08-16,2332352.443052297
2024-08-19,2419009.4730522973
2024-08-20,2443660.8230522973
2024-08-21,2417437.893052297
2024-08-22,2433645.5530522973
2024-08-23,2429391.2730522975
2024-08-26,2435533.5430522976
2024-08-27,2452149.0230522975
2024-08-28,2453640.8930522976
2024-08-29,2439922.4930522973
2024-08-30,2486790.0630522976
2024-09-02,2473441.9430522975
2024-09-03,2495046.043052297
2024-09-04,2479538.0930522974
2024-09-05,2477178.4930522973
2024-09-06,2490069.8430522974
2024-09-09,2476365.8430522974
2024-09-10,2468857.4430522975
2024-09-11,2469453.1930522975
2024-09-12,2495952.9930522973
2024-09-13,2544256.4430522975
2024-09-16,2610783.7430522973
2024-09-17,2593601.043052297
2024-09-18,2596199.043052297
2024-09-19,2575447.943052297
2024-09-20,2610345.593052297
2024-09-23,2626818.193052297
2024-09-24,2640557.293052297
2024-09-25,2625881.5430522976
2024-09-26,2595641.4930522973
2024-09-27,2574833.4930522973
2024-09-30,2538711.4930522973
2024-10-01,2585546.0430522976
2024-10-03,2536036.7430522973
2024-10-04,2494664.683512847
2024-10-07,2412508.9973202255
2024-10-08,2520291.5973202256
2024-10-09,2547918.9973202255
2024-10-10,2537685.4973202255
2024-10-11,2586523.0973202256
2024-10-14,2631104.897320226
2024-10-15,2624401.4973202255
2024-10-16,2574046.1973202256
2024-10-17,2518338.247320226
2024-10-18,2547445.6973202256
2024-10-21,2506584.397320226
2024-10-22,2407699.831067649
2024-10-23,2472978.6104494077
2024-10-24,2469894.960449408
2024-10-25,2357670.551033329
2024-10-28,2366206.1010333295
2024-10-29,2388142.101033329
2024-10-30,2342387.101033329
2024-10-31,2353833.7406512457
2024-11-01,2369987.0906512453
2024-11-04,2342699.8906512456
2024-11-05,2362738.1906512454
2024-11-06,2462753.7906512455
2024-11-07,2469956.0906512453
2024-11-08,2460769.3406512453
2024-11-11,2440888.7406512457
2024-11-12,2432358.5906512453
2024-11-13,2363274.790651245
2024-11-14,2382873.1906512454
2024-11-18,2382070.790651245
2024-11-19,2421055.040651245
2024-11-21,2446021.1906512454
2024-11-22,2477691.0906512453
2024-11-25,2500328.140651245
2024-11-26,2484297.740651245
2024-11-27,2492847.6906512454
2024-11-28,2461548.3406512453
2024-11-29,2493651.540651245
2024-12-02,2539681.790651245
2024-12-03,2549244.390651245
2024-12-04,2574686.790651245
2024-12-05,2635057.490651245
2024-12-06,2672749.1906512454
2024-12-09,2702651.8406512453
2024-12-10,2709849.6406512456
2024-12-11,2729626.0906512453
2024-12-12,2757128.740651245
2024-12-13,2801729.1906512454
2024-12-16,2875936.3906512456
2024-12-17,2893218.5906512453
2024-12-18,2859105.0906512453
2024-12-19,2881021.2906512455
2024-12-20,2791980.3906512456
2024-12-23,2809588.5906512453
2024-12-24,2800228.4406512454
2024-12-26,2801315.1906512454
2024-12-27,2794588.2925483175
2024-12-30,2845093.642548317
2024-12-31,2824316.7925483175
2025-01-01,2855750.3925483176
2025-01-02,2850589.7925483175
2025-01-03,2844272.0925483173
2025-01-06,2767845.7425483176
2025-01-07,2795241.9425483174
2025-01-08,2726476.7637282196
2025-01-09,2660675.8637282196
2025-01-10,2618464.4137282195
2025-01-13,2517532.25396543
2025-01-14,2533301.802772392
2025-01-15,2561163.352772392
2025-01-16,2562698.152772392
2025-01-17,2536342.2527723922
2025-01-20,2540726.902772392
2025-01-21,2502670.102772392
2025-01-22,2500783.3527723923
2025-01-23,2533748.902772392
2025-01-24,2518967.7027723924
2025-01-27,2458607.6027723923
2025-01-28,2448246.9104745146
2025-01-29,2493753.5604745145
2025-01-30,2501208.5604745145
2025-01-31,2521128.7104745144
2025-02-01,2536681.325045798
2025-02-03,2575638.9750457983
2025-02-04,2600619.4750457983
2025-02-05,2603214.825045798
2025-02-06,2570545.775045798
2025-02-07,2573971.175045798
2025-02-10,2539037.275045798
2025-02-11,2458964.994664738
2025-02-12,2469660.5946647376
2025-02-13,2522248.294664738
2025-02-14,2492899.644664738
2025-02-17,2492799.144664738
2025-02-18,2502092.044664738
2025-02-19,2490442.542409403
2025-02-20,2508103.9824094027
2025-02-21,2475833.062409403
2025-02-24,2458536.332409403
2025-02-25,2458656.8324094024
2025-02-27,2489568.432409403
2025-02-28,2422708.0208243574
2025-03-03,2418314.5008243574
2025-03-04,2425492.560824358
2025-03-05,2421470.434262528
2025-03-06,2443354.974262528
2025-03-07,2437742.524262528
2025-03-10,2421906.974262528
2025-03-11,2414067.894262528
2025-03-12,2440089.054262528
2025-03-13,2422263.4242625283
2025-03-17,2455149.744262528
2025-03-18,2492579.854262528
2025-03-19,2525601.3442625282
2025-03-20,2533921.564262528
2025-03-21,2566317.354262528
2025-03-24,2597417.734262528
2025-03-25,2597029.834262528
2025-03-26,2576824.394262528
2025-03-27,2604855.434262528
2025-03-28,2589076.214262528
2025-04-01,2529253.5342625277
2025-04-02,2551136.564262528
2025-04-03,2527166.904262528
2025-04-04,2507448.4342625276
2025-04-07,2361807.101108884
2025-04-08,2419043.0411088844
2025-04-09,2403469.685186385
2025-04-11,2430515.825186385
2025-04-15,2482640.5851863846
2025-04-16,2483268.595186385
2025-04-17,2515397.1051863846
2025-04-21,2569654.075186385
2025-04-22,2576910.115186385
2025-04-23,2585230.7651863853
2025-04-24,2583871.1851863847
2025-04-25,2509442.635186385
2025-04-28,2531458.556751644
2025-04-29,2550127.276751644
2025-04-30,2492815.4767516437
2025-05-02,2506496.2667516437
2025-05-05,2557656.9567516437
2025-05-06,2513264.8467516433
2025-05-07,2525588.2367516435
2025-05-08,2496375.5667516435
2025-05-09,2482008.580985454
2025-05-12,2561137.370985454
2025-05-13,2600718.600985454
2025-05-14,2621347.8009854537
2025-05-15,2618981.040985454
2025-05-16,2653810.8209854537
2025-05-19,2640452.030985454
2025-05-20,2617852.290985454
2025-05-21,2654339.140985454
2025-05-22,2639119.140985454
2025-05-23,2666101.370985454
2025-05-26,2669006.140985454
2025-05-27,2664555.7909854543
2025-05-28,2671427.0209854543
2025-05-29,2685830.990985454
2025-05-30,2721402.740985454
2025-06-02,2716337.950985454
2025-06-03,2720668.630985454
2025-06-04,2716875.930985454
2025-06-05,2752765.9209854538
2025-06-06,2768269.7409854536
2025-06-09,2816117.520985454
2025-06-10,2816127.850985454
2025-06-11,2775068.5309854536
2025-06-12,2713038.240985454
2025-06-13,2707225.6412545145
2025-06-16,2703951.6212545144
2025-06-17,2681970.5612545144
2025-06-18,2649364.0312545146
2025-06-19,2622009.3527496066
2025-06-20,2654530.23231749
2025-06-23,2688590.67231749
2025-06-24,2682959.30231749
2025-06-25,2665432.54231749
2025-06-26,2673885.82231749
2025-06-27,2689905.01231749
2025-06-30,2715352.77231749
2025-07-01,2739271.22231749
2025-07-02,2713816.45231749
2025-07-03,2715358.67231749
2025-07-04,2701298.11231749
2025-07-07,2675261.45231749
2025-07-08,2660024.69417601
2025-07-09,2660159.64417601
2025-07-10,2645964.4641760103
2025-07-11,2608299.98417601
2025-07-14,2619237.1641760105
2025-07-15,2647313.69417601
2025-07-16,2642653.39417601
2025-07-17,2639113.77417601
2025-07-18,2636251.43928804
2025-07-21,2644281.37928804
2025-07-22,2634587.32928804
2025-07-23,2648683.75928804
2025-07-24,2617699.10928804
2025-07-25,2584513.577387648
2025-07-28,2559422.645420038
2025-07-29,2585886.605420038
2025-07-30,2616205.235420038
2025-07-31,2624958.085420038
2025-08-01,2599881.525420038
2025-08-04,2624505.355420038
2025-08-05,2646128.568957769
2025-08-06,2651905.918957769
2025-08-07,2636847.3486635266
2025-08-08,2629537.5186635265
2025-08-11,2623847.0686635263
2025-08-12,2597091.1686635264
2025-08-13,2636640.3686635266
2025-08-14,2635516.8686635266
2025-08-18,2651727.7186635267
2025-08-19,2680097.818663527
2025-08-20,2717632.668663527
2025-08-21,2728282.6586635266
2025-08-22,2712480.1986635267
2025-08-25,2703956.0586635265
2025-08-26,2673751.6986635267
2025-08-28,2643004.8086635265
2025-08-29,2653729.4386635264
2025-09-01,2681393.808663527
2025-09-02,2652121.7686635265
2025-09-03,2690292.148663527
2025-09-04,2683630.798663527
2025-09-05,2715380.188663527
2025-09-08,2726494.9286635267
2025-09-09,2721776.2786635268
2025-09-10,2728012.6286635264
2025-09-11,2728212.1386635266
2025-09-12,2720139.0386635265
2025-09-15,2738835.798663527
2025-09-16,2783410.168663527
2025-09-17,2794139.2586635267
2025-09-18,2812541.7786635268
2025-09-19,2821287.4986635265
2025-09-22,2797589.4586635265
2025-09-23,2780167.9386635264
2025-09-24,2778199.9286635267
2025-09-25,2750058.338663527
2025-09-26,2687248.5086635263
2025-09-29,2719424.0586635265
2025-09-30,2704025.95772361
2025-10-01,2735321.90772361
2025-10-03,2760319.45772361
2025-10-06,2783569.26772361
2025-10-07,2784741.0535866274
2025-10-08,2746691.483586627
2025-10-09,2745125.8835866274
2025-10-10,2741121.5035866275
2025-10-13,2772286.7431900203
2025-10-14,2753227.08319002
2025-10-15,2786946.6831900203
2025-10-16,2771218.4131900202
2025-10-17,2784758.519279966
2025-10-20,2815409.9692799663
2025-10-21,2821971.4292799667
2025-10-23,2773387.8569436674
2025-10-24,2776529.8769436674
2025-10-27,2794117.4269436677
2025-10-28,2799624.1969436677
2025-10-29,2783881.3240367174
2025-10-30,2783390.1840367173
2025-10-31,2767851.2640367174
2025-11-03,2811006.0240367176
2025-11-04,2783404.0455809413
2025-11-06,2743767.695580941
2025-11-07,2815391.255580941
2025-11-10,2840903.3055809415
2025-11-11,2838394.0722990306
2025-11-12,2834628.5422990303
2025-11-13,2831450.1522990307
2025-11-14,2841403.0422990303
2025-11-17,2865539.252299031
2025-11-18,2836116.9822990308
2025-11-19,2847613.1122990306
2025-11-20,2852435.4022990307
2025-11-21,2791983.852299031
2025-11-24,2799600.602299031
2025-11-25,2831101.1522990307
2025-11-26,2885012.6322990307
2025-11-27,2882169.3743199627
2025-11-28,2875701.974319963
2025-12-01,2888534.8443199624
2025-12-02,2868164.7143199625
2025-12-03,2819989.614937448
2025-12-04,2811130.148021337
2025-12-05,2858844.948021337
2025-12-08,2812166.738021337
2025-12-09,2825265.392005665
2025-12-10,2813966.9520056653
2025-12-11,2818771.6320056655
2025-12-12,2860622.5520056654
2025-12-15,2858998.6920056655
2025-12-16,2841050.6120056654
2025-12-17,2848855.9220056655
2025-12-18,2845803.9420056655
2025-12-19,2870078.5520056654
2025-12-22,2927268.3620056654
2025-12-23,2937375.1520056655
2025-12-24,2934804.4020056655
2025-12-26,2932411.4320056653
2025-12-29,2921794.0920056654
2025-12-30,2959481.669251285
2025-12-31,2989152.309251285
2026-01-01,3012124.9692512853
2026-01-02,3040353.369251285
2026-01-05,3038031.439251285
2026-01-06,3063082.449251285
2026-01-07,3067621.879251285
2026-01-08,2995500.720130166
2026-01-09,2983635.080130166
2026-01-12,2981631.730130166
2026-01-13,2977029.8325583357
2026-01-14,3026319.992558336
2026-01-16,3024621.032558336
2026-01-19,3053448.952558336
2026-01-20,2995307.8499254077
2026-01-21,2986128.069925408
2026-01-22,3012998.919925408
2026-01-23,3002275.5799254077
2026-01-27,3055898.236399097
2026-01-28,3128880.966399097
2026-01-29,3170308.946399097
2026-01-30,3050080.0463990965
2026-02-01,2855119.363985934
2026-02-02,2841919.253411414
2026-02-03,2919114.013411414
2026-02-04,2951681.073411414
2026-02-05,2935876.993411414
2026-02-06,2940020.383411414
2026-02-09,3013225.823411414
2026-02-10,3010271.473411414
2026-02-11,3022343.113411414
2026-02-12,3048898.763411414
2026-02-13,2973249.5222429684
2026-02-16,2992241.9922429686
2026-02-17,3009510.732242969
2026-02-18,3036601.192242969
2026-02-19,2993131.1622429686
