,equity
2021-08-26,999999.9999999999
2021-08-27,1021693.4599999998
2021-08-30,1029194.2699999998
2021-08-31,1047040.6599999998
2021-09-01,1035396.5299999999
2021-09-02,1043554.4599999998
2021-09-03,1049833.44
2021-09-06,1054082.8
2021-09-07,1044826.4599999998
2021-09-08,1045293.1299999999
2021-09-09,1057214.26
2021-09-13,1077013.02
2021-09-14,1086389.78
2021-09-15,1103963.8299999998
2021-09-16,1105276.0
2021-09-17,1107228.98
2021-09-20,1099842.589977417
2021-09-21,1105782.7899774169
2021-09-22,1121577.589977417
2021-09-23,1146282.2899774169
2021-09-24,1151451.589977417
2021-09-27,1125266.771466783
2021-09-28,1121065.8714667829
2021-09-29,1123332.6168251135
2021-09-30,1128322.3168251135
2021-10-01,1131393.2168251132
2021-10-04,1141282.1668251134
2021-10-05,1136481.9168251131
2021-10-06,1133857.9668251132
2021-10-07,1161292.0668251133
2021-10-08,1176643.4668251132
2021-10-11,1194388.4168251134
2021-10-12,1195717.2668251132
2021-10-13,1199707.0668251133
2021-10-14,1223602.0668251133
2021-10-18,1214543.3168251133
2021-10-19,1207925.9668251134
2021-10-20,1170087.2977368438
2021-10-21,1131169.8148812111
2021-10-22,1124249.2594862974
2021-10-25,1093590.986473511
2021-10-26,1122118.5364735108
2021-10-27,1125803.3864735109
2021-10-28,1093469.1364735109
2021-10-29,1080455.451703346
2021-11-01,1100989.1517033463
2021-11-02,1107720.3517033462
2021-11-03,1117268.7517033461
2021-11-04,1124973.8517033462
2021-11-08,1131877.3017033462
2021-11-09,1138317.1017033462
2021-11-10,1134173.7517033461
2021-11-11,1138454.1517033463
2021-11-12,1141403.6017033462
2021-11-15,1150766.5517033462
2021-11-16,1155137.9017033463
2021-11-17,1148590.4517033463
2021-11-18,1128714.5408852857
2021-11-22,1083043.67604894
2021-11-23,1104200.2682477597
2021-11-24,1091830.4382477596
2021-11-25,1097893.3282477595
2021-11-26,1056284.9857039717
2021-11-29,1030481.8560980215
2021-11-30,1039173.1060980215
2021-12-01,1055625.1060980216
2021-12-02,1095744.0060980215
2021-12-03,1091431.4560980215
2021-12-06,1072935.0060980215
2021-12-07,1085052.6560980214
2021-12-08,1118741.9060980214
2021-12-09,1114671.4060980214
2021-12-10,1126261.0060980215
2021-12-13,1129512.6560980214
2021-12-14,1155791.5801324504
2021-12-15,1134868.8301324504
2021-12-16,1129596.1301324505
2021-12-17,1100479.8301324504
2021-12-20,1050734.571181513
2021-12-21,1068179.7711815129
2021-12-22,1107137.3711815127
2021-12-23,1122636.071181513
2021-12-24,1133092.3711815127
2021-12-27,1155888.4711815128
2021-12-28,1176855.9711815128
2021-12-29,1176406.3711815127
2021-12-30,1190161.6711815128
2021-12-31,1202097.4711815128
2022-01-03,1193602.9711815128
2022-01-04,1188235.6211815127
2022-01-05,1181424.6711815128
2022-01-06,1182998.6211815127
2022-01-07,1212615.571181513
2022-01-10,1210767.571181513
2022-01-11,1198563.8691844621
2022-01-12,1198940.8691844621
2022-01-13,1198730.1191844621
2022-01-14,1193123.1691844622
2022-01-17,1201684.2031006974
2022-01-18,1177688.8792782398
2022-01-19,1173021.9901808032
2022-01-20,1168200.9901808032
2022-01-21,1137516.7401808032
2022-01-24,1092645.0733750851
2022-01-25,1105934.8326642595
2022-01-27,1082626.1326642595
2022-01-28,1098582.6326642595
2022-01-31,1114916.1826642596
2022-02-01,1113337.9326642596
