,equity
2021-08-26,999999.9999999999
2021-08-27,1021693.4599999998
2021-08-30,1029188.7499999998
2021-08-31,1047034.2099999998
2021-09-01,1035393.8899999999
2021-09-02,1043551.8199999998
2021-09-03,1049830.7999999998
2021-09-06,1054080.16
2021-09-07,1044823.8199999998
2021-09-08,1045290.4899999999
2021-09-09,1057211.6199999999
2021-09-13,1077010.38
2021-09-14,1086387.14
2021-09-15,1103961.1899999997
2021-09-16,1105273.3599999999
2021-09-17,1107226.3399999999
2021-09-20,1099839.949977417
2021-09-21,1104878.749977417
2021-09-22,1121300.899977417
2021-09-23,1144818.5499774169
2021-09-24,1148028.0499774169
2021-09-27,1120315.231466783
2021-09-28,1119254.681466783
2021-09-29,1114304.7768251135
2021-09-30,1117927.5768251135
2021-10-01,1113443.6352901927
2021-10-04,1118888.0852901929
2021-10-05,1118493.8352901929
2021-10-06,1113997.0852901929
2021-10-07,1137238.5852901929
2021-10-08,1148417.985290193
2021-10-11,1164474.0352901928
2021-10-12,1162877.3605545864
2021-10-13,1185167.7605545865
2021-10-14,1197487.4105545864
2021-10-18,1185973.8105545864
2021-10-19,1167839.9605545863
2021-10-20,1134860.693252004
2021-10-21,1096512.2403456257
2021-10-22,1099190.956178506
2021-10-25,1078799.256178506
2021-10-26,1090347.1561785059
2021-10-27,1091236.606178506
2021-10-28,1064631.356178506
2021-10-29,1053477.1760695984
2021-11-01,1068465.6260695986
2021-11-02,1078350.59338569
2021-11-03,1084793.5833856899
2021-11-04,1094066.67338569
2021-11-08,1117936.3533856901
2021-11-09,1124549.7733856898
2021-11-10,1108941.1133856901
2021-11-11,1099753.6133856901
2021-11-12,1108599.48338569
2021-11-15,1107008.8533856901
2021-11-16,1100592.3433856901
2021-11-17,1096737.01338569
2021-11-18,1070725.2378091495
2021-11-22,1027308.4241993946
2021-11-23,1028726.2677368487
2021-11-24,1022292.3677368487
2021-11-25,1025748.3677368487
2021-11-26,1008603.5757851539
2021-11-29,995306.1437834082
2021-11-30,992839.5437834081
2021-12-01,990486.0437834082
2021-12-02,1026930.2937834082
2021-12-03,1026835.9437834083
2021-12-06,1011299.5437834082
2021-12-07,1020031.4937834082
2021-12-08,1050538.1937834083
2021-12-09,1047753.8937834082
2021-12-10,1059232.6937834083
2021-12-13,1064732.4437834083
2021-12-14,1087830.7437834083
2021-12-15,1066471.6437834082
2021-12-16,1064009.6437834082
2021-12-17,1040502.6437834082
2021-12-20,995849.5648485675
2021-12-21,1004962.9648485675
2021-12-22,1030714.1648485675
2021-12-23,1040541.1148485674
2021-12-24,1051839.3648485674
2021-12-27,1070019.4648485675
2021-12-28,1083393.8648485676
2021-12-29,1084448.0148485675
2021-12-30,1094598.6648485675
2021-12-31,1103226.7148485673
2022-01-03,1099233.6648485675
2022-01-04,1090700.0148485675
2022-01-05,1076417.8148485676
2022-01-06,1078638.2148485675
2022-01-07,1089488.857065503
2022-01-10,1095687.4070655028
2022-01-11,1092687.0570655027
2022-01-12,1086895.857065503
2022-01-13,1087853.607065503
2022-01-14,1082137.3070655027
2022-01-17,1093585.8145482321
2022-01-18,1078416.1141330837
2022-01-19,1073698.383472778
2022-01-20,1069157.283472778
2022-01-21,1054917.733472778
2022-01-24,1033946.133472778
2022-01-25,1040657.95038896
2022-01-27,1040978.5503889599
2022-01-28,1039490.95038896
2022-01-31,1040154.85038896
2022-02-01,1036568.95038896
2022-02-02,1040804.4003889599
