,equity
2021-08-26,999999.9999999998
2021-08-27,1023181.5499999998
2021-08-30,1036083.6499999999
2021-08-31,1060719.8499999999
2021-09-01,1047723.0499999999
2021-09-02,1053910.2999999998
2021-09-03,1062904.6499999997
2021-09-06,1071131.3499999999
2021-09-07,1060701.0499999998
2021-09-08,1061494.1999999997
2021-09-09,1070652.4999999998
2021-09-13,1091808.2999999998
2021-09-14,1104482.8499999999
2021-09-15,1119959.9999999998
2021-09-16,1123836.2499999998
2021-09-17,1120930.0499999998
2021-09-20,1114401.8999999997
2021-09-21,1121072.9999999998
2021-09-22,1135481.6999999997
2021-09-23,1158841.4999999998
2021-09-24,1161303.5999999999
2021-09-27,1132705.181489366
2021-09-28,1124627.081489366
2021-09-29,1125150.1281270816
2021-09-30,1131424.7781270815
2021-10-01,1126116.9281270814
2021-10-04,1127556.9781270814
2021-10-05,1129752.1781270814
2021-10-06,1120135.8281270815
2021-10-07,1136002.1781270814
2021-10-08,1157244.7281270814
2021-10-11,1171225.2781270815
2021-10-12,1166723.620841238
2021-10-13,1189451.070841238
2021-10-14,1198380.470841238
2021-10-18,1185131.520841238
2021-10-19,1174214.370841238
2021-10-20,1143443.6134119083
2021-10-21,1106895.0421824
2021-10-22,1100824.4580152803
2021-10-25,1079492.8080152802
2021-10-26,1086878.4580152803
2021-10-27,1085381.6080152802
2021-10-28,1064611.2080152803
2021-10-29,1055250.6748486676
2021-11-01,1063050.6748486676
2021-11-02,1071647.5621647593
2021-11-03,1067612.9921647592
2021-11-04,1080288.622164759
2021-11-08,1105746.9321647591
2021-11-09,1112834.322164759
2021-11-10,1104496.552164759
2021-11-11,1103808.552164759
2021-11-12,1110162.5421647592
2021-11-15,1113690.332164759
2021-11-16,1121091.862164759
2021-11-17,1125787.2521647592
2021-11-18,1100629.9121647591
2021-11-22,1055326.1088042825
2021-11-23,1070304.1802701622
2021-11-24,1057949.530270162
2021-11-25,1060790.1802701622
2021-11-26,1022465.7502423546
2021-11-29,1010796.2188695779
2021-11-30,1016140.2188695779
2021-12-01,1022183.3688695778
2021-12-02,1064511.5688695777
2021-12-03,1061497.6188695778
2021-12-06,1047612.5688695777
2021-12-07,1057912.2188695776
2021-12-08,1092807.1688695778
2021-12-09,1091263.2188695776
2021-12-10,1112105.2188695776
2021-12-13,1125734.3188695777
2021-12-14,1158112.0188695777
2021-12-15,1133161.1688695778
2021-12-16,1128051.7688695777
2021-12-17,1097996.7688695777
2021-12-20,1056871.1858087366
2021-12-21,1071246.0858087367
2021-12-22,1098003.7858087367
2021-12-23,1104390.8858087366
2021-12-24,1115532.6858087366
2021-12-27,1133009.2858087367
2021-12-28,1148055.4858087366
2021-12-29,1144399.5858087367
2021-12-30,1156128.6858087366
2021-12-31,1162816.3858087366
2022-01-03,1148132.3858087366
2022-01-04,1144708.9358087366
2022-01-05,1129400.5358087367
2022-01-06,1128678.5523111243
2022-01-07,1150651.0669558079
2022-01-10,1156968.766955808
2022-01-11,1149768.166955808
