,equity
2023-08-24,1000000.0000000001
2023-08-25,988673.2500000001
2023-08-28,989831.2000000001
2023-08-29,991717.2500000001
2023-08-30,1004088.8632330025
2023-08-31,1017057.0132330025
2023-09-01,1025344.530727355
2023-09-04,1028260.2307273551
2023-09-05,1029752.130727355
2023-09-06,1018451.0807273551
2023-09-07,1037018.780727355
2023-09-08,1071686.1307273551
2023-09-11,1077180.430727355
2023-09-12,1022963.3438416487
2023-09-13,1020211.4438416486
2023-09-14,1029083.2938416486
2023-09-15,1040849.0438416487
2023-09-18,1033214.8938416487
2023-09-20,1031591.0938416487
2023-09-21,1018594.8232519109
2023-09-22,1025971.8169122669
2023-09-25,1028317.0269122669
2023-09-26,1031901.5369122669
2023-09-27,1055244.4969122668
2023-09-28,1044210.6469122668
2023-09-29,1061142.926912267
2023-10-03,1068262.886912267
2023-10-04,1043722.6669122668
2023-10-05,1046798.3369122668
2023-10-06,1063894.5169122668
2023-10-09,1043456.9169122669
2023-10-10,1071409.2969122669
2023-10-11,1072457.346912267
2023-10-12,1070147.076912267
2023-10-13,1073023.8820701553
2023-10-16,1079883.1120701553
2023-10-17,1088584.7820701553
2023-10-18,1073166.9420701552
2023-10-19,1080891.5822651186
2023-10-20,1075987.0322651186
2023-10-23,1041425.4826622138
2023-10-25,1030815.484466875
2023-10-26,1020160.234466875
2023-10-27,1042721.4844668751
2023-10-30,1053155.0844668748
2023-10-31,1059800.234466875
2023-11-01,1060403.344466875
2023-11-02,1078446.164466875
2023-11-03,1094593.144466875
2023-11-06,1110792.144466875
2023-11-07,1135003.744466875
2023-11-08,1147872.7644668748
2023-11-09,1152286.5944668748
2023-11-10,1162844.1444668751
2023-11-12,1180206.0944668748
2023-11-13,1208899.944466875
2023-11-15,1243102.994466875
2023-11-16,1242456.344466875
2023-11-17,1235266.7828088042
2023-11-20,1243236.8328088042
2023-11-21,1242734.0328088042
2023-11-22,1238733.5328088042
2023-11-23,1248441.1328088043
2023-11-24,1255598.1828088043
2023-11-28,1281670.1328088043
2023-11-29,1288427.4328088043
2023-11-30,1299680.9828088041
2023-12-01,1323844.8328088042
2023-12-04,1332487.5328088042
2023-12-05,1325025.0328088042
2023-12-06,1338076.2328088041
2023-12-07,1336805.2328088041
2023-12-08,1313887.5328088044
2023-12-11,1317112.0828088042
2023-12-12,1324648.2328088044
2023-12-13,1329689.1328088043
2023-12-14,1344442.0828088042
2023-12-15,1350672.6728088043
2023-12-18,1353493.2793548787
2023-12-19,1348880.6793548786
2023-12-20,1303997.904576269
