,equity
2021-08-26,999999.9999999999
2021-08-27,1021693.4599999998
2021-08-30,1029194.2699999998
2021-08-31,1047040.6599999998
2021-09-01,1035396.5299999999
2021-09-02,1043554.4599999998
2021-09-03,1049833.44
2021-09-06,1054082.8
2021-09-07,1044826.4599999998
2021-09-08,1045293.1299999999
2021-09-09,1057214.26
2021-09-13,1077013.02
2021-09-14,1086389.78
2021-09-15,1103963.8299999998
2021-09-16,1105276.0
2021-09-17,1107228.98
2021-09-20,1099842.589977417
2021-09-21,1105782.7899774169
2021-09-22,1121577.589977417
2021-09-23,1146282.2899774169
2021-09-24,1151451.589977417
2021-09-27,1125266.771466783
2021-09-28,1121065.8714667829
2021-09-29,1123332.6168251135
2021-09-30,1128322.3168251135
2021-10-01,1131393.2168251134
2021-10-04,1134567.4668251134
2021-10-05,1136672.9668251134
2021-10-06,1129732.5668251135
2021-10-07,1148143.3668251135
2021-10-08,1166105.2668251134
2021-10-11,1180943.6668251136
2021-10-12,1175247.6168251135
2021-10-13,1188755.7168251136
2021-10-14,1207531.1668251136
2021-10-18,1197139.1168251135
2021-10-19,1185898.0168251134
2021-10-20,1155411.0019833196
2021-10-21,1119179.447270527
2021-10-22,1118680.648427949
2021-10-25,1091826.0185319253
2021-10-26,1110767.7685319253
2021-10-27,1112160.9185319252
2021-10-28,1078003.9685319252
2021-10-29,1067127.8228958664
2021-11-01,1084928.4228958662
2021-11-02,1089747.5202119579
2021-11-03,1097734.630211958
2021-11-04,1107720.0402119579
2021-11-08,1134239.360211958
2021-11-09,1140528.4402119578
2021-11-10,1129792.2002119578
2021-11-11,1121223.7002119578
2021-11-12,1130984.630211958
2021-11-15,1133998.6602119578
2021-11-16,1128524.2702119579
2021-11-17,1125744.9002119577
2021-11-18,1106516.3702119577
2021-11-22,1062430.7790941931
2021-11-23,1078477.4112930126
2021-11-24,1067922.0612930127
2021-11-25,1076422.5612930127
2021-11-26,1030060.6133595107
2021-11-29,1014962.9499893119
2021-11-30,1016188.8999893119
2021-12-01,1030947.1499893118
2021-12-02,1061244.749989312
2021-12-03,1056626.8999893118
2021-12-06,1038305.9499893119
2021-12-07,1046138.3499893118
2021-12-08,1075250.0499893117
2021-12-09,1070464.7999893117
2021-12-10,1078867.8999893118
2021-12-13,1082276.499989312
2021-12-14,1100847.7637662552
2021-12-15,1083411.1637662551
2021-12-16,1083126.113766255
2021-12-17,1060120.4137662551
2021-12-20,1014538.645495892
2021-12-21,1032561.2454958919
2021-12-22,1070748.095495892
2021-12-23,1085624.045495892
2021-12-24,1098290.695495892
2021-12-27,1119607.495495892
2021-12-28,1140428.545495892
2021-12-29,1139730.645495892
2021-12-30,1153051.1954958919
2021-12-31,1163846.795495892
2022-01-03,1155714.595495892
2022-01-04,1151075.6954958919
2022-01-05,1143213.1954958919
2022-01-06,1143927.145495892
2022-01-07,1173101.595495892
2022-01-10,1170819.795495892
2022-01-11,1159617.6854343177
2022-01-12,1159887.6854343177
2022-01-13,1158124.3854343176
2022-01-14,1152208.2354343177
2022-01-17,1160147.3693505528
2022-01-18,1136030.0395724808
2022-01-19,1130798.7815448267
2022-01-20,1125927.4315448266
2022-01-21,1096375.4815448266
2022-01-24,1052427.3116970195
2022-01-25,1065092.7506765546
2022-01-27,1044011.0506765547
2022-01-28,1057589.3006765547
2022-01-31,1073668.1006765547
2022-02-01,1072337.3506765547
2022-02-02,1079409.4006765548
