,equity
2023-08-24,1000000.0000000001
2023-08-25,988673.2500000001
2023-08-28,989831.2000000001
2023-08-29,990365.4500000001
2023-08-30,1002464.6132330025
2023-08-31,1013859.4132330024
2023-09-01,1026663.130727355
2023-09-04,1053226.130727355
2023-09-05,1065871.680727355
2023-09-06,1051506.230727355
2023-09-07,1079086.480727355
2023-09-08,1122226.030727355
2023-09-11,1143871.2807273548
2023-09-12,1079658.3077923106
2023-09-13,1069398.2577923108
2023-09-14,1079484.7577923108
2023-09-15,1088788.8077923106
2023-09-18,1079429.6077923109
2023-09-20,1078851.9577923107
2023-09-21,1063805.4577923107
2023-09-22,1078627.2977923108
2023-09-25,1081215.8577923106
2023-09-26,1083026.6177923107
2023-09-27,1104417.7777923106
2023-09-28,1092930.6277923107
2023-09-29,1111154.9577923105
2023-10-03,1119949.3177923106
2023-10-04,1093580.0977923106
2023-10-05,1095136.9177923107
2023-10-06,1110729.1977923105
2023-10-09,1085463.2876522592
2023-10-10,1116604.417652259
2023-10-11,1113500.617652259
2023-10-12,1113340.097652259
2023-10-13,1113991.3678862774
2023-10-16,1120292.0978862774
2023-10-17,1128284.2678862773
2023-10-18,1111477.7278862775
2023-10-19,1115169.9576308595
2023-10-20,1105158.7576308595
2023-10-23,1078541.314026873
2023-10-25,1074339.3460043615
2023-10-26,1067559.5415516994
2023-10-27,1093605.7915516994
2023-10-30,1103366.0915516992
2023-10-31,1108027.1915516993
2023-11-01,1103591.4415516993
2023-11-02,1118761.4415516993
2023-11-03,1144440.2415516993
2023-11-06,1152908.4415516993
2023-11-07,1174686.2915516994
2023-11-08,1192055.8415516992
2023-11-09,1181556.9915516993
2023-11-10,1198003.5415516994
2023-11-12,1220460.7415516993
2023-11-13,1260387.3415516994
2023-11-15,1286612.9415516993
2023-11-16,1284035.1415516995
2023-11-17,1293952.0415516994
2023-11-20,1293815.9915516993
2023-11-21,1281352.8915516995
2023-11-22,1272978.9915516993
2023-11-23,1284631.3915516995
2023-11-24,1293538.1915516993
2023-11-28,1324876.3915516995
2023-11-29,1333179.7415516993
2023-11-30,1347551.7915516994
2023-12-01,1376031.9415516993
2023-12-04,1385187.1915516993
2023-12-05,1380069.9415516993
2023-12-06,1392050.3415516994
2023-12-07,1386931.4915516993
2023-12-08,1376257.8915516995
2023-12-11,1382155.3415516994
2023-12-12,1388355.6915516993
2023-12-13,1419344.9415516993
2023-12-14,1434022.6415516993
2023-12-15,1426319.4415516993
2023-12-18,1438410.4915516993
2023-12-19,1435649.9915516991
