,equity
2021-01-01,1000000.0
2021-01-04,1024150.16
2021-01-05,1034362.72
2021-01-06,1032245.3500000001
2021-01-07,1055109.12
2021-01-08,1065413.9300000002
2021-01-11,1072525.6600000001
2021-01-12,1070715.46
2021-01-13,1096929.95
2021-01-14,1094566.0590475786
2021-01-15,1077184.5090475786
2021-01-18,1047399.5890475784
2021-01-19,1076176.3259338485
2021-01-20,1096573.5559338485
2021-01-21,1070254.6559338483
2021-01-22,1043858.2559338482
2021-01-25,1040664.4959338483
2021-01-27,1044695.8040859494
2021-01-28,1034361.6540859493
2021-01-29,1035017.2710720379
2021-02-01,1093803.7710720378
2021-02-02,1138076.9710720377
2021-02-03,1155435.0210720378
2021-02-04,1167203.3210720378
2021-02-05,1161734.1210720378
2021-02-08,1201713.5710720378
2021-02-09,1203647.1710720377
2021-02-10,1217172.4210720377
2021-02-11,1222233.1710720377
2021-02-12,1229631.5210720378
2021-02-15,1254958.2210720377
2021-02-16,1261933.221072038
2021-02-17,1268719.221072038
2021-02-18,1268010.221072038
2021-02-19,1256907.421072038
2021-02-22,1239141.171072038
2021-02-23,1258582.1210720378
2021-02-24,1277668.0710720378
2021-02-25,1313564.5710720376
2021-02-26,1301315.945279524
2021-03-01,1323925.445279524
2021-03-02,1360296.8952795241
2021-03-03,1405471.095279524
2021-03-04,1426238.295279524
2021-03-05,1421397.195279524
2021-03-08,1441303.245279524
2021-03-09,1437262.845279524
2021-03-10,1448623.7952795243
2021-03-12,1451772.395279524
2021-03-15,1459243.1207563363
2021-03-16,1453858.6207563363
2021-03-17,1421839.3030822258
2021-03-18,1411632.8453219903
2021-03-19,1426809.3653219903
2021-03-22,1468715.9753219904
2021-03-23,1506191.1553219904
2021-03-24,1487028.6353219904
2021-03-25,1452251.2561336765
2021-03-26,1476999.4561336765
2021-03-30,1495356.195331855
2021-03-31,1504595.2053318552
2021-04-01,1565604.6253318551
2021-04-05,1589433.1953318552
2021-04-06,1618570.325331855
2021-04-07,1617486.585331855
2021-04-08,1640755.735331855
2021-04-09,1647732.355331855
2021-04-12,1531979.5050660747
2021-04-13,1560370.5750660745
2021-04-15,1577311.9647307934
2021-04-16,1596135.6447307935
2021-04-19,1580112.6747307933
2021-04-20,1585444.7247307934
2021-04-22,1620638.0447307935
2021-04-23,1624512.5347307934
2021-04-26,1661990.9847307934
2021-04-27,1691339.9347307933
2021-04-28,1703557.4147307933
2021-04-29,1769799.3847307933
2021-04-30,1783870.8347307935
2021-05-03,1842306.7947307935
2021-05-04,1853495.3547307933
2021-05-05,1883793.2447307934
2021-05-06,1924779.2147307934
2021-05-07,2025658.9947307934
