,equity
2021-01-01,1000000.0
2021-01-04,1005183.95
2021-01-05,1007770.95
2021-01-06,1000519.0308333524
2021-01-07,1002719.2308333523
2021-01-08,1006588.7808333524
2021-01-11,1027772.3308333524
2021-01-12,1027591.2808333524
2021-01-13,1029701.1308333525
2021-01-14,1039462.82006592
2021-01-15,1018189.2711794246
2021-01-18,1007873.4005183649
2021-01-19,1013492.2005183648
2021-01-20,1022574.2505183648
2021-01-21,991468.7637432804
2021-01-22,988287.3182579643
2021-01-25,988287.3182579642
2021-01-27,982531.1078384015
2021-01-28,971111.9078384014
2021-01-29,977499.1078384015
2021-02-01,999829.9078384015
2021-02-02,1036143.5078384015
2021-02-03,1043124.5578384015
2021-02-04,1053482.1578384014
2021-02-05,1051676.1970791717
2021-02-08,1073375.6970791717
2021-02-09,1069364.1470791718
2021-02-10,1053561.6576066143
2021-02-11,1057750.8576066145
2021-02-12,1056232.4495669382
2021-02-15,1065776.1995669382
2021-02-16,1081712.2495669383
2021-02-17,1082526.5995669384
2021-02-18,1079043.281514026
2021-02-19,1049393.5998225529
2021-02-22,1049393.5998225529
2021-02-23,1049393.5998225529
2021-02-24,1051972.5498225528
2021-02-25,1065230.699822553
2021-02-26,1032069.469843182
2021-03-01,1041456.469843182
2021-03-02,1049225.0698431819
2021-03-03,1058460.969843182
2021-03-04,1043113.9698431819
2021-03-05,1030123.5898431819
2021-03-08,1028997.319843182
2021-03-09,1019837.9938753138
2021-03-10,1023570.6938753139
2021-03-12,1014771.6629780103
2021-03-15,1006334.957033158
2021-03-16,1006948.557033158
2021-03-17,1011737.507033158
2021-03-18,1014171.1792202598
2021-03-19,1004091.8277881679
2021-03-22,1006253.0777881679
2021-03-23,1012397.3777881679
2021-03-24,991517.9819186983
2021-03-25,982169.507202998
2021-03-26,982169.5072029982
2021-03-30,990779.507202998
2021-03-31,991381.757202998
2021-04-01,1030685.3572029981
2021-04-05,1032462.4985452908
2021-04-06,1057991.4485452909
2021-04-07,1058492.3837785756
2021-04-08,1081336.1837785756
2021-04-09,1091248.4837785754
2021-04-12,1064223.0044534293
2021-04-13,1075777.2044534292
2021-04-15,1075225.9544534292
2021-04-16,1083214.504453429
2021-04-19,1052576.755625655
2021-04-20,1061789.005625655
2021-04-22,1062454.555625655
2021-04-23,1058995.305625655
2021-04-26,1074156.655625655
2021-04-27,1091075.355625655
2021-04-28,1085036.5556256552
2021-04-29,1125866.3056256552
2021-04-30,1120903.8780300473
2021-05-03,1131902.6518117483
2021-05-04,1120855.6018117485
2021-05-05,1140527.201811748
2021-05-06,1155360.3018117482
2021-05-07,1181683.4518117486
2021-05-10,1202094.1018117485
2021-05-11,1202717.2939663765
2021-05-12,1191167.9853239516
2021-05-14,1178853.494810602
2021-05-17,1178853.494810602
2021-05-18,1171699.4948106022
2021-05-19,1191457.644810602
2021-05-20,1193990.077800346
2021-05-21,1234147.6778003462
2021-05-24,1258610.977800346
2021-05-25,1230643.4642142018
2021-05-26,1232172.2642142018
2021-05-27,1234152.2642142018
2021-05-28,1224167.2642142018
2021-05-31,1220443.364214202
2021-06-01,1217587.5156648494
2021-06-02,1257269.2156648496
