,equity
2026-06-29,1000000.0
2026-06-30,1000000.0
2026-07-01,1000000.0
2026-07-02,1002135.7
2026-07-03,1004315.5
2026-07-06,1000783.2999999999
2026-07-07,993797.173995388
2026-07-08,993797.173995388
2026-07-09,993797.173995388
2026-07-10,993797.173995388
2026-07-13,997494.773995388
2026-07-14,990044.7716500389
2026-07-15,989687.7716500389
2026-07-16,990639.7716500389
2026-07-17,985922.5176189921
2026-07-20,987587.5176189921
2026-07-21,986939.5176189921
2026-07-22,985472.5176189921
2026-07-23,984554.5176189921
2026-07-24,982535.4432842848
2026-07-27,982535.4432842848
2026-07-28,983118.4432842848
2026-07-29,993772.2432842847
2026-07-30,996194.0432842848
2026-07-31,1000339.5289440389
2026-08-03,1018149.5289440389
2026-08-04,1013478.3295781417
2026-08-05,1020654.3295781417
2026-08-06,1014995.6111778668
2026-08-07,1014585.6111778668
2026-08-10,1013302.9111778669
2026-08-11,1013175.2111778669
2026-08-12,1008566.5946647635
2026-08-13,1011844.3946647635
2026-08-14,1009595.2946647635
