,equity
2026-06-29,1000000.0
2026-06-30,1004878.0900000001
2026-07-01,1007508.97
2026-07-02,1006499.59
2026-07-03,1005729.4531933704
2026-07-06,1004408.0531933705
2026-07-07,998445.5575636749
2026-07-08,995673.1075636749
2026-07-09,998309.2075636749
2026-07-10,997642.6075636749
2026-07-13,997395.3075636749
2026-07-14,984474.6789758112
2026-07-15,983970.8789758112
2026-07-16,988584.1946472607
2026-07-17,990366.290616214
2026-07-20,994970.390616214
2026-07-21,999836.990616214
2026-07-22,996476.240616214
2026-07-23,991924.9939362933
2026-07-24,989905.919601586
2026-07-27,989905.919601586
2026-07-28,990491.919601586
2026-07-29,1001158.919601586
2026-07-30,1003591.919601586
2026-07-31,1007717.7000659842
2026-08-03,1025558.9000659841
2026-08-04,1020891.7007000868
2026-08-05,1028122.9007000867
2026-08-06,1022420.6536967328
2026-08-07,1022010.6536967328
2026-08-10,1020709.8036967329
2026-08-11,1020587.9536967329
2026-08-12,1015962.8371836295
2026-08-13,1016918.0071836294
2026-08-14,1015353.3271836295
