,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,1000000.0
2026-01-09,1000000.0
2026-01-12,996585.6279620563
2026-01-13,1000804.5279620562
2026-01-14,1024920.2779620562
2026-01-16,1014169.6893159377
2026-01-19,1012332.8402729395
2026-01-20,1002601.4670036312
2026-01-21,1002601.4670036312
2026-01-22,1002601.4670036312
2026-01-23,1003712.0873457212
2026-01-27,1006181.7473457211
2026-01-28,1030866.4373457212
2026-01-29,1037095.8673457211
2026-01-30,1020234.3417372005
2026-02-01,1014265.4491923108
2026-02-02,1014265.4491923108
2026-02-03,1014265.4491923108
2026-02-04,1014265.4491923108
2026-02-05,1014265.4491923108
2026-02-06,1014265.4491923108
2026-02-09,1014265.4491923108
2026-02-10,1013929.1491923108
2026-02-11,1020796.7491923108
2026-02-12,1022478.2491923108
2026-02-13,1023575.6491923108
2026-02-16,1025257.1491923108
2026-02-17,1026195.2491923108
2026-02-18,1027168.7491923108
2026-02-19,1024832.3491923108
2026-02-20,1029657.1491923108
2026-02-23,1029490.0491923108
2026-02-24,1033704.9491923107
2026-02-25,1034153.487278691
2026-02-26,1034382.687278691
2026-02-27,1026051.5381438166
2026-03-02,1020786.1381438165
2026-03-04,1016869.6381438165
2026-03-05,1016422.0381438165
2026-03-06,1018887.52628002
2026-03-09,1008869.0534926467
2026-03-10,1008869.0534926467
2026-03-11,1009641.2534926466
2026-03-12,1011399.4534926467
2026-03-13,1004744.3976030389
2026-03-16,1002971.1263687804
2026-03-17,1002971.1263687804
2026-03-18,1002971.1263687804
2026-03-19,1002971.1263687804
2026-03-20,1002971.1263687804
2026-03-23,997450.6669721623
2026-03-24,997450.6669721623
2026-03-25,997450.6669721623
2026-03-27,997450.6669721623
2026-03-30,997450.6669721623
2026-04-01,997450.6669721623
2026-04-02,997450.6669721623
2026-04-06,997450.6669721623
2026-04-07,997450.6669721623
2026-04-08,997450.6669721623
2026-04-09,997450.6669721623
2026-04-10,997450.6669721623
2026-04-13,997450.6669721623
2026-04-15,997450.6669721623
2026-04-16,997450.6669721623
2026-04-17,997450.6669721623
2026-04-20,997450.6669721623
2026-04-21,997450.6669721623
2026-04-22,997450.6669721623
2026-04-23,997450.6669721623
2026-04-24,994433.1669721623
2026-04-27,996609.1669721623
2026-04-28,1003290.1669721623
2026-04-29,1004223.6669721623
2026-04-30,1002347.4169721623
2026-05-04,997897.4125962732
2026-05-05,1002289.8925962732
2026-05-06,997447.4725962733
2026-05-07,1006696.2325962733
2026-05-08,997679.537428767
2026-05-11,989806.8328568008
2026-05-12,986961.3907761815
2026-05-13,986961.3907761815
2026-05-14,986961.3907761815
2026-05-15,972940.8312931904
2026-05-18,976055.9183069916
2026-05-19,979420.7183069917
2026-05-20,980213.2783069917
2026-05-21,975241.8383069916
2026-05-22,980990.1583069917
2026-05-25,978985.5983069916
2026-05-26,999141.7783069918
2026-05-27,999302.3408631954
2026-05-29,992996.8608631954
2026-06-01,989560.3348664297
2026-06-02,991685.7748664297
2026-06-03,989737.4548664298
2026-06-04,985648.4342557354
2026-06-05,984896.9342557354
2026-06-08,965166.425609924
2026-06-09,971933.6256099241
2026-06-10,959186.2385810836
2026-06-11,956611.8624635402
2026-06-12,956611.8624635402
2026-06-15,956611.8624635402
2026-06-16,956611.8624635402
2026-06-17,956611.8624635402
2026-06-18,956611.8624635402
2026-06-19,956611.8624635402
2026-06-22,956611.8624635402
2026-06-23,956611.8624635402
2026-06-24,956611.8624635402
2026-06-25,956611.8624635402
2026-06-29,956611.8624635402
2026-06-30,961279.0224635401
2026-07-01,963796.1424635402
2026-07-02,962822.5224635402
2026-07-03,962077.4139041594
2026-07-06,963887.9139041594
2026-07-07,959874.8987255008
2026-07-08,957221.3987255008
2026-07-09,959744.3987255008
2026-07-10,958789.5987255007
2026-07-13,961593.0987255007
2026-07-14,955361.2166839276
2026-07-15,956602.3166839276
2026-07-16,961477.7166839276
2026-07-17,961525.948184119
2026-07-20,969268.8981841189
2026-07-21,978656.0981841189
2026-07-22,970572.8206608357
2026-07-23,967986.5058516706
2026-07-24,962246.433994787
2026-07-27,965546.633994787
2026-07-28,963071.1433630193
2026-07-29,965398.4433630193
2026-07-30,963729.8433630193
2026-07-31,964735.8394134856
2026-08-03,975747.3894134855
2026-08-04,972311.7394134856
2026-08-05,979266.9394134856
2026-08-06,973782.3354255268
2026-08-07,973310.4354255268
2026-08-10,971955.9354255268
2026-08-11,972693.2354255269
2026-08-12,968323.5416691602
2026-08-13,971500.9416691603
2026-08-14,969336.6416691602
2026-08-17,972623.9416691603
2026-08-18,969698.0416691602
2026-08-19,966439.4688777328
2026-08-20,966659.4688777328
2026-08-21,967253.4688777328
2026-08-24,964028.4688777328
