,equity
2021-08-26,1000000.0
2021-08-27,998755.75
2021-08-30,999621.3500000001
2021-08-31,1002963.65
2021-09-01,1001893.2000000001
2021-09-02,1006781.4500000001
2021-09-03,1009932.75
2021-09-06,1013926.9500000001
2021-09-07,1007519.1554900322
2021-09-08,1003183.1373647217
2021-09-09,1007225.6873647218
2021-09-13,1007339.7086676995
2021-09-14,1006264.3586676995
2021-09-15,1012734.9086676996
2021-09-16,1017246.9086676996
2021-09-17,1025664.4810108175
2021-09-20,1037276.9752190583
2021-09-21,1029657.4502081864
2021-09-22,1036981.1502081864
2021-09-23,1036770.3502081864
2021-09-24,1036981.1502081864
2021-09-27,1039403.5502081864
2021-09-28,1051021.9875494395
2021-09-29,1071935.6875494395
2021-09-30,1077552.0875494396
2021-10-01,1066920.312171418
2021-10-04,1074014.412171418
2021-10-05,1078693.262171418
2021-10-06,1066217.762171418
2021-10-07,1059838.5888730038
2021-10-08,1065508.8388730038
2021-10-11,1082746.3388730038
2021-10-12,1089806.2888730038
2021-10-13,1107921.638873004
2021-10-14,1121657.0388730038
2021-10-18,1114360.3352586925
2021-10-19,1119142.3352586925
2021-10-20,1112663.1720011919
2021-10-21,1112663.1720011919
2021-10-22,1112663.1720011919
2021-10-25,1112663.1720011919
2021-10-26,1112663.1720011919
2021-10-27,1113312.472001192
2021-10-28,1108329.472001192
2021-10-29,1105304.9336292844
2021-11-01,1102337.1836292844
2021-11-02,1106981.1836292844
2021-11-03,1109629.4336292844
2021-11-04,1111067.1836292844
2021-11-08,1113931.4336292844
2021-11-09,1113809.9336292844
2021-11-10,1116253.4336292844
2021-11-11,1109942.6029649943
2021-11-12,1109942.6029649943
2021-11-15,1109099.0029649944
2021-11-16,1112044.2029649944
2021-11-17,1114663.8029649942
2021-11-18,1108193.637762339
2021-11-22,1108193.637762339
2021-11-23,1108193.637762339
2021-11-24,1108193.637762339
2021-11-25,1108193.637762339
2021-11-26,1108193.637762339
2021-11-29,1103954.237762339
2021-11-30,1108242.037762339
2021-12-01,1114782.637762339
2021-12-02,1155259.337762339
2021-12-03,1155596.637762339
2021-12-06,1144966.7360091775
2021-12-07,1157724.2360091775
2021-12-08,1172911.7360091775
2021-12-09,1170663.9360091775
2021-12-10,1175888.3360091774
2021-12-13,1182912.8360091774
2021-12-14,1221284.7360091775
2021-12-15,1207524.6360091774
2021-12-16,1197012.2907315774
2021-12-17,1194128.2501036883
2021-12-20,1194128.2501036883
2021-12-21,1194128.2501036883
