,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,990249.9096899814
2026-01-09,990249.9096899813
2026-01-12,986872.6607435092
2026-01-13,991054.8107435093
2026-01-14,1030522.8807435094
2026-01-16,1018250.4120775006
2026-01-19,1017984.2237903437
2026-01-20,1008284.4026152852
2026-01-21,1008284.4026152852
2026-01-22,1008284.4026152854
2026-01-23,1004844.4091895327
2026-01-27,1006106.2568854699
2026-01-28,1030841.2768854699
2026-01-29,1037117.9768854699
2026-01-30,1020281.0481270098
2026-02-01,1014278.1447983885
2026-02-02,1014278.1447983885
2026-02-03,1014278.1447983885
2026-02-04,1011670.6447983885
2026-02-05,1010463.7447983884
2026-02-06,1012102.7447983884
2026-02-09,1012072.9447983884
2026-02-10,1022180.7647983885
2026-02-11,1028812.2047983884
2026-02-12,1031168.1247983885
2026-02-13,1028370.6633093306
2026-02-16,1032245.5633093305
2026-02-17,1029679.242619804
2026-02-18,1032696.0026198039
2026-02-19,1023466.6158508055
2026-02-20,1025297.0158508054
2026-02-23,1027356.2158508054
2026-02-24,1027878.6158508054
2026-02-25,1029033.5768858502
2026-02-26,1027525.6768858501
2026-02-27,1016589.3105112314
2026-03-02,1009458.9105112315
2026-03-04,1009458.9105112315
2026-03-05,1009458.9105112315
2026-03-06,1013099.3105112315
2026-03-09,1003183.1723191577
2026-03-10,1003183.1723191577
2026-03-11,1008169.1723191577
2026-03-12,1008447.6723191577
2026-03-13,997802.8211423598
2026-03-16,996029.5499081012
2026-03-17,996029.5499081012
2026-03-18,996029.5499081012
2026-03-19,996029.5499081012
2026-03-20,996029.5499081012
2026-03-23,990547.7853203379
2026-03-24,990547.7853203379
2026-03-25,990547.7853203379
2026-03-27,990547.7853203379
2026-03-30,990547.7853203379
2026-04-01,990547.7853203379
2026-04-02,990547.7853203379
2026-04-06,990547.7853203379
2026-04-07,990547.7853203379
2026-04-08,990547.7853203379
2026-04-09,990547.7853203379
2026-04-10,990547.7853203379
2026-04-13,990547.7853203379
2026-04-15,990547.7853203379
2026-04-16,990547.7853203379
2026-04-17,990547.7853203379
2026-04-20,990547.7853203379
2026-04-21,990547.7853203379
2026-04-22,990547.7853203379
2026-04-23,990547.7853203379
2026-04-24,987565.7853203379
2026-04-27,992215.7453203378
2026-04-28,999879.9053203379
2026-04-29,1002638.9653203379
2026-04-30,997765.6953203379
2026-05-04,990850.1477224414
2026-05-05,995199.8077224414
2026-05-06,990403.5677224414
2026-05-07,999650.8377224414
2026-05-08,987310.3309686705
2026-05-11,983074.6891202284
2026-05-12,983074.6891202284
2026-05-13,983074.6891202284
2026-05-14,983074.6891202284
2026-05-15,981298.6891202284
2026-05-18,987063.4891202283
2026-05-19,990428.2891202284
2026-05-20,991752.7391202283
2026-05-21,987733.6891202284
2026-05-22,992721.4891202284
2026-05-25,994521.1391202284
2026-05-26,1014894.1391202284
2026-05-27,1015140.441676432
2026-05-29,1008738.811676432
2026-06-01,1005248.572166594
2026-06-02,1007397.7721665939
2026-06-03,1005427.672166594
2026-06-04,1001292.9409596418
2026-06-05,1000532.4409596418
2026-06-08,992404.1293727186
2026-06-09,992404.1293727186
2026-06-10,992404.1293727186
2026-06-11,992404.1293727186
2026-06-12,992404.1293727186
2026-06-15,992404.1293727186
2026-06-16,992404.1293727186
2026-06-17,992404.1293727186
2026-06-18,992404.1293727186
2026-06-19,992404.1293727186
2026-06-22,992404.1293727186
2026-06-23,992404.1293727186
2026-06-24,992404.1293727186
2026-06-25,992404.1293727186
2026-06-29,992404.1293727186
2026-06-30,992404.1293727186
2026-07-01,992404.1293727186
2026-07-02,992404.1293727186
2026-07-03,991746.3293727187
2026-07-06,990799.1293727186
2026-07-07,990186.1654698595
2026-07-08,987450.3154698594
2026-07-09,990051.6154698594
2026-07-10,989393.8154698594
2026-07-13,987041.5154698594
2026-07-14,983158.2745864796
2026-07-15,983875.8745864797
2026-07-16,988121.6745864797
2026-07-17,994535.2245864797
2026-07-20,1000096.2745864796
2026-07-21,1009282.4745864797
2026-07-22,1004068.8245864797
2026-07-23,1001460.0915590993
2026-07-24,995339.817224392
2026-07-27,998853.6172243918
2026-07-28,996424.6482066435
2026-07-29,1008185.9482066436
2026-07-30,1007785.1482066435
2026-07-31,1014559.8734756857
2026-08-03,1039728.3234756858
2026-08-04,1030994.7741097885
2026-08-05,1038253.5741097885
2026-08-06,1032529.562804895
2026-08-07,1032529.562804895
2026-08-10,1032529.562804895
2026-08-11,1032529.562804895
2026-08-12,1033453.562804895
2026-08-13,1029421.562804895
2026-08-14,1026472.562804895
2026-08-17,1026390.662804895
2026-08-18,1030018.862804895
2026-08-19,1023183.4496246699
2026-08-20,1033935.4496246699
2026-08-21,1037631.6496246698
2026-08-24,1039846.4496246699
