,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,1000000.0
2026-01-09,1000000.0
2026-01-12,996585.6279620563
2026-01-13,1000804.5279620562
2026-01-14,1020862.6279620563
2026-01-16,1016605.2251001251
2026-01-19,1018165.825100125
2026-01-20,1008410.3609995423
2026-01-21,1008410.3609995423
2026-01-22,1008410.3609995423
2026-01-23,1008281.4175737897
2026-01-27,1008302.5975737898
2026-01-28,1025295.0675737897
2026-01-29,1028683.7375737898
2026-01-30,1019979.3102803438
2026-02-01,1013976.4069517225
2026-02-02,1013976.4069517225
2026-02-03,1013976.4069517225
2026-02-04,1013976.4069517225
2026-02-05,1013976.4069517225
2026-02-06,1013976.4069517225
2026-02-09,1013976.4069517225
2026-02-10,1013642.0069517224
2026-02-11,1020470.8069517225
2026-02-12,1022142.8069517225
2026-02-13,1023234.0069517224
2026-02-16,1024906.0069517224
2026-02-17,1025838.8069517225
2026-02-18,1026806.8069517225
2026-02-19,1024483.6069517224
2026-02-20,1026314.0069517224
2026-02-23,1028373.2069517225
2026-02-24,1031825.3069517225
2026-02-25,1029305.8679867673
2026-02-26,1028408.1679867673
2026-02-27,1024842.2188518927
2026-03-02,1024842.2188518927
2026-03-04,1024842.2188518927
2026-03-05,1024842.2188518927
2026-03-06,1025790.5188518927
2026-03-09,1021739.2380947537
2026-03-10,1021739.2380947536
2026-03-11,1022522.0380947536
2026-03-12,1024307.7380947536
2026-03-13,1017548.600159918
2026-03-16,1015735.9228982314
2026-03-17,1015735.9228982314
2026-03-18,1015735.9228982314
2026-03-19,1015735.9228982314
2026-03-20,1015735.9228982314
2026-03-23,1015735.9228982314
2026-03-24,1015735.9228982314
2026-03-25,1015735.9228982314
2026-03-27,1015735.9228982314
2026-03-30,1015735.9228982314
2026-04-01,1015735.9228982314
2026-04-02,1015735.9228982314
2026-04-06,1015735.9228982314
2026-04-07,1015735.9228982314
2026-04-08,1015735.9228982314
2026-04-09,1015735.9228982314
2026-04-10,1015735.9228982314
2026-04-13,1015735.9228982314
2026-04-15,1015735.9228982314
2026-04-16,1015735.9228982314
2026-04-17,1015735.9228982314
2026-04-20,1015735.9228982314
2026-04-21,1015735.9228982314
2026-04-22,1015735.9228982314
2026-04-23,1015735.9228982314
2026-04-24,1015735.9228982314
2026-04-27,1015735.9228982314
2026-04-28,1015735.9228982314
2026-04-29,1015735.9228982314
2026-04-30,1015735.9228982314
2026-05-04,1015735.9228982314
2026-05-05,1015735.9228982314
2026-05-06,1015735.9228982314
2026-05-07,1015735.9228982314
2026-05-08,1015735.9228982314
2026-05-11,1015735.9228982314
2026-05-12,1015735.9228982314
2026-05-13,1015735.9228982314
2026-05-14,1015735.9228982314
2026-05-15,1015735.9228982314
2026-05-18,1015735.9228982314
2026-05-19,1015735.9228982314
2026-05-20,1015735.9228982314
2026-05-21,1015735.9228982314
2026-05-22,1015735.9228982314
2026-05-25,1015735.9228982314
2026-05-26,1015735.9228982314
2026-05-27,1015735.9228982314
2026-05-29,1015735.9228982314
2026-06-01,1015735.9228982314
2026-06-02,1015735.9228982314
2026-06-03,1015735.9228982314
2026-06-04,1015735.9228982314
2026-06-05,1015735.9228982314
2026-06-08,1015735.9228982314
2026-06-09,1015735.9228982314
2026-06-10,1015735.9228982314
2026-06-11,1015735.9228982314
2026-06-12,1015735.9228982314
2026-06-15,1015735.9228982314
2026-06-16,1015735.9228982314
2026-06-17,1015735.9228982314
2026-06-18,1015735.9228982314
2026-06-19,1015735.9228982314
2026-06-22,1015735.9228982314
2026-06-23,1015735.9228982314
2026-06-24,1015735.9228982314
2026-06-25,1015735.9228982314
2026-06-29,1015735.9228982314
2026-06-30,1015735.9228982314
2026-07-01,1015735.9228982314
2026-07-02,1015735.9228982315
2026-07-03,1015062.7228982315
2026-07-06,1017327.1228982315
2026-07-07,1018459.3228982314
2026-07-08,1015659.4228982315
2026-07-09,1018321.6228982315
2026-07-10,1017648.4228982315
2026-07-13,1018352.2228982315
2026-07-14,1017112.9228982315
2026-07-15,1017847.3228982314
2026-07-16,1022192.5228982315
2026-07-17,1028756.2228982315
2026-07-20,1033444.9228982315
2026-07-21,1038344.5228982315
2026-07-22,1034916.1228982315
2026-07-23,1030298.3034789057
2026-07-24,1028211.9266663748
2026-07-27,1028211.9266663748
2026-07-28,1028211.9266663748
2026-07-29,1028211.9266663748
2026-07-30,1028211.9266663748
2026-07-31,1029731.7766663748
2026-08-03,1033928.1766663748
2026-08-04,1034466.1766663748
2026-08-05,1041890.5766663748
2026-08-06,1036035.9795522442
2026-08-07,1036035.9795522442
2026-08-10,1036035.9795522442
2026-08-11,1036035.9795522442
2026-08-12,1036035.9795522442
2026-08-13,1036035.9795522442
2026-08-14,1036035.9795522442
2026-08-17,1036035.9795522442
2026-08-18,1036035.9795522442
2026-08-19,1036035.9795522442
2026-08-20,1036035.9795522442
2026-08-21,1036035.9795522442
2026-08-24,1036035.9795522442
