,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,990249.9096899814
2026-01-09,990249.9096899813
2026-01-12,986872.6607435092
2026-01-13,991054.8107435093
2026-01-14,1027656.9644130226
2026-01-16,1013396.1457470141
2026-01-19,1009949.8027879295
2026-01-20,1000274.0724441455
2026-01-21,1000274.0724441455
2026-01-22,1000274.0724441453
2026-01-23,996871.7065540778
2026-01-27,998120.944750487
2026-01-28,1022589.624750487
2026-01-29,1028762.6447504871
2026-01-30,1012085.9738469997
2026-02-01,1006128.4182300204
2026-02-02,1006128.4182300204
2026-02-03,1006128.4182300204
2026-02-04,1003538.4182300204
2026-02-05,998942.6182300204
2026-02-06,1000076.8682300204
2026-02-09,996509.7657972382
2026-02-10,1006482.4857972383
2026-02-11,1012988.4257972382
2026-02-12,1015296.2957972382
2026-02-13,1012519.6838483753
2026-02-16,1016332.1338483754
2026-02-17,1013804.3699774713
2026-02-18,1016773.1299774713
2026-02-19,1007689.5268918832
2026-02-20,1012420.7268918832
2026-02-23,1012245.8268918832
2026-02-24,1012090.3768918832
2026-02-25,1009340.0567729216
2026-02-26,1011282.5067729217
2026-02-27,1010989.3067729216
2026-03-02,1012821.8067729216
2026-03-04,1008973.5567729216
2026-03-05,1008533.7567729217
2026-03-06,1009721.4535609072
2026-03-09,996392.8153688334
2026-03-10,996392.8153688333
2026-03-11,1001331.9153688333
2026-03-12,1001626.7153688334
2026-03-13,991026.7294957289
2026-03-16,989253.4582614703
2026-03-17,989253.4582614703
2026-03-18,989253.4582614703
2026-03-19,989253.4582614703
2026-03-20,989253.4582614703
2026-03-23,983810.3884825618
2026-03-24,983810.3884825618
2026-03-25,983810.3884825618
2026-03-27,983810.3884825618
2026-03-30,983810.3884825618
2026-04-01,983810.3884825618
2026-04-02,976241.2384508507
2026-04-06,976241.2384508507
2026-04-07,976241.2384508507
2026-04-08,976241.2384508507
2026-04-09,976241.2384508507
2026-04-10,976241.2384508507
2026-04-13,976241.2384508507
2026-04-15,976241.2384508507
2026-04-16,976241.2384508507
2026-04-17,976241.2384508507
2026-04-20,976241.2384508507
2026-04-21,976241.2384508507
2026-04-22,976241.2384508507
2026-04-23,976241.2384508507
2026-04-24,976241.2384508506
2026-04-27,978711.4184508506
2026-04-28,976059.7984508506
2026-04-29,974933.0748997482
2026-04-30,971960.1148997482
2026-05-04,969501.0569740583
2026-05-05,977875.0369740583
2026-05-06,987393.9169740584
2026-05-07,1001162.8269740583
2026-05-08,992169.5469740583
2026-05-11,982363.4698991557
2026-05-12,972352.3445448873
2026-05-13,979962.7445448872
2026-05-14,984126.0445448873
2026-05-15,960076.2426061393
2026-05-18,963191.3296199405
2026-05-19,966556.1296199405
2026-05-20,967367.8196199405
2026-05-21,962464.0096199404
2026-05-22,968122.4896199405
2026-05-25,966292.4996199404
2026-05-26,986265.4196199405
2026-05-27,984567.9221761441
2026-05-29,976735.2121761441
2026-06-01,971760.8842197073
2026-06-02,973858.2442197073
2026-06-03,971935.6642197074
2026-06-04,967900.6652227722
2026-06-05,967149.3652227721
2026-06-08,947659.8168684791
2026-06-09,954277.4168684791
2026-06-10,941787.9504682162
2026-06-11,939255.096546117
2026-06-12,939255.096546117
2026-06-15,939255.096546117
2026-06-16,939255.096546117
2026-06-17,939255.096546117
2026-06-18,939255.096546117
2026-06-19,939255.096546117
2026-06-22,939255.096546117
2026-06-23,939255.096546117
2026-06-24,939255.096546117
2026-06-25,939255.096546117
2026-06-29,939255.096546117
2026-06-30,939255.096546117
2026-07-01,939255.096546117
2026-07-02,941255.196546117
2026-07-03,943296.596546117
2026-07-06,939967.696546117
2026-07-07,933413.7260230564
2026-07-08,933413.7260230564
2026-07-09,933413.7260230563
2026-07-10,933106.5260230564
2026-07-13,935238.5260230564
2026-07-14,930246.7575173337
2026-07-15,930765.1575173337
2026-07-16,931526.7575173337
2026-07-17,925406.9890175251
2026-07-20,930173.289017525
2026-07-21,934211.5890175251
2026-07-22,928133.5471767656
2026-07-23,929062.8471767656
2026-07-24,923288.4777977054
2026-07-27,926600.4777977054
2026-07-28,924272.9110372775
2026-07-29,941271.2610372775
2026-07-30,942692.8610372775
2026-07-31,942328.2778691677
2026-08-03,964653.2434294428
2026-08-04,956563.8670916914
2026-08-05,963353.4670916913
2026-08-06,957999.4489129697
2026-08-07,957539.6489129696
2026-08-10,956204.6489129696
2026-08-11,956933.6489129696
2026-08-12,953051.7165349714
2026-08-13,954624.9165349714
2026-08-14,950282.5165349714
2026-08-17,953096.6165349714
2026-08-18,951864.8165349715
2026-08-19,946496.3861259974
2026-08-20,946957.8861259974
2026-08-21,946714.6861259975
2026-08-24,942653.3861259974
