,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,983971.6008101503
2026-01-09,983971.6008101503
2026-01-12,983915.6008101503
2026-01-13,985225.4708101503
2026-01-14,1022615.3020453132
2026-01-16,1011574.8919001594
2026-01-19,1008574.0860028636
2026-01-20,998953.9985846038
2026-01-21,998953.9985846038
2026-01-22,998953.9985846037
2026-01-23,995549.6485846038
2026-01-27,997586.3896895152
2026-01-28,1015743.5320895154
2026-01-29,1016077.2320895153
2026-01-30,1006038.0098297336
2026-02-01,1001990.7265656772
2026-02-02,1001990.7265656772
2026-02-03,1001990.7265656772
2026-02-04,999418.2265656772
2026-02-05,995656.1265656771
2026-02-06,996899.3765656771
2026-02-09,994192.2215595964
2026-02-10,1001977.2415595964
2026-02-11,1005358.5815595964
2026-02-12,1005824.5515595964
2026-02-13,1003291.9891509286
2026-02-16,1005933.9391509285
2026-02-17,1002892.3056521257
2026-02-18,1004885.4656521257
2026-02-19,998706.0423412849
2026-02-20,1002664.4423412848
2026-02-23,1001665.1423412849
2026-02-24,1001828.592341285
2026-02-25,1000507.0245261686
2026-02-26,1002433.5745261686
2026-02-27,1002142.7745261686
2026-03-02,1003960.2745261686
2026-03-04,1000143.5245261686
2026-03-05,999707.3245261685
2026-03-06,1000868.3637688227
2026-03-09,987642.0601720487
2026-03-10,987642.0601720486
2026-03-11,990929.0601720486
2026-03-12,991766.8601720487
2026-03-13,982841.241973446
2026-03-16,981107.3767666153
2026-03-17,981107.3767666153
2026-03-18,981107.3767666153
2026-03-19,981107.3767666153
2026-03-20,981107.3767666153
2026-03-23,975702.2767666153
2026-03-24,975565.278580137
2026-03-25,975565.278580137
2026-03-27,975565.278580137
2026-03-30,975565.278580137
2026-04-01,975565.278580137
2026-04-02,978902.8985801369
2026-04-06,982742.3285801369
2026-04-07,982859.028580137
2026-04-08,995071.916980137
2026-04-09,995071.916980137
2026-04-10,995071.916980137
2026-04-13,995071.916980137
2026-04-15,995071.916980137
2026-04-16,995071.916980137
2026-04-17,995071.916980137
2026-04-20,995071.916980137
2026-04-21,995071.916980137
2026-04-22,995071.916980137
2026-04-23,995071.916980137
2026-04-24,995071.916980137
2026-04-27,997589.556980137
2026-04-28,996576.496980137
2026-04-29,996770.7751748543
2026-04-30,993740.6951748542
2026-05-04,991234.3909395216
2026-05-05,996123.9109395216
2026-05-06,1002693.8309395217
2026-05-07,1014947.6209395217
2026-05-08,1007154.6009395217
2026-05-11,999245.0069822931
2026-05-12,993208.4869085896
2026-05-13,1000995.2869085897
2026-05-14,1005299.1369085896
2026-05-15,986527.2810435499
2026-05-18,988450.5552634855
2026-05-19,991044.2552634855
2026-05-20,991532.1752634855
2026-05-21,987200.5952634854
2026-05-22,992330.1352634855
2026-05-25,989589.4152634854
2026-05-26,1005865.1752634854
2026-05-27,1004463.8247338925
2026-05-29,997715.0347338924
2026-06-01,993340.7001973975
2026-06-02,995215.5801973976
2026-06-03,993496.9401973976
2026-06-04,989889.9586017851
2026-06-05,989510.8586017851
2026-06-08,976761.8193959492
2026-06-09,981258.6193959492
2026-06-10,973155.2142910038
2026-06-11,971681.1763527329
2026-06-12,971681.1763527329
2026-06-15,971681.1763527329
2026-06-16,971681.1763527329
2026-06-17,971681.1763527329
2026-06-18,971681.1763527329
2026-06-19,971681.1763527329
2026-06-22,971681.1763527329
2026-06-23,971681.1763527329
2026-06-24,971681.1763527329
2026-06-25,971681.1763527329
2026-06-29,971681.1763527329
2026-06-30,971681.1763527329
2026-07-01,971681.1763527329
2026-07-02,973443.976352733
2026-07-03,975243.1763527329
2026-07-06,972289.476352733
2026-07-07,966472.8621454405
2026-07-08,966472.8621454405
2026-07-09,966472.8621454405
2026-07-10,966156.0621454405
2026-07-13,967523.6621454405
2026-07-14,963615.4376312321
2026-07-15,964286.5376312321
2026-07-16,964707.9376312321
2026-07-17,960200.5823188517
2026-07-20,964724.0323188517
2026-07-21,967607.9323188517
2026-07-22,961985.4547955685
2026-07-23,962476.2047955685
2026-07-24,957570.7695757828
2026-07-27,960046.9695757828
2026-07-28,958322.2618446366
2026-07-29,972171.8118446367
2026-07-30,975975.2618446366
2026-07-31,972484.6078951028
2026-08-03,979310.0802552325
2026-08-04,977070.9302552326
2026-08-05,981790.5302552326
2026-08-06,978068.8346919748
2026-08-07,977717.9346919748
2026-08-10,976855.4346919748
2026-08-11,977302.9346919748
2026-08-12,974569.3547192919
2026-08-13,974973.9547192919
2026-08-14,971204.2547192919
2026-08-17,973035.2547192919
2026-08-18,972861.2547192919
2026-08-19,968419.8251486763
2026-08-20,968835.8251486763
2026-08-21,968442.0251486762
2026-08-24,964946.3251486763
