,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,990249.9096899814
2026-01-09,990249.9096899813
2026-01-12,986872.6607435092
2026-01-13,992226.5527267458
2026-01-14,1003759.9376541243
2026-01-16,1001680.5876541244
2026-01-19,1001282.9994846131
2026-01-20,996690.1494846131
2026-01-21,996388.6494846131
2026-01-22,1000308.1494846131
2026-01-23,1002460.6695381287
2026-01-27,1004457.54525073
2026-01-28,1011956.2911285169
2026-01-29,1006240.1111285167
2026-01-30,999783.1586319556
2026-02-01,999783.1586319556
2026-02-02,999783.1586319556
2026-02-03,999783.1586319556
2026-02-04,997210.6586319555
2026-02-05,992640.1586319555
2026-02-06,993765.9086319555
2026-02-09,990031.4542443838
2026-02-10,998541.8815532532
2026-02-11,1002541.944740425
2026-02-12,999122.844740425
2026-02-13,996465.0458239354
2026-02-16,996948.0458239354
2026-02-17,992697.6432457393
2026-02-18,992697.6432457393
2026-02-19,992697.6432457394
2026-02-20,995585.6432457394
2026-02-23,993419.6432457394
2026-02-24,994033.3432457394
2026-02-25,994719.2432457394
2026-02-26,996632.5432457393
2026-02-27,998108.6603527657
2026-03-02,998108.6603527657
2026-03-04,998108.6603527657
2026-03-05,998108.6603527657
2026-03-06,1000450.1603527657
2026-03-09,983606.2949408552
2026-03-10,983606.2949408552
2026-03-11,989693.755047992
2026-03-12,991411.7550479921
2026-03-13,985386.155047992
2026-03-16,980436.5268043675
2026-03-17,980436.5268043675
2026-03-18,980436.5268043675
2026-03-19,980436.5268043675
2026-03-20,980436.5268043675
2026-03-23,975045.0501039322
2026-03-24,975045.0501039322
2026-03-25,975045.0501039322
2026-03-27,975045.0501039322
2026-03-30,975045.0501039322
2026-04-01,975045.0501039322
2026-04-02,967542.4021891131
2026-04-06,967542.4021891131
2026-04-07,967542.4021891131
2026-04-08,967542.4021891131
2026-04-09,967542.4021891131
2026-04-10,967542.4021891131
2026-04-13,967542.4021891131
2026-04-15,967542.4021891131
2026-04-16,967542.4021891131
2026-04-17,967542.4021891131
2026-04-20,967542.4021891131
2026-04-21,967542.4021891131
2026-04-22,967542.4021891131
2026-04-23,967542.4021891131
2026-04-24,967542.4021891131
2026-04-27,969991.112189113
2026-04-28,967366.0721891131
2026-04-29,966525.9459793401
2026-04-30,966525.9459793401
2026-05-04,966525.9459793401
2026-05-05,974851.24597934
2026-05-06,982964.0543972393
2026-05-07,992000.9618613074
2026-05-08,991193.4618613074
2026-05-11,982175.884826333
2026-05-12,976563.884826333
2026-05-13,981739.3124129546
2026-05-14,985585.994628185
2026-05-15,984195.3481313926
2026-05-18,989960.1481313925
2026-05-19,991348.8542662618
2026-05-20,990806.8942662617
2026-05-21,987326.9342662618
2026-05-22,992800.2142662618
2026-05-25,986085.7742662618
2026-05-26,998880.0401813338
2026-05-27,1001433.4846485568
2026-05-29,1001433.4846485568
2026-06-01,1001433.4846485568
2026-06-02,1001433.4846485568
2026-06-03,1001433.4846485568
2026-06-04,1001433.4846485568
2026-06-05,1000662.3346485568
2026-06-08,980111.5108374985
2026-06-09,986984.3108374984
2026-06-10,974744.2108374984
2026-06-11,969975.0845009481
2026-06-12,969975.0845009481
2026-06-15,969975.0845009481
2026-06-16,969975.0845009481
2026-06-17,969975.0845009481
2026-06-18,969975.0845009481
2026-06-19,969975.0845009481
2026-06-22,969975.0845009481
2026-06-23,969975.0845009481
2026-06-24,969975.0845009481
2026-06-25,969975.0845009481
2026-06-29,969975.0845009481
2026-06-30,969975.0845009481
2026-07-01,969975.0845009481
2026-07-02,972042.9845009481
2026-07-03,974153.5845009481
2026-07-06,972324.2523890862
2026-07-07,970633.1731403723
2026-07-08,970633.1731403723
2026-07-09,970633.1731403723
2026-07-10,970313.1731403723
2026-07-13,972458.9731403722
2026-07-14,968315.7731403722
2026-07-15,970366.1731403723
2026-07-16,970217.3731403722
2026-07-17,966354.4621147586
2026-07-20,968914.2121147586
2026-07-21,973294.9121147586
2026-07-22,964681.8712069356
2026-07-23,966092.6712069357
2026-07-24,956816.9799035242
2026-07-27,962211.684855758
2026-07-28,958172.084855758
2026-07-29,969706.6655239633
2026-07-30,971213.5676348056
2026-07-31,972648.6676348055
2026-08-03,976611.0676348056
2026-08-04,976697.0049205207
2026-08-05,976697.0049205207
2026-08-06,976697.0049205207
2026-08-07,976225.1049205207
2026-08-10,974863.8549205207
2026-08-11,975605.8549205207
2026-08-12,971158.5325758588
2026-08-13,972816.6325758587
2026-08-14,968391.1825758588
2026-08-17,971260.4325758588
2026-08-18,969961.6825758588
2026-08-19,964101.4878358379
2026-08-20,969803.2996477865
2026-08-21,972835.9496477866
2026-08-24,971023.6496477865
