,equity
2021-08-26,1000000.0
2021-08-27,998755.75
2021-08-30,993654.9500000001
2021-08-31,1000251.65
2021-09-01,995045.4
2021-09-02,997861.5583768773
2021-09-03,1000755.4583768772
2021-09-06,1005165.4583768772
2021-09-07,997332.0638669095
2021-09-08,996563.1138669095
2021-09-09,1000605.6638669096
2021-09-13,1007831.1851698871
2021-09-14,1014436.8351698872
2021-09-15,1024640.1351698872
2021-09-16,1024665.6351698872
2021-09-17,1018405.1299786181
2021-09-20,1030017.624186859
2021-09-21,1022398.0991759871
2021-09-22,1022398.0991759871
2021-09-23,1022398.0991759871
2021-09-24,1022398.0991759871
2021-09-27,1022398.0991759871
2021-09-28,1022398.0991759871
2021-09-29,1016901.1024338781
2021-09-30,1016901.1024338781
2021-10-01,1016901.1024338781
2021-10-04,1023642.102433878
2021-10-05,1034427.502433878
2021-10-06,1013006.4214284067
2021-10-07,1006941.5478479861
2021-10-08,998943.9371742443
2021-10-11,1000819.2371742444
2021-10-12,1002725.4871742444
2021-10-13,1005538.650870943
2021-10-14,1003856.150870943
2021-10-18,1004151.150870943
2021-10-19,1006237.2947432908
2021-10-20,1000082.089648665
2021-10-21,1000082.089648665
2021-10-22,1000862.3896486651
2021-10-25,1001994.9728126054
2021-10-26,1010040.7728126055
2021-10-27,1012154.4868933824
2021-10-28,981265.1995459057
2021-10-29,978521.0819502015
2021-11-01,968996.111380894
2021-11-02,973124.111380894
2021-11-03,972516.2113808938
2021-11-04,982531.161380894
2021-11-08,1001303.661380894
2021-11-09,1006122.111380894
2021-11-10,992674.1447824908
2021-11-11,982280.8990072687
2021-11-12,983863.2490072687
2021-11-15,975564.2990072687
2021-11-16,979699.8490072687
2021-11-17,983474.4490072686
2021-11-18,966017.2784740822
2021-11-22,966017.2784740822
2021-11-23,966017.2784740822
2021-11-24,966017.2784740822
2021-11-25,966887.3784740821
2021-11-26,959322.0903514918
2021-11-29,956977.4903514918
2021-11-30,959368.8403514918
2021-12-01,961607.8903514917
2021-12-02,1004152.8403514918
2021-12-03,995683.0534995206
2021-12-06,986506.638349063
2021-12-07,997510.638349063
2021-12-08,1010610.638349063
2021-12-09,1008673.038349063
2021-12-10,1013181.8383490631
2021-12-13,1019233.8383490631
2021-12-14,1052314.638349063
2021-12-15,1040451.438349063
2021-12-16,1031388.9722989192
2021-12-17,1028904.810270869
2021-12-20,1028904.810270869
2021-12-21,1028904.810270869
2021-12-22,1043856.110270869
2021-12-23,1040109.0102708691
