,equity
2021-08-26,1000000.0
2021-08-27,998755.75
2021-08-30,996488.9500000001
2021-08-31,1001395.75
2021-09-01,998523.1
2021-09-02,1000270.3
2021-09-03,1006410.15
2021-09-06,1008667.6000000001
2021-09-07,997509.3
2021-09-08,995502.932
2021-09-09,993041.0
2021-09-13,999287.8
2021-09-14,1011344.05
2021-09-15,1020008.65
2021-09-16,1018763.7000000001
2021-09-17,1000135.8929999999
2021-09-20,981621.893
2021-09-21,981888.7930000001
2021-09-22,998775.7930000001
2021-09-23,1003593.2430000001
2021-09-24,1002367.7430000001
2021-09-27,987582.8657
2021-09-28,989717.1499999999
2021-09-29,1002978.95
2021-09-30,1003933.38455
2021-10-01,990256.0845499999
2021-10-04,992497.9845499999
2021-10-05,1009724.03455
2021-10-06,995847.63455
2021-10-07,1003247.18455
2021-10-08,1010060.53455
2021-10-11,1004948.68455
2021-10-12,1014653.03455
2021-10-13,1026510.88455
2021-10-14,1038942.08455
2021-10-18,1053051.28455
2021-10-19,1053906.13455
2021-10-20,1036427.9845499999
2021-10-21,1010142.6997499999
2021-10-22,984058.0497499999
2021-10-25,973244.9353
2021-10-26,989358.1853
2021-10-27,988740.6825
2021-10-28,968736.7324999999
2021-10-29,955060.9592
2021-11-01,961782.9042
2021-11-02,973227.8041999999
2021-11-03,967234.3542
2021-11-04,990295.0042
2021-11-08,1009609.1542
2021-11-09,1020258.8542
2021-11-10,1003088.0542
2021-11-11,993785.9542
2021-11-12,1005391.3542
2021-11-15,986940.2170999999
2021-11-16,985258.3170999999
2021-11-17,989512.8170999999
2021-11-18,965285.3370999999
2021-11-22,939038.4687
2021-11-23,951446.4187
2021-11-24,942955.6187
2021-11-25,947128.8187
2021-11-26,911165.1206999999
2021-11-29,908365.0706999999
2021-11-30,911211.6206999999
2021-12-01,914627.6706999999
2021-12-02,949801.8206999999
2021-12-03,939382.3206999999
2021-12-06,923726.8670999999
2021-12-07,940947.6170999999
2021-12-08,954270.8670999999
2021-12-09,949962.0670999999
2021-12-10,957178.9670999999
2021-12-13,960943.6170999999
2021-12-14,992154.6170999999
2021-12-15,980577.7670999998
2021-12-16,953128.9170999998
2021-12-17,934771.1170999999
2021-12-20,926011.0670999999
2021-12-21,916592.1671
2021-12-22,936316.0471999999
2021-12-23,928450.6472
2021-12-24,931671.6471999999
2021-12-27,945491.7971999999
2021-12-28,959526.9971999999
2021-12-29,960451.8472
2021-12-30,958682.1472
2021-12-31,959573.9471999998
