,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,1000000.0
2026-01-09,1000000.0
2026-01-12,999943.25
2026-01-13,1001274.95
2026-01-14,1019321.95
2026-01-16,1014599.8999999999
2026-01-19,1022733.6
2026-01-20,1002064.6020649455
2026-01-21,998095.1520649455
2026-01-22,1002681.7520649455
2026-01-23,1000082.0020649455
2026-01-27,1021113.4420649456
2026-01-28,1051584.2020649456
2026-01-29,1068514.0120649454
2026-01-30,1042075.3720649456
2026-02-01,979592.5851217969
2026-02-02,982816.4223217969
2026-02-03,987165.0623217969
2026-02-04,989420.4623217969
2026-02-05,985736.7723217969
2026-02-06,982567.3523217968
2026-02-09,989320.7223217969
2026-02-10,993228.4823217969
2026-02-11,994332.5723217968
2026-02-12,999372.9623217969
2026-02-13,987842.9323217969
2026-02-16,989340.9423217969
2026-02-17,988374.8323217969
2026-02-18,990585.252321797
2026-02-19,984322.3523217969
2026-02-20,989613.5723217968
2026-02-23,991318.2923217969
2026-02-24,996108.7823217969
2026-02-25,1002012.8923217969
2026-02-26,1002853.0623217969
2026-02-27,995940.4223217969
2026-03-02,997974.0423217969
2026-03-04,992957.642321797
2026-03-05,1003206.8523217968
2026-03-06,993929.5623217969
2026-03-09,980021.802321797
2026-03-10,985701.3523217968
2026-03-11,989815.9523217969
2026-03-12,995818.3523217968
2026-03-13,981508.1523217969
2026-03-16,965036.636921797
2026-03-17,975321.936921797
2026-03-18,971794.236921797
2026-03-19,964232.086921797
2026-03-20,963810.9869217969
2026-03-23,954264.936921797
2026-03-24,956229.136921797
2026-03-25,958110.536921797
2026-03-27,956643.136921797
2026-03-30,954554.7369217969
2026-04-01,951025.7579872913
2026-04-02,951025.7579872913
2026-04-06,951025.7579872913
2026-04-07,951025.7579872913
2026-04-08,951025.7579872913
2026-04-09,951025.7579872913
2026-04-10,951025.7579872913
2026-04-13,951025.7579872913
2026-04-15,951025.7579872913
2026-04-16,951025.7579872913
2026-04-17,951025.7579872913
2026-04-20,951025.7579872913
2026-04-21,951025.7579872913
2026-04-22,951025.7579872913
2026-04-23,951025.7579872913
2026-04-24,951025.7579872913
2026-04-27,951025.7579872913
2026-04-28,951025.7579872913
2026-04-29,951025.7579872913
2026-04-30,951025.7579872913
2026-05-04,951025.7579872913
2026-05-05,951025.7579872913
2026-05-06,951025.7579872913
2026-05-07,951025.7579872913
2026-05-08,951025.7579872913
2026-05-11,951025.7579872913
2026-05-12,951025.7579872913
2026-05-13,951025.7579872913
2026-05-14,951025.7579872913
2026-05-15,951025.7579872913
2026-05-18,951025.7579872913
2026-05-19,951025.7579872913
2026-05-20,951025.7579872913
2026-05-21,951025.7579872913
2026-05-22,951025.7579872913
2026-05-25,951025.7579872913
2026-05-26,951025.7579872913
2026-05-27,951025.7579872913
2026-05-29,951025.7579872913
2026-06-01,951025.7579872913
2026-06-02,951025.7579872913
2026-06-03,951025.7579872913
2026-06-04,951025.7579872913
2026-06-05,951025.7579872913
2026-06-08,951025.7579872913
2026-06-09,951025.7579872913
2026-06-10,951025.7579872913
2026-06-11,951025.7579872913
2026-06-12,951025.7579872913
2026-06-15,951025.7579872913
2026-06-16,951025.7579872913
2026-06-17,951025.7579872913
2026-06-18,951025.7579872913
2026-06-19,951025.7579872913
2026-06-22,951025.7579872913
2026-06-23,951025.7579872913
2026-06-24,951025.7579872913
2026-06-25,951025.7579872913
2026-06-29,951025.7579872913
2026-06-30,951025.7579872913
2026-07-01,951025.7579872913
2026-07-02,951025.7579872913
2026-07-03,950651.7579872913
2026-07-06,951909.7579872913
2026-07-07,952538.7579872913
2026-07-08,950983.2579872913
2026-07-09,952462.2579872913
2026-07-10,952088.2579872913
2026-07-13,952479.2579872913
2026-07-14,951790.7579872913
2026-07-15,952198.7579872913
2026-07-16,954612.7579872913
2026-07-17,958259.2579872913
2026-07-20,961443.7579872913
2026-07-21,963940.1579872913
2026-07-22,961524.7579872913
2026-07-23,959530.6579872913
2026-07-24,957257.5579872914
2026-07-27,960224.1579872913
2026-07-28,957337.3579872913
2026-07-29,959342.7579872913
2026-07-30,966130.8579872913
2026-07-31,970004.6579872913
2026-08-03,973586.2579872913
2026-08-04,972598.2579872913
2026-08-05,977464.5579872914
2026-08-06,974693.2579872913
2026-08-07,984276.3579872913
2026-08-10,967035.8399872913
2026-08-11,964910.8399872913
2026-08-12,965675.8399872913
2026-08-13,964893.8399872913
2026-08-14,963550.8399872913
2026-08-17,965760.8399872913
2026-08-18,968718.8399872913
2026-08-19,968905.8399872913
2026-08-20,968633.8399872913
2026-08-21,967902.8399872913
2026-08-24,967205.8399872913
