,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,983971.6008101503
2026-01-09,980587.2258101503
2026-01-12,980532.2258101503
2026-01-13,981839.9858101503
2026-01-14,1018937.7558101503
2026-01-16,1006286.0158101503
2026-01-19,1013916.8758101503
2026-01-20,993732.3433273365
2026-01-21,988620.7233273365
2026-01-22,993072.3733273365
2026-01-23,988421.0233273364
2026-01-27,1010392.1933273365
2026-01-28,1051816.8633273365
2026-01-29,1072087.0933273365
2026-01-30,1031907.5833273365
2026-02-01,953691.9293273364
2026-02-02,959359.3543273364
2026-02-03,963656.9943273364
2026-02-04,964652.5943273364
2026-02-05,961620.3543273364
2026-02-06,960076.7543273364
2026-02-09,966077.3543273364
2026-02-10,974035.5343273364
2026-02-11,978242.6343273364
2026-02-12,982505.5643273364
2026-02-13,970435.7243273365
2026-02-16,980881.1743273365
2026-02-17,985730.4043273365
2026-02-18,996628.7443273365
2026-02-19,982276.3443273364
2026-02-20,990124.6443273365
2026-02-23,999104.6843273365
2026-02-24,1004442.5043273366
2026-02-25,1010765.3843273364
2026-02-26,1016114.0943273364
2026-02-27,1009942.3243273364
2026-03-02,1000052.1943273365
2026-03-04,984769.8643273364
2026-03-05,996061.5243273363
2026-03-06,981833.9143273365
2026-03-09,963209.5943273364
2026-03-10,972006.8343273364
2026-03-11,972152.6543273363
2026-03-12,978527.2543273364
2026-03-13,950406.9143273362
2026-03-16,935885.4619273364
2026-03-17,942657.5619273364
2026-03-18,942068.7619273363
2026-03-19,933485.7619273363
2026-03-20,934769.5619273363
2026-03-23,917969.1619273364
2026-03-24,915949.4338773363
2026-03-25,919807.8338773364
2026-03-27,919913.8338773364
2026-03-30,917857.4338773363
2026-04-01,916235.6338773363
2026-04-02,913211.9520773364
2026-04-06,913211.9520773364
2026-04-07,913211.9520773364
2026-04-08,913211.9520773364
2026-04-09,913211.9520773364
2026-04-10,913211.9520773364
2026-04-13,913211.9520773364
2026-04-15,913211.9520773364
2026-04-16,913211.9520773364
2026-04-17,913211.9520773364
2026-04-20,913211.9520773364
2026-04-21,913211.9520773364
2026-04-22,913211.9520773364
2026-04-23,913211.9520773364
2026-04-24,910868.9520773364
2026-04-27,914863.7520773364
2026-04-28,921030.5520773364
2026-04-29,923448.2520773364
2026-04-30,919223.2020773364
2026-05-04,912368.9520773364
2026-05-05,913161.9620773364
2026-05-06,906821.3882773364
2026-05-07,916881.3082773364
2026-05-08,905974.4482773363
2026-05-11,891564.2482773364
2026-05-12,877264.8622692756
2026-05-13,889753.3022692755
2026-05-14,903144.2222692757
2026-05-15,895808.4622692757
2026-05-18,897158.9822692757
2026-05-19,901445.6222692756
2026-05-20,900014.0222692757
2026-05-21,896832.1622692756
2026-05-22,891282.6022692756
2026-05-25,908680.6622692756
2026-05-26,923866.2622692757
2026-05-27,928044.8422692756
2026-05-29,904740.6022692756
2026-06-01,900293.3318692757
2026-06-02,905243.8118692756
2026-06-03,904708.3518692757
2026-06-04,897852.9118692756
2026-06-05,884652.3318692757
2026-06-08,867957.7318692757
2026-06-09,874813.3718692757
2026-06-10,865669.4118692757
2026-06-11,859760.9918692757
2026-06-12,876872.2518692757
2026-06-15,871138.2518692757
2026-06-16,873672.5318692757
2026-06-17,872021.7318692757
2026-06-18,878923.3518692757
2026-06-19,884485.4918692757
2026-06-22,885176.3118692758
2026-06-23,879524.3718692757
2026-06-24,870967.6918692756
2026-06-25,870099.3518692757
2026-06-29,867191.7318692757
2026-06-30,865638.8518692757
2026-07-01,868848.1918692756
2026-07-02,862922.2318692757
2026-07-03,856355.7408692758
2026-07-06,854234.4008692757
2026-07-07,852928.2208692757
2026-07-08,848439.4808692756
2026-07-09,852509.2808692757
2026-07-10,850104.7808692757
2026-07-13,846449.5808692756
2026-07-14,846079.1808692757
2026-07-15,841121.1195005388
2026-07-16,843144.1195005388
2026-07-17,844447.2456643842
2026-07-20,847846.2956643841
2026-07-21,852721.3956643841
2026-07-22,849491.5956643842
2026-07-23,848898.8456643842
2026-07-24,844163.6456643841
2026-07-27,848991.4456643842
2026-07-28,843761.5956643841
2026-07-29,846781.6956643842
2026-07-30,852157.5956643841
2026-07-31,862686.4956643842
2026-08-03,865765.1456643841
2026-08-04,861495.8956643841
2026-08-05,861153.5956643841
2026-08-06,857497.5956643841
2026-08-07,866518.7456643842
2026-08-10,850077.6876643841
2026-08-11,846652.6376643841
2026-08-12,848751.2376643841
2026-08-13,844675.0376643841
2026-08-14,839685.5732643841
2026-08-17,842205.923264384
2026-08-18,852245.923264384
2026-08-19,850193.0732643841
2026-08-20,855205.173264384
2026-08-21,856411.8732643841
2026-08-24,856461.2232643841
