,equity
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,997092.632
2021-09-09,997092.632
2021-09-13,997092.632
2021-09-14,997087.0819999999
2021-09-15,1000755.632
2021-09-16,1003069.9820000001
2021-09-17,994334.282
2021-09-20,993990.182
2021-09-21,996687.4820000001
2021-09-22,1004268.782
2021-09-23,1007321.282
2021-09-24,1006344.4820000001
2021-09-27,998208.182
2021-09-28,991963.4663
2021-09-29,991963.4663
2021-09-30,991963.4663
2021-10-01,991963.4663
2021-10-04,991963.4663
2021-10-05,991963.4663
2021-10-06,991963.4663
2021-10-07,991963.4663
2021-10-08,985394.6662999999
2021-10-11,985923.8662999999
2021-10-12,989518.1662999999
2021-10-13,994918.3663
2021-10-14,994383.3662999999
2021-10-18,993281.3663
2021-10-19,983531.6662999999
2021-10-20,979109.8467
2021-10-21,977728.8467
2021-10-22,973309.6466999999
2021-10-25,972291.0211
2021-10-26,974357.1711
2021-10-27,965569.2751
2021-10-28,965569.2751
2021-10-29,965569.2751
2021-11-01,965569.2751
2021-11-02,965569.2751
2021-11-03,962630.3250999999
2021-11-04,966113.5251
2021-11-08,972317.9750999999
2021-11-09,973733.0251
2021-11-10,962303.7751
2021-11-11,963501.1251
2021-11-12,963609.9750999999
2021-11-15,960372.6276999998
2021-11-16,961490.8776999998
2021-11-17,959449.6776999999
2021-11-18,954356.1276999998
2021-11-22,948205.4376999999
2021-11-23,948205.4376999999
2021-11-24,948205.4376999999
2021-11-25,948205.4376999999
2021-11-26,948205.4376999999
2021-11-29,948205.4376999999
2021-11-30,948205.4376999999
2021-12-01,948205.4376999999
2021-12-02,970837.9376999999
2021-12-03,968780.4376999999
2021-12-06,966311.4376999999
2021-12-07,974952.9376999999
2021-12-08,985240.4376999999
2021-12-09,983711.0376999999
2021-12-10,987236.2376999999
2021-12-13,992032.7376999999
2021-12-14,1018117.4376999999
2021-12-15,1008766.1376999998
2021-12-16,995653.0376999999
2021-12-17,979101.3376999998
2021-12-20,971895.8376999998
2021-12-21,965191.8376999998
2021-12-22,992222.4376999999
2021-12-23,984039.5376999999
2021-12-24,987411.2376999999
2021-12-27,1001740.5876999999
2021-12-28,1016360.7876999999
2021-12-29,1017190.3376999998
2021-12-30,1015402.1376999998
2021-12-31,1016349.0376999999
2022-01-03,1008810.8376999998
2022-01-04,1002986.7376999998
2022-01-05,1009801.8376999998
2022-01-06,1014372.2876999999
2022-01-07,1026767.2876999999
2022-01-10,1019444.7876999999
2022-01-11,1015464.1376999998
2022-01-12,1013395.7376999998
2022-01-13,1018663.4376999999
2022-01-14,1023406.1376999998
2022-01-17,1022171.5876999999
2022-01-18,1017227.4376999999
2022-01-19,1025868.2876999999
2022-01-20,1026165.0376999999
2022-01-21,1003172.7376999998
2022-01-24,980656.3126999999
2022-01-25,989041.4126999999
2022-01-27,993867.9126999999
2022-01-28,988866.5126999998
2022-01-31,986160.9126999999
2022-02-01,991983.6126999999
2022-02-02,999713.8126999999
2022-02-03,1008500.2126999999
2022-02-04,1009644.7126999999
2022-02-07,1002149.4126999999
2022-02-08,995722.7126999998
2022-02-09,1009007.4126999999
2022-02-10,1008671.0126999998
2022-02-11,997030.8626999997
2022-02-14,980291.5626999998
2022-02-15,984406.5626999998
2022-02-16,988521.5626999998
2022-02-17,992636.5626999998
2022-02-18,990990.5626999998
2022-02-21,981937.5626999998
2022-02-22,972884.5626999998
2022-02-23,974119.0626999998
2022-02-24,954266.2451999998
2022-02-25,954266.2451999998
2022-02-28,954266.2451999998
2022-03-02,954266.2451999998
2022-03-03,954266.2451999998
