,equity
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,997804.0
2021-09-09,1000370.0
2021-09-13,1003592.0
2021-09-14,1002694.7
2021-09-15,1011254.0
2021-09-16,1015072.1000000001
2021-09-17,1020211.9
2021-09-20,1033525.3
2021-09-21,1027631.1000000001
2021-09-22,1033278.9
2021-09-23,1042059.9
2021-09-24,1046733.1000000001
2021-09-27,1033121.3
2021-09-28,1025802.1000000001
2021-09-29,1024750.3
2021-09-30,1033797.8
2021-10-01,1037473.5
2021-10-04,1045513.8
2021-10-05,1045480.9
2021-10-06,1056864.1
2021-10-07,1069027.3
2021-10-08,1070896.9
2021-10-11,1067831.95
2021-10-12,1060679.6
2021-10-13,1072806.55
2021-10-14,1088449.25
2021-10-18,1085405.1
2021-10-19,1080694.35
2021-10-20,1075693.7000000002
2021-10-21,1052862.2000000002
2021-10-22,1046444.9000000001
2021-10-25,1044306.5
2021-10-26,1052746.35
2021-10-27,1061471.8
2021-10-28,1048082.3500000001
2021-10-29,1043928.5
2021-11-01,1064578.3
2021-11-02,1073277.9500000002
2021-11-03,1072898.6500000001
2021-11-04,1079014.5
2021-11-08,1086997.8
2021-11-09,1092346.55
2021-11-10,1089253.75
2021-11-11,1096265.7
2021-11-12,1093221.1500000001
2021-11-15,1096610.25
2021-11-16,1095824.75
2021-11-17,1091420.3
2021-11-18,1070752.2385
2021-11-22,1045371.8081
2021-11-23,1049714.0081000002
2021-11-24,1044924.2081
2021-11-25,1040204.5081000001
2021-11-26,1027462.9081000001
2021-11-29,1032927.2081
2021-11-30,1039637.0081000001
2021-12-01,1043722.0081000001
2021-12-02,1072131.1081
2021-12-03,1059652.2081
2021-12-06,1049264.5081
2021-12-07,1053981.5081000002
2021-12-08,1063937.2081000002
2021-12-09,1064054.4081000001
2021-12-10,1064768.6081
2021-12-13,1074212.7581
2021-12-14,1098025.4081000001
2021-12-15,1088606.8081
2021-12-16,1085849.4081000001
2021-12-17,1085756.7581
2021-12-20,1069286.5081
2021-12-21,1062749.8081
2021-12-22,1082050.1581000001
2021-12-23,1088324.7081000002
2021-12-24,1087016.4081000001
2021-12-27,1099577.9581000002
2021-12-28,1108209.7581000002
2021-12-29,1109263.5081
2021-12-30,1117606.9581000002
2021-12-31,1121940.4081000001
2022-01-03,1115595.7081000002
2022-01-04,1116253.6081
2022-01-05,1112485.6581000001
2022-01-06,1104125.3081
2022-01-07,1111302.7581000002
2022-01-10,1102436.0081000002
2022-01-11,1099836.5581
2022-01-12,1098303.9581000002
2022-01-13,1107164.9081000001
2022-01-14,1105076.0081
2022-01-17,1099304.1581000001
2022-01-18,1095276.1081
2022-01-19,1098353.1581000001
2022-01-20,1108358.4581
2022-01-21,1094070.5581
2022-01-24,1079445.7831000001
2022-01-25,1090479.4331
2022-01-27,1097110.3331
2022-01-28,1088519.2331
2022-01-31,1108458.0331000001
2022-02-01,1104124.1331000002
2022-02-02,1113866.2831000001
2022-02-03,1110408.4831
2022-02-04,1108147.5831000002
2022-02-07,1122488.6831
2022-02-08,1122025.2831000001
2022-02-09,1123501.5831000002
2022-02-10,1126936.0831000002
2022-02-11,1111958.4331
2022-02-14,1078038.7331
2022-02-15,1081718.5018767652
2022-02-16,1079567.2018767651
2022-02-17,1079803.4518767651
2022-02-18,1078551.3518767653
2022-02-21,1071881.851876765
2022-02-22,1068829.8518767653
2022-02-23,1073422.6018767653
2022-02-24,1053716.8993767651
2022-02-25,1062254.1993767652
2022-02-28,1061892.4493767652
2022-03-02,1057262.049376765
2022-03-03,1056538.549376765
2022-03-04,1053789.2493767652
