,equity
2026-01-01,1000000.0
2026-01-02,1000000.0
2026-01-05,1000000.0
2026-01-06,1000000.0
2026-01-07,1000000.0
2026-01-08,983971.6008101503
2026-01-09,980587.2258101503
2026-01-12,980532.2258101503
2026-01-13,981839.9858101503
2026-01-14,1018937.7558101503
2026-01-16,1006286.0158101503
2026-01-19,1013916.8758101503
2026-01-20,993732.3433273365
2026-01-21,988620.7233273365
2026-01-22,993072.3733273365
2026-01-23,988421.0233273364
2026-01-27,1010392.1933273365
2026-01-28,1051816.8633273365
2026-01-29,1072087.0933273365
2026-01-30,1031907.5833273365
2026-02-01,953691.9293273364
2026-02-02,959359.3543273364
2026-02-03,963656.9943273364
2026-02-04,964652.5943273364
2026-02-05,959134.9543273364
2026-02-06,957230.1043273364
2026-02-09,961149.9043273365
2026-02-10,963196.0043273364
2026-02-11,962177.7130856215
2026-02-12,961330.2130856215
2026-02-13,951689.8930856215
2026-02-16,961424.7930856214
2026-02-17,965781.2730856215
2026-02-18,976600.7730856215
2026-02-19,965053.8330856215
2026-02-20,976248.4730856215
2026-02-23,986047.4130856214
2026-02-24,990204.9730856215
2026-02-25,996971.8330856215
2026-02-26,1000280.3130856215
2026-02-27,996532.7730856215
2026-03-02,988611.8530856215
2026-03-04,974116.8530856215
2026-03-05,983727.8730856214
2026-03-06,971367.4930856215
2026-03-09,947697.5881856214
2026-03-10,956494.8281856214
2026-03-11,956579.3481856214
2026-03-12,962944.8481856214
2026-03-13,934995.0081856214
2026-03-16,920543.5621856214
2026-03-17,927345.1621856213
2026-03-18,926715.9621856213
2026-03-19,918221.7621856213
2026-03-20,919422.9621856213
2026-03-23,902803.9621856213
2026-03-24,900819.1977856213
2026-03-25,904604.7977856213
2026-03-27,904708.7977856213
2026-03-30,902691.1977856213
2026-04-01,901099.9977856213
2026-04-02,901216.4465856213
2026-04-06,904763.0665856213
2026-04-07,904870.8665856214
2026-04-08,911284.9665856212
2026-04-09,914540.5265856213
2026-04-10,918291.9665856212
2026-04-13,924264.0865856213
2026-04-15,926506.3265856213
2026-04-16,937027.6065856214
2026-04-17,942751.7865856213
2026-04-20,945263.5265856213
2026-04-21,947581.2265856212
2026-04-22,961239.4865856213
2026-04-23,959654.8265856213
2026-04-24,958274.9865856213
2026-04-27,966251.6665856213
2026-04-28,973658.6465856213
2026-04-29,967333.6165856213
2026-04-30,962134.1665856213
2026-05-04,965905.1365856213
2026-05-05,973026.2065856212
2026-05-06,978840.5365856213
2026-05-07,982159.7065856212
2026-05-08,972007.1865856213
2026-05-11,964963.0265856213
2026-05-12,943199.2941613954
2026-05-13,966653.8541613955
2026-05-14,990583.1641613954
2026-05-15,970439.3341613954
2026-05-18,966541.8741613955
2026-05-19,966156.8741613954
2026-05-20,964101.3841613954
2026-05-21,960623.0841613954
2026-05-22,961817.3441613953
2026-05-25,982869.9141613954
2026-05-26,1001937.2941613954
2026-05-27,1014367.5441613954
2026-05-29,991615.4841613953
2026-06-01,982802.358320182
2026-06-02,993042.888320182
2026-06-03,986613.0383201819
2026-06-04,979563.878320182
2026-06-05,986816.0383201819
2026-06-08,957773.7783201819
2026-06-09,967484.098320182
2026-06-10,952003.778320182
2026-06-11,940653.238320182
2026-06-12,962696.0783201819
2026-06-15,955517.0183201819
2026-06-16,959025.278320182
2026-06-17,964192.6783201819
2026-06-18,978814.9383201819
2026-06-19,986399.258320182
2026-06-22,991716.8183201819
2026-06-23,982173.3983201819
2026-06-24,970017.758320182
2026-06-25,975660.5383201819
2026-06-29,972271.378320182
2026-06-30,968743.038320182
2026-07-01,980112.6583201819
2026-07-02,978654.278320182
2026-07-03,959210.7243201819
2026-07-06,959186.5043201819
2026-07-07,951920.6643201818
2026-07-08,936022.944320182
2026-07-09,941285.944320182
2026-07-10,946257.8443201819
2026-07-13,943049.2443201819
2026-07-14,945310.6443201819
2026-07-15,948119.8443201819
2026-07-16,943797.744320182
2026-07-17,936460.771161373
2026-07-20,942115.371161373
2026-07-21,950892.971161373
2026-07-22,941305.0711613729
2026-07-23,923822.950161373
2026-07-24,918603.450161373
2026-07-27,922540.050161373
2026-07-28,923359.0501613729
2026-07-29,936710.500161373
2026-07-30,938070.900161373
2026-07-31,941913.700161373
2026-08-03,958442.1001613729
2026-08-04,948320.400161373
2026-08-05,945646.500161373
2026-08-06,944954.8001613729
2026-08-07,948842.5501613729
2026-08-10,947275.400161373
2026-08-11,951829.200161373
2026-08-12,953333.3001613729
2026-08-13,949754.000161373
2026-08-14,946602.0501613729
2026-08-17,949577.700161373
2026-08-18,949622.5960613729
2026-08-19,948741.2460613729
2026-08-20,947837.9460613729
2026-08-21,949984.2960613729
2026-08-24,945493.396061373
