,equity
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,997804.0
2021-09-09,1000370.0
2021-09-13,1003592.0
2021-09-14,1002694.7
2021-09-15,1011254.0
2021-09-16,1015072.1000000001
2021-09-17,1020211.9
2021-09-20,1033525.3
2021-09-21,1027631.1000000001
2021-09-22,1033278.9
2021-09-23,1042059.9
2021-09-24,1046733.1000000001
2021-09-27,1033121.3
2021-09-28,1025802.1000000001
2021-09-29,1024750.3
2021-09-30,1033797.8
2021-10-01,1037473.5
2021-10-04,1045513.8
2021-10-05,1045480.9
2021-10-06,1056864.1
2021-10-07,1069027.3
2021-10-08,1070896.9
2021-10-11,1067831.95
2021-10-12,1060679.6
2021-10-13,1072806.55
2021-10-14,1088449.25
2021-10-18,1085405.1
2021-10-19,1080694.35
2021-10-20,1075693.7000000002
2021-10-21,1052862.2000000002
2021-10-22,1047532.9000000001
2021-10-25,1043026.5
2021-10-26,1049586.85
2021-10-27,1048391.3
2021-10-28,1030537.3500000001
2021-10-29,1026703.5
2021-11-01,1045497.3
2021-11-02,1050292.9500000002
2021-11-03,1050064.85
2021-11-04,1056001.5
2021-11-08,1063665.6
2021-11-09,1068941.5500000003
2021-11-10,1066436.75
2021-11-11,1073387.1
2021-11-12,1070336.9500000002
2021-11-15,1073983.6500000001
2021-11-16,1073422.15
2021-11-17,1068933.7000000002
2021-11-18,1048405.6385000001
2021-11-22,1025646.6633
2021-11-23,1029988.8633000001
2021-11-24,1025199.0633
2021-11-25,1020479.3633000001
2021-11-26,1007737.7633
2021-11-29,1013202.0633
2021-11-30,1019911.8633000001
2021-12-01,1023526.4633000001
2021-12-02,1044390.7633000001
2021-12-03,1040399.0633
2021-12-06,1034134.5633
2021-12-07,1034937.1633
2021-12-08,1045800.8633000001
2021-12-09,1047548.8633
2021-12-10,1048772.6633000001
2021-12-13,1056405.3632999999
2021-12-14,1071992.1633000001
2021-12-15,1065097.7633
2021-12-16,1064160.3632999999
2021-12-17,1062492.7633
2021-12-20,1046173.4633
2021-12-21,1043002.5633
2021-12-22,1067078.9633
2021-12-23,1066595.6633000001
2021-12-24,1068203.6633000001
2021-12-27,1079893.6633000001
2021-12-28,1088846.9633
2021-12-29,1090878.7633
2021-12-30,1098502.1633000001
2021-12-31,1103769.5633
2022-01-03,1096913.0633
2022-01-04,1091984.7633
2022-01-05,1090057.2633
2022-01-06,1084410.7633
2022-01-07,1092191.8633
2022-01-10,1084622.9633
2022-01-11,1082201.4633
2022-01-12,1079630.5633
2022-01-13,1085329.7633
2022-01-14,1083467.8632999999
2022-01-17,1079121.3633
2022-01-18,1076355.6633000001
2022-01-19,1079829.2633
2022-01-20,1079754.3632999999
2022-01-21,1065330.0633
2022-01-24,1052030.3133
2022-01-25,1058050.6133
2022-01-27,1061846.1133
2022-01-28,1058311.9133000001
2022-01-31,1056647.1133
2022-02-01,1060177.2133
2022-02-02,1063914.8133
2022-02-03,1067705.0133
2022-02-04,1067829.5133
2022-02-07,1064148.6132999999
2022-02-08,1060620.2633
2022-02-09,1066822.8633
2022-02-10,1065208.1633000001
2022-02-11,1055373.3633
2022-02-14,1034552.2633000001
2022-02-15,1036557.2633000001
2022-02-16,1038562.2633000001
2022-02-17,1040567.2633000001
2022-02-18,1039765.2633000001
2022-02-21,1035354.2633000001
2022-02-22,1030943.2633000001
2022-02-23,1031544.7633000001
2022-02-24,1021871.6408000002
2022-02-25,1021871.6408000002
2022-02-28,1021871.6408000002
2022-03-02,1021871.6408000002
2022-03-03,1021871.6408000002
2022-03-04,1021871.6408000002
2022-03-07,1021871.6408000002
