,equity
2024-01-01,1000000.0
2024-01-02,1000000.0
2024-01-03,1001251.2000000001
2024-01-04,999997.8200000001
2024-01-05,1004486.39
2024-01-08,996259.043
2024-01-09,1008510.693
2024-01-10,1010400.773
2024-01-11,1015078.723
2024-01-12,1009840.363
2024-01-15,1018899.123
2024-01-16,1012047.393
2024-01-17,995966.1018000001
2024-01-18,989754.4768
2024-01-19,1012153.6268
2024-01-20,1019717.9768000001
2024-01-23,993483.4268
2024-01-24,1006222.5754999999
2024-01-25,1025535.5255
2024-01-29,1058175.1755
2024-01-30,1063685.5455
2024-01-31,1067168.4955
2024-02-01,1084028.8155
2024-02-02,1123033.1655
2024-02-05,1117001.6655
2024-02-06,1118693.0755
2024-02-07,1121087.1755
2024-02-08,1137214.0659
2024-02-09,1119404.4859
2024-02-12,1064064.5859
2024-02-13,1061620.2759
2024-02-14,1089580.9359
2024-02-15,1139069.9059000001
2024-02-16,1151450.0759
2024-02-19,1161636.5559
2024-02-20,1152791.0739
2024-02-21,1128156.1939
2024-02-22,1150576.4838999999
2024-02-23,1145370.9638999999
2024-02-26,1130930.0839
2024-02-27,1138675.0339
2024-02-28,1111625.95615
2024-02-29,1098207.86615
2024-03-01,1124477.55615
2024-03-02,1128310.16615
2024-03-04,1149631.10615
2024-03-05,1160040.48615
2024-03-06,1162480.3161499999
2024-03-07,1177051.51615
2024-03-11,1165112.13615
2024-03-12,1151768.63615
2024-03-13,1105291.40135
2024-03-14,1120108.65135
2024-03-15,1103339.50135
2024-03-18,1106443.95135
2024-03-19,1100493.60135
2024-03-20,1105430.50135
2024-03-21,1129938.70135
2024-03-22,1140669.20135
2024-03-26,1166007.20135
2024-03-27,1158876.30135
2024-03-28,1166870.80135
2024-04-01,1154205.00135
2024-04-02,1172620.00135
2024-04-03,1174235.50135
2024-04-04,1174450.80135
2024-04-05,1176507.80135
2024-04-08,1175446.87725
2024-04-09,1176114.97725
2024-04-10,1180912.77725
2024-04-12,1164900.97725
2024-04-15,1158105.5772499999
2024-04-16,1156981.47725
2024-04-18,1148481.67725
2024-04-19,1138751.82305
2024-04-22,1136369.02305
2024-04-23,1137596.32305
2024-04-24,1151324.77305
2024-04-25,1147182.92305
2024-04-26,1149179.7230500001
2024-04-29,1136701.17305
2024-04-30,1148766.82305
2024-05-02,1160854.92305
2024-05-03,1154870.9730500001
2024-05-06,1157840.2730500002
2024-05-07,1142949.22305
2024-05-08,1161726.07305
2024-05-09,1146986.37305
2024-05-10,1152660.02305
2024-05-13,1144151.42305
2024-05-14,1164230.82305
2024-05-15,1182288.92305
2024-05-16,1184404.82305
2024-05-17,1192745.27305
2024-05-18,1199136.82305
2024-05-21,1216583.32305
2024-05-22,1218732.77305
2024-05-23,1218652.52305
2024-05-24,1218803.17305
2024-05-27,1214531.67305
2024-05-28,1195980.47305
2024-05-29,1187663.32305
2024-05-30,1181779.17305
2024-05-31,1182707.12305
2024-06-03,1226325.62305
2024-06-04,1122566.91905
2024-06-05,1159002.26905
2024-06-06,1161111.21905
2024-06-07,1171511.76905
2024-06-10,1173673.6190499999
2024-06-11,1179000.96905
2024-06-12,1172681.66905
2024-06-13,1165113.21905
2024-06-14,1175049.3190499998
2024-06-18,1173478.5690499998
2024-06-19,1160136.31905
2024-06-20,1159067.3690499999
2024-06-21,1148190.5690499998
2024-06-24,1163004.1190499999
2024-06-25,1157238.3190499998
2024-06-26,1151537.6190499999
2024-06-27,1154241.8190499998
2024-06-28,1163180.66905
2024-07-01,1171979.8690499999
2024-07-02,1157923.3190499998
2024-07-03,1162403.3690499999
2024-07-04,1162613.21905
2024-07-05,1188199.0190499998
2024-07-08,1193449.96905
2024-07-09,1195948.5690499998
2024-07-10,1196307.3690499999
2024-07-11,1195578.7690499998
2024-07-12,1193188.7690499998
2024-07-15,1202797.6190499999
2024-07-16,1211593.6190499999
2024-07-18,1195690.7690499998
2024-07-19,1184274.3690499999
2024-07-22,1189303.3690499999
2024-07-23,1184528.332
2024-07-24,1177954.0320000001
2024-07-25,1187866.1319999998
2024-07-26,1202733.332
2024-07-29,1206136.1319999998
2024-07-30,1196650.932
2024-07-31,1196484.6319999998
2024-08-01,1191777.182
2024-08-02,1189371.2820000001
2024-08-05,1176372.5320000001
2024-08-06,1164776.432
2024-08-07,1178457.9319999998
2024-08-08,1170617.832
2024-08-09,1180001.2319999998
2024-08-12,1152120.782
2024-08-13,1152668.9584
2024-08-14,1148014.3084
2024-08-16,1158972.8583999998
2024-08-19,1162704.5584
2024-08-20,1170499.3084
2024-08-21,1181800.9084
2024-08-22,1190446.6083999998
2024-08-23,1198357.1584
2024-08-26,1189026.7084
2024-08-27,1190096.6584
2024-08-28,1197118.6083999998
