,equity
2024-01-01,1000000.0
2024-01-02,1000000.0
2024-01-03,1001035.2000000001
2024-01-04,1000405.7
2024-01-05,1005045.6499999999
2024-01-08,998346.55
2024-01-09,1009322.55
2024-01-10,1007132.3500000001
2024-01-11,1014638.1000000001
2024-01-12,1012130.0
2024-01-15,1029224.3
2024-01-16,1019169.9000000001
2024-01-17,1007507.8500000001
2024-01-18,1014213.5
2024-01-19,1038072.3
2024-01-20,1048389.8500000001
2024-01-23,1020769.8
2024-01-24,1037479.3500000001
2024-01-25,1054348.0
2024-01-29,1077430.95
2024-01-30,1084121.2
2024-01-31,1084797.95
2024-02-01,1099531.9
2024-02-02,1134232.2
2024-02-05,1127861.68
2024-02-06,1130754.33
2024-02-07,1133290.83
2024-02-08,1151074.98
2024-02-09,1135305.68
2024-02-12,1088865.28
2024-02-13,1084348.88
2024-02-14,1110799.43
2024-02-15,1151393.23
2024-02-16,1162557.7799999998
2024-02-19,1173897.7799999998
2024-02-20,1173921.7799999998
2024-02-21,1153720.8433868957
2024-02-22,1175972.4433868956
2024-02-23,1171734.6433868958
2024-02-26,1158907.3433868957
2024-02-27,1166299.3433868957
2024-02-28,1140718.5933868957
2024-02-29,1132106.1933868958
2024-03-01,1159032.6433868958
2024-03-02,1161851.1933868958
2024-03-04,1186498.7433868956
2024-03-05,1194227.1433868958
2024-03-06,1192856.3433868957
2024-03-07,1201925.0433868957
2024-03-11,1182911.1433868958
2024-03-12,1171705.8433868957
2024-03-13,1120381.2018868956
2024-03-14,1126582.8875366843
2024-03-15,1113792.6875366843
2024-03-18,1115134.9375366843
2024-03-19,1113876.0375366844
2024-03-20,1117415.3375366842
2024-03-21,1134630.6375366843
2024-03-22,1146041.6875366843
2024-03-26,1168358.4875366844
2024-03-27,1170705.7375366844
2024-03-28,1179916.5875366842
2024-04-01,1171998.4375366843
2024-04-02,1191048.4375366843
2024-04-03,1197425.5375366844
2024-04-04,1198904.0375366844
2024-04-05,1195021.1375366843
2024-04-08,1200172.6875366843
2024-04-09,1201964.9875366844
2024-04-10,1209380.7375366844
2024-04-12,1201302.7875366844
2024-04-15,1196295.5875366845
2024-04-16,1194013.2375366844
2024-04-18,1196844.3875366843
2024-04-19,1199493.1875366843
2024-04-22,1208004.1875366843
2024-04-23,1213862.0875366842
2024-04-24,1217499.2875366844
2024-04-25,1214452.2875366844
2024-04-26,1218454.1375366843
2024-04-29,1209289.4875366844
2024-04-30,1218287.3375366842
2024-05-02,1224346.4375366843
2024-05-03,1221489.3875366843
2024-05-06,1227163.6875366843
2024-05-07,1224668.8375366842
2024-05-08,1242196.8875366843
2024-05-09,1226270.6875366843
2024-05-10,1235332.0375366844
2024-05-13,1233428.9375366843
2024-05-14,1236970.0375366844
2024-05-15,1260272.5875366845
2024-05-16,1267045.8875366843
2024-05-17,1270423.9375366843
2024-05-18,1274547.6375366843
2024-05-21,1285840.3875366843
2024-05-22,1284557.6875366843
2024-05-23,1296833.1875366843
2024-05-24,1294264.2375366844
2024-05-27,1287267.4875366844
2024-05-28,1272284.4875366844
2024-05-29,1264830.1875366843
2024-05-30,1257089.5875366842
2024-05-31,1258425.9375366843
2024-06-03,1291463.3375366842
2024-06-04,1201924.0802049078
2024-06-05,1243670.1302049076
2024-06-06,1251241.1302049076
2024-06-07,1271259.6802049077
2024-06-10,1274612.3802049079
2024-06-11,1277818.2302049077
2024-06-12,1279413.2802049078
2024-06-13,1280440.0302049078
2024-06-14,1295406.8802049079
2024-06-18,1293150.4302049077
2024-06-19,1273169.3302049078
2024-06-20,1267849.3802049079
2024-06-21,1262313.9302049077
2024-06-24,1277530.0302049078
2024-06-25,1270469.8802049079
2024-06-26,1273602.3302049078
2024-06-27,1282431.1302049079
2024-06-28,1277995.2302049077
2024-07-01,1288733.8802049079
2024-07-02,1269158.8802049079
2024-07-03,1272671.6802049077
2024-07-04,1275392.1802049077
2024-07-05,1283383.1802049077
2024-07-08,1286744.5802049078
2024-07-09,1288728.2802049078
2024-07-10,1293841.9302049077
2024-07-11,1289091.9802049077
2024-07-12,1285624.6302049079
2024-07-15,1294739.1802049077
2024-07-16,1300858.0802049078
2024-07-18,1291380.2902049078
2024-07-19,1278880.7902049078
2024-07-22,1280348.4902049077
2024-07-23,1272447.9266521914
2024-07-24,1262666.1266521914
2024-07-25,1261221.2266521913
2024-07-26,1284227.9266521914
2024-07-29,1278279.3266521913
2024-07-30,1272057.0266521913
2024-07-31,1279352.6266521914
2024-08-01,1278925.7766521913
2024-08-02,1266864.5766521916
2024-08-05,1255526.3266521916
2024-08-06,1236815.1266521914
2024-08-07,1245825.2266521915
2024-08-08,1244743.2266521915
2024-08-09,1255248.5266521915
