symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TECHM,2021-08-24,2021-08-30,1373.9,1339.764577512565,145,stop,NIFTY IT,-4949.63626067809,-2.4845638319699437,6,heikin_ashi_trend,1339.7646,trailing
HCLTECH,2021-08-23,2021-09-02,1163.1,1156.47462282163,171,stop,NIFTY IT,-1132.9394975012606,-0.5696309155162838,10,heikin_ashi_trend,1156.4746,trailing
APOLLOHOSP,2021-08-31,2021-09-07,4969.55,4895.695137250804,40,stop,NIFTY HEALTHCARE,-2954.194509967856,-1.4861478956685548,7,heikin_ashi_trend,4895.6951,trailing
MPHASIS,2021-09-03,2021-09-13,2766.3,2742.4468671640784,72,stop,NIFTY MS IT TELCM,-1717.4255641863674,-0.8622757053075136,10,heikin_ashi_trend,2742.4469,trailing
ADANIENSOL,2021-09-09,2021-09-17,1806.75,1820.35,110,stop,NIFTY COMMODITIES,1495.99999999999,0.7527328075273232,8,heikin_ashi_trend,1861.2273,trailing
PERSISTENT,2021-09-13,2021-09-17,1793.85,1802.16448520641,111,stop,NIFTY MS IT TELCM,922.9078579115271,0.4634994679828308,4,heikin_ashi_trend,1802.1645,trailing
HINDALCO,2021-09-13,2021-09-17,478.35,473.0775863348465,419,stop,NIFTY METAL,-2209.1413256993255,-1.1022083547932549,4,heikin_ashi_trend,473.0776,trailing
TATACONSUM,2021-08-26,2021-09-20,842.8,854.8366844229572,237,stop,NIFTY FMCG,2852.6942082408686,1.4281780283527779,25,heikin_ashi_trend,854.8367,trailing
INDIGO,2021-09-15,2021-09-24,1977.45,2164.2325538169866,96,stop,NIFTY IND TOURISM,17931.125166430713,9.445627136816936,9,heikin_ashi_trend,2164.2326,trailing
INDHOTEL,2021-10-04,2021-10-06,182.1,179.24685853605746,1116,stop,NIFTY IND TOURISM,-3184.105873759869,-1.5667992663056185,2,heikin_ashi_trend,179.2469,trailing
