symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TECHM,2021-08-24,2021-08-30,1373.9,1339.764577512565,145,stop,NIFTY IT,-4949.63626067809,-2.4845638319699437,6,heikin_ashi_trend,1339.7646,trailing
HCLTECH,2021-08-23,2021-09-02,1163.1,1156.47462282163,171,stop,NIFTY IT,-1132.9394975012606,-0.5696309155162838,10,heikin_ashi_trend,1156.4746,trailing
APOLLOHOSP,2021-08-31,2021-09-07,4969.55,4895.695137250804,40,stop,NIFTY HEALTHCARE,-2954.194509967856,-1.4861478956685548,7,heikin_ashi_trend,4895.6951,trailing
GODREJCP,2021-08-25,2021-09-09,1040.85,1096.3638720819774,191,stop,NIFTY FMCG,10603.149567657707,5.333513194214112,15,heikin_ashi_trend,1096.3639,trailing
MPHASIS,2021-08-27,2021-09-13,2711.5,2742.4468671640784,73,stop,NIFTY MS IT TELCM,2259.121302977724,1.1413190914282945,17,heikin_ashi_trend,2742.4469,trailing
ADANIENSOL,2021-09-09,2021-09-17,1806.75,1820.35,112,stop,NIFTY COMMODITIES,1523.1999999999898,0.7527328075273232,8,heikin_ashi_trend,1861.2273,trailing
PERSISTENT,2021-09-13,2021-09-17,1793.85,1802.16448520641,113,stop,NIFTY MS IT TELCM,939.5368283243474,0.4634994679828308,4,heikin_ashi_trend,1802.1645,trailing
HINDALCO,2021-09-13,2021-09-17,478.35,473.0775863348465,412,stop,NIFTY METAL,-2172.234430043251,-1.1022083547932549,4,heikin_ashi_trend,473.0776,trailing
TATACONSUM,2021-08-26,2021-09-20,842.8,854.8366844229572,237,stop,NIFTY FMCG,2852.6942082408686,1.4281780283527779,25,heikin_ashi_trend,854.8367,trailing
TATAELXSI,2021-09-07,2021-09-21,4919.5,5641.211874728203,41,stop,NIFTY MS IT TELCM,29590.18686385632,14.6704314407603,14,heikin_ashi_trend,5641.2119,trailing
