symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,200,stop,NIFTY FINSEREXBNK,-1838.1662548734766,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
INDIANB,2026-01-22,2026-01-27,878.05,852.8247497639173,227,stop,NIFTY PSU BANK,-5726.131803590753,-2.8728717312320073,5,heikin_ashi_trend,852.8247,initial
HINDALCO,2026-01-22,2026-01-30,944.45,999.8443388924188,211,stop,NIFTY METAL,11688.20550630036,5.865248440088799,8,heikin_ashi_trend,999.8443,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1245,stop,NIFTY PSU BANK,-6215.93348443562,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,1142,stop,NIFTY PSU BANK,-5906.282312848199,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1049,stop,NIFTY AUTO,777.8713109312483,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
ONGC,2026-02-04,2026-02-13,260.8,262.4421101156719,761,stop,NIFTY OIL AND GAS,1249.6457980262924,0.6296434492606862,9,heikin_ashi_trend,262.4421,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,85,stop,NIFTY MIDSML HLTH,-3031.647866170281,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
APOLLOHOSP,2026-03-05,2026-03-09,7775.0,7588.0,25,stop,NIFTY HEALTHCARE,-4675.0,-2.4051446945337673,4,heikin_ashi_trend,7629.2129,trailing
GLENMARK,2026-03-10,2026-03-13,2225.8,2211.5346963064626,88,stop,NIFTY MIDSML HLTH,-1255.3467250313079,-0.6409068062511292,3,heikin_ashi_trend,2211.5347,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,44,stop,NIFTY PHARMA,-3397.065206830608,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
COALINDIA,2026-03-20,2026-03-23,468.15,455.25173038173347,419,stop,NIFTY ENERGY,-5404.374970053668,-2.7551574534372514,3,heikin_ashi_trend,455.2517,initial
ADANIPOWER,2026-05-04,2026-05-11,227.3,222.22103949653624,859,stop,NIFTY COMMODITIES,-4362.827072475384,-2.2344744845859132,7,heikin_ashi_trend,222.221,trailing
CGPOWER,2026-05-07,2026-05-12,859.1,845.9399911084646,227,stop,NIFTY ENERGY,-2987.3220183785415,-1.5318366769334735,5,heikin_ashi_trend,845.94,trailing
ADANIGREEN,2026-05-14,2026-05-18,1414.9,1359.9373166460525,136,stop,NIFTY COMMODITIES,-7474.924936136869,-3.884563103678529,4,heikin_ashi_trend,1359.9373,initial
DIVISLAB,2026-05-19,2026-05-25,6912.0,6750.0,28,stop,NIFTY PHARMA,-4536.0,-2.34375,6,heikin_ashi_trend,6767.8674,trailing
BSE,2026-05-14,2026-05-27,4037.6,4284.667553254243,47,stop,NIFTY MS FIN SERV,11612.17500294943,6.1191686460829064,13,heikin_ashi_trend,4284.6676,trailing
SAIL,2026-05-19,2026-06-04,199.05,199.71449124929433,973,stop,NIFTY METAL,646.5499855633684,0.33383132343347555,16,heikin_ashi_trend,199.7145,trailing
GVT&D,2026-06-04,2026-06-08,5086.5,4858.581754181457,38,stop,NIFTY ENERGY,-8660.893341104644,-4.480846275799532,4,heikin_ashi_trend,4858.5818,trailing
CGPOWER,2026-06-04,2026-06-08,937.9,908.3099271204446,206,stop,NIFTY ENERGY,-6095.555013188402,-3.1549283377284687,4,heikin_ashi_trend,908.3099,trailing
ADANIENT,2026-07-01,2026-07-07,3143.6,3123.222701989202,60,stop,NIFTY METAL,-1222.6378806478715,-0.6482153585315564,6,heikin_ashi_trend,3123.2227,trailing
AUROPHARMA,2026-07-03,2026-07-07,1620.5,1580.5076729273837,118,stop,NIFTY MIDSML HLTH,-4719.094594568719,-2.4679004673012206,4,heikin_ashi_trend,1580.5077,initial
PNBHOUSING,2026-07-10,2026-07-14,1110.6,1089.9966160373651,170,stop,NIFTY MS FIN SERV,-3502.5752736479126,-1.855157929284601,4,heikin_ashi_trend,1089.9966,trailing
OFSS,2026-07-10,2026-07-17,11651.0,11403.51446876196,16,stop,NIFTY MS IT TELCM,-3959.768499808648,-2.1241569928593274,7,heikin_ashi_trend,11403.5145,trailing
BHARATFORG,2026-07-17,2026-07-24,2190.5,2152.8658407254743,85,stop,NIFTY AUTO,-3198.9035383346845,-1.71806250967933,7,heikin_ashi_trend,2152.8658,trailing
SUNPHARMA,2026-07-27,2026-07-31,1973.7,1970.0948046439817,95,stop,NIFTY PHARMA,-342.49355882174655,-0.18266177007744133,4,heikin_ashi_trend,1970.0948,trailing
DIVISLAB,2026-07-27,2026-08-04,7414.0,8385.338485927028,25,stop,NIFTY PHARMA,24283.462148175706,13.10140930573278,8,heikin_ashi_trend,8385.3385,trailing
SONACOMS,2026-07-30,2026-08-06,763.75,792.835698460481,249,stop,NIFTY AUTO,7242.338916659772,3.8082747575097997,7,heikin_ashi_trend,792.8357,trailing
HAL,2026-08-06,2026-08-12,4920.0,4830.2386216316245,39,stop,NIFTY IND DEFENCE,-3500.693756366645,-1.8244182595198222,6,heikin_ashi_trend,4830.2386,trailing
