symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PGEL,2021-10-08,2021-10-11,43.04299999999999,49.52899999999998,3091,target,NIFTY CONSR DURBL,20048.22599999997,15.068652277954575,3,ha_ema21_touch,39.8,n/a
OFSS,2021-08-24,2021-10-19,4113.376085647887,4568.12825694366,43,target,NIFTY MS IT TELCM,19554.343365718247,11.055448415778546,56,ha_ema21_touch,3886.0,n/a
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,112,target,NIFTY FINSEREXBNK,15763.686399999926,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
BAJFINANCE,2021-10-06,2021-10-25,783.2824999999999,742.5,245,stop,NIFTY FINSEREXBNK,-9991.71249999998,-5.206614471790183,19,ha_ema21_touch,742.5,initial
BLUESTARCO,2021-10-25,2021-11-01,455.15469999999993,493.26409999999976,459,target,NIFTY CONSR DURBL,17492.21459999992,8.372845540208607,7,ha_ema21_touch,436.1,n/a
BAJAJHLDNG,2021-10-29,2021-11-03,4789.785,4909.355,44,target,NIFTY FINSEREXBNK,5261.079999999987,2.4963542204921474,5,ha_ema21_touch,4730.0,n/a
INDIANB,2021-11-09,2021-11-22,175.6218904750498,148.55,398,stop,NIFTY PSU BANK,-10774.61240906982,-15.414872486465935,13,ha_ema21_touch,148.55,initial
BHARTIARTL,2021-11-22,2021-11-24,729.9824202935405,773.9472608806215,291,target,NIFTY INFRA,12793.768610840563,6.022725940359197,2,ha_ema21_touch,708.0,n/a
SHRIRAMFIN,2021-11-02,2021-11-29,303.11742416402825,285.0,588,stop,NIFTY FINSEREXBNK,-10653.045408448612,-5.977031579096625,27,ha_ema21_touch,285.0,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,616,target,NIFTY MS FIN SERV,21160.215999999964,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PGEL,2021-12-02,2021-12-27,58.558499999999995,74.67549999999999,1341,target,NIFTY CONSR DURBL,21612.896999999986,27.522904445981354,25,ha_ema21_touch,50.5,n/a
TECHM,2021-12-13,2021-12-27,1524.9234,1667.1701999999998,143,target,NIFTY IT,20341.292399999984,9.328127563653354,14,ha_ema21_touch,1453.8,n/a
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2611,stop,NIFTY IND TOURISM,-13312.966799999975,-10.43792273300468,1,ha_ema21_touch,44.55,initial
BEL,2022-01-14,2022-01-19,71.37129999999999,69.15,3117,stop,NIFTY IND DEFENCE,-6923.792099999954,-3.1123154545314224,5,ha_ema21_touch,69.15,initial
BHARTIARTL,2022-01-12,2022-01-21,710.2595499999999,694.6,312,stop,NIFTY INFRA,-4885.779599999954,-2.20476444139327,9,ha_ema21_touch,694.6,initial
ADANIENSOL,2022-02-04,2022-02-14,2041.0389999999998,1930.0,98,stop,NIFTY COMMODITIES,-10881.821999999976,-5.44031740696771,10,ha_ema21_touch,1930.0,initial
JINDALSTEL,2022-02-10,2022-02-15,421.73045118301326,401.25,521,stop,NIFTY METAL,-10670.315066349907,-4.8562893965950815,5,ha_ema21_touch,401.25,initial
OIL,2022-01-27,2022-03-03,150.80065,168.60194999999996,1233,target,NIFTY OIL AND GAS,21949.002899999963,11.804524715244913,35,ha_ema21_touch,141.9,n/a
TVSMOTOR,2022-04-26,2022-05-04,662.3116499999999,629.05,329,stop,NIFTY AUTO,-10943.082849999973,-5.022054194577419,8,ha_ema21_touch,629.05,initial
BLUESTARCO,2022-04-26,2022-05-05,578.2084492346958,552.5,379,stop,NIFTY CONSR DURBL,-9743.502259949695,-4.44622510596705,9,ha_ema21_touch,552.5,initial
ADANIENSOL,2022-04-26,2022-05-10,2811.5587499999997,2461.05,31,stop,NIFTY COMMODITIES,-10865.771249999985,-12.466705524115385,14,ha_ema21_touch,2461.05,initial
NTPC,2022-05-04,2022-05-11,158.50834999999998,153.0,1368,stop,NIFTY COMMODITIES,-7535.422799999971,-3.4751166105760234,7,ha_ema21_touch,153.0,initial
POWERGRID,2022-05-04,2022-05-19,171.57139999999998,163.7,1259,stop,NIFTY ENERGY,-9910.092599999993,-4.587827574992098,15,ha_ema21_touch,165.85,initial
HAL,2022-06-17,2022-06-20,945.9449999999999,890.5,189,stop,NIFTY IND DEFENCE,-10479.104999999989,-5.861334432762999,3,ha_ema21_touch,890.5,initial
TIINDIA,2022-08-03,2022-08-05,2114.334387117261,2351.003161351783,87,target,NIFTY AUTO,20590.183358403418,11.193535690312562,2,ha_ema21_touch,1996.0,n/a
PHOENIXLTD,2022-08-12,2022-08-19,644.5297792692332,706.5893378076997,329,target,NIFTY REALTY,20417.594759155476,9.628656508133648,7,ha_ema21_touch,613.5,n/a
BANKBARODA,2022-08-23,2022-09-02,108.29072723787633,118.77218171362898,2018,target,NIFTY PSU BANK,21151.57513206886,9.678995370239418,10,ha_ema21_touch,103.05,n/a
ITC,2022-08-30,2022-09-05,259.95969999999994,270.5790999999998,856,target,NIFTY FMCG,9090.20639999989,4.085017793142498,6,ha_ema21_touch,254.65,n/a
EICHERMOT,2022-08-03,2022-09-15,3151.1479999999997,3627.3439999999987,43,target,NIFTY AUTO,20476.427999999956,15.111825912334131,43,ha_ema21_touch,2913.05,n/a
360ONE,2022-09-16,2022-09-20,436.3859499999999,473.15784999999977,532,target,NIFTY MS FIN SERV,19562.65079999992,8.426462859310636,4,ha_ema21_touch,418.0,n/a
VBL,2022-08-30,2022-09-21,203.16673509856201,225.50020529568604,993,target,NIFTY FMCG,22177.135905744162,10.992680561751133,22,ha_ema21_touch,192.0,n/a
