symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
APOLLOHOSP,2021-09-16,2021-09-24,4841.806274603293,5162.718823809878,41,target,NIFTY HEALTHCARE,13157.414517469986,6.627951037402435,8,ha_ema21_touch,4681.35,n/a
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,500.68339999999984,278,target,NIFTY REALTY,20142.656799999968,16.91987302085476,5,ha_ema21_touch,392.0,n/a
PGEL,2021-10-08,2021-10-11,43.04299999999999,49.52899999999998,3215,target,NIFTY CONSR DURBL,20852.48999999997,15.068652277954575,3,ha_ema21_touch,39.8,n/a
OFSS,2021-08-24,2021-10-19,4042.484355323943,4431.453065971829,49,target,NIFTY MS IT TELCM,19059.46682174643,9.622021421941085,56,ha_ema21_touch,3848.0,n/a
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,116,target,NIFTY FINSEREXBNK,16326.675199999923,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
JINDALSTEL,2021-10-26,2021-10-28,435.14765375107606,415.0,503,stop,NIFTY METAL,-10134.26983679126,-4.630072936714358,2,ha_ema21_touch,415.0,initial
GODREJPROP,2021-10-27,2021-10-29,2365.8635,2206.45,68,stop,NIFTY REALTY,-10840.118000000008,-6.738068362777483,2,ha_ema21_touch,2206.45,initial
BLUESTARCO,2021-10-25,2021-10-29,452.95249999999993,486.65749999999974,481,target,NIFTY CONSR DURBL,16212.10499999991,7.4411776069234215,4,ha_ema21_touch,436.1,n/a
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,561.25,215,stop,NIFTY FINSEREXBNK,-10989.026249999983,-8.346659470484552,5,ha_ema21_touch,561.25,initial
BAJAJHLDNG,2021-10-29,2021-11-03,4789.785,4909.355,45,target,NIFTY FINSEREXBNK,5380.649999999987,2.4963542204921474,5,ha_ema21_touch,4730.0,n/a
SHRIRAMFIN,2021-11-02,2021-11-09,298.2364933320141,339.0094799960423,526,target,NIFTY FINSEREXBNK,21446.590985278817,13.671360673704447,7,ha_ema21_touch,277.85,n/a
ADANIENSOL,2021-11-03,2021-11-12,1791.7899999999997,1968.6699999999994,121,target,NIFTY COMMODITIES,21402.47999999996,9.871692553256771,9,ha_ema21_touch,1703.35,n/a
MANAPPURAM,2021-10-26,2021-11-16,201.20099999999996,189.25,920,stop,NIFTY MS FIN SERV,-10994.919999999967,-5.939831312965627,21,ha_ema21_touch,189.25,initial
INFY,2021-11-12,2021-11-16,1704.6028999999999,1768.2086999999997,132,target,NIFTY IT,8395.965599999976,3.7314145130223464,4,ha_ema21_touch,1672.8,n/a
GMRAIRPORT,2021-11-01,2021-11-18,42.1421,39.3,3750,stop,NIFTY IND TOURISM,-10657.875000000007,-6.7440872666525875,17,ha_ema21_touch,39.3,initial
INDIANB,2021-11-08,2021-11-22,169.0858889875249,148.55,545,stop,NIFTY PSU BANK,-11192.059498201063,-12.145241161454944,14,ha_ema21_touch,148.55,initial
BHARTIARTL,2021-11-22,2021-11-24,729.9824202935405,773.9472608806215,300,target,NIFTY INFRA,13189.45217612429,6.022725940359197,2,ha_ema21_touch,708.0,n/a
APLAPOLLO,2021-11-24,2021-11-26,921.0701499999999,871.2,223,stop,NIFTY METAL,-11121.043449999966,-5.414370447245509,2,ha_ema21_touch,871.2,initial
ADANIENT,2021-11-23,2021-11-29,1651.1494999999998,1560.9,122,stop,NIFTY METAL,-11010.43899999996,-5.465858785046396,6,ha_ema21_touch,1560.9,initial
UNOMINDA,2021-11-25,2021-11-29,446.18051380776814,415.65,377,stop,NIFTY AUTO,-11510.003705528596,-6.842637197939549,4,ha_ema21_touch,416.6,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,627,target,NIFTY MS FIN SERV,21538.076999999965,19.553665707511826,2,ha_ema21_touch,158.5,n/a
APLAPOLLO,2021-12-09,2021-12-13,940.8398999999998,1022.5196999999995,234,target,NIFTY METAL,19113.07319999992,8.681583338461696,4,ha_ema21_touch,900.0,n/a
ADANIENT,2021-12-02,2021-12-20,1667.8662,1560.7,103,stop,NIFTY METAL,-11038.118599999989,-6.425347548862126,18,ha_ema21_touch,1560.7,initial
PGEL,2021-12-22,2021-12-29,68.37053321255628,83.11159963766885,1495,target,NIFTY CONSR DURBL,22037.894305543283,21.560555011739126,7,ha_ema21_touch,61.0,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,96,stop,NIFTY METAL,-10986.341893634373,-10.786241803194606,13,ha_ema21_touch,946.55,initial
