symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2596.6643294673154,85,target,NIFTY MS FIN SERV,19927.645336481204,9.924678610924097,1,ha_ema21_touch,2245.0,n/a
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1057,target,NIFTY AUTO,20452.949999999903,9.913163759317566,8,ha_ema21_touch,185.52,n/a
BAJAJ-AUTO,2026-02-10,2026-02-25,9677.668,10090.003999999999,21,target,NIFTY AUTO,8659.055999999986,4.260695861854313,15,ha_ema21_touch,9471.5,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,191,stop,NIFTY CAPITAL MKT,-10696.954999999978,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,22,stop,NIFTY AUTO,-4947.24999999996,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
ONGC,2026-02-04,2026-03-02,256.256,284.9679999999999,721,target,NIFTY OIL AND GAS,20701.35199999995,11.20442057942055,26,ha_ema21_touch,241.9,n/a
BEL,2026-02-17,2026-03-04,439.4279651992207,460.08389559766204,483,target,NIFTY IND DEFENCE,9976.814382447168,4.700640840888837,15,ha_ema21_touch,429.1,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,153,stop,NIFTY PVT BANK,-10993.463099999986,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
ABB,2026-03-06,2026-03-13,6019.142053659701,6470.426160979102,35,target,NIFTY ENERGY,15794.943756179046,7.4974822540534,7,ha_ema21_touch,5793.5,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,77,stop,NIFTY MS FIN SERV,-10685.828999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
ASTRAL,2026-03-06,2026-03-23,1677.8762,1586.6,123,stop,NIFTY MULTI MFG,-11226.972600000003,-5.439984189536751,17,ha_ema21_touch,1590.5,initial
TORNTPHARM,2026-03-10,2026-03-23,4401.897499999999,4175.2,47,stop,NIFTY PHARMA,-10654.782499999968,-5.149994973758465,13,ha_ema21_touch,4175.2,initial
SUNPHARMA,2026-03-05,2026-04-02,1758.9571999999998,1665.0,122,stop,NIFTY PHARMA,-11462.77839999998,-5.341642195728236,28,ha_ema21_touch,1712.0,initial
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,184,target,NIFTY MIDSML HLTH,12535.1656,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
HINDALCO,2026-05-13,2026-05-27,1055.6545999999998,1122.7637999999995,197,target,NIFTY METAL,13220.51239999993,6.3571171858674,14,ha_ema21_touch,1022.1,n/a
ADANIPOWER,2026-05-14,2026-05-27,221.08388889526552,247.19166668579655,805,target,NIFTY COMMODITIES,21016.76112137748,11.808991564690242,13,ha_ema21_touch,208.03,n/a
NAM-INDIA,2026-06-04,2026-06-08,1095.3943,1045.3,199,stop,NIFTY CAPITAL MKT,-9968.765699999994,-4.573175157110088,4,ha_ema21_touch,1045.3,initial
MANAPPURAM,2026-05-13,2026-06-10,310.84619183833985,292.05,556,stop,NIFTY MS FIN SERV,-10450.68266211695,-6.046782084470593,28,ha_ema21_touch,292.05,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,624,target,NIFTY MS FIN SERV,16655.80799999993,7.706744122929066,12,ha_ema21_touch,333.0,n/a
KEI,2026-05-14,2026-06-17,5086.578662204266,5614.535986612797,39,target,NIFTY EV,20590.33565193272,10.37941924169008,34,ha_ema21_touch,4822.6,n/a
LAURUSLABS,2026-06-19,2026-06-24,1391.6206772165478,1489.0620316496434,159,target,NIFTY MIDSML HLTH,15493.175354862185,7.002005361690444,5,ha_ema21_touch,1342.9,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,152.39547999999994,1528,target,NIFTY AUTO,10834.008959999943,4.8796064778428905,4,ha_ema21_touch,141.76,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,235,stop,NIFTY ENERGY,-9047.253249999982,-4.052952158753298,4,ha_ema21_touch,912.0,initial
HDFCAMC,2026-07-01,2026-07-06,2672.2695999999996,2828.0087999999987,84,target,NIFTY FINSEREXBNK,13082.092799999922,5.827974842059325,5,ha_ema21_touch,2594.4,n/a
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,180,stop,NIFTY CAPITAL MKT,-11019.383999999976,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
AUBANK,2026-07-10,2026-07-16,1058.687921103393,1025.2,211,stop,NIFTY MS FIN SERV,-7065.951352815894,-3.1631532235194326,6,ha_ema21_touch,1033.0,initial
FEDERALBNK,2026-07-17,2026-07-20,330.27994999999993,342.8398499999998,664,target,NIFTY MS FIN SERV,8339.773599999906,3.802804257418546,3,ha_ema21_touch,324.0,n/a
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,97,target,NIFTY AUTO,9084.379799999926,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
ADANIGREEN,2026-07-01,2026-07-22,1526.433398392084,1469.3,147,stop,NIFTY COMMODITIES,-8398.60956363635,-3.7429342447739433,21,ha_ema21_touch,1469.3,initial
LUPIN,2026-07-21,2026-07-22,2497.2948,2424.0,88,stop,NIFTY MIDSML HLTH,-6449.942400000011,-2.934967870032812,1,ha_ema21_touch,2424.0,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,71,stop,NIFTY METAL,-7257.120204879973,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
UNIONBANK,2026-07-20,2026-07-24,170.77917043170314,166.25,1313,stop,NIFTY PSU BANK,-5946.800776826218,-2.6520625555529365,4,ha_ema21_touch,166.25,initial
LAURUSLABS,2026-07-09,2026-07-27,1516.1703475526253,1652.111042657876,146,target,NIFTY MIDSML HLTH,19847.34148536659,8.966056836864244,18,ha_ema21_touch,1448.2,n/a
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2720,target,NIFTY MS FIN SERV,12463.529599999983,5.645088663956588,1,ha_ema21_touch,78.88,n/a
TORNTPHARM,2026-07-31,2026-08-03,4956.7518,5155.8554,45,target,NIFTY PHARMA,8959.662000000017,4.016816012453961,3,ha_ema21_touch,4857.2,n/a
SIEMENS,2026-07-31,2026-08-03,3668.6649999999995,3853.7949999999987,61,target,NIFTY ENERGY,11292.929999999951,5.046249793862323,3,ha_ema21_touch,3576.1,n/a
NYKAA,2026-07-27,2026-08-05,326.8711988697632,346.51359660928955,681,target,NIFTY INTERNET,13376.47286061745,6.009216415347929,9,ha_ema21_touch,317.05,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8869.360499999999,8744.0,25,stop,NIFTY HEALTHCARE,-3134.0124999999716,-1.413410809043092,14,ha_ema21_touch,8744.0,initial
