symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2021-09-21,2021-09-27,324.98798198717384,344.9639459615215,615,target,NIFTY MS FIN SERV,12285.217844223822,6.146677748574736,6,ha_ema21_touch,315.0,n/a
DIVISLAB,2021-10-12,2021-10-21,5229.173949999999,5060.5,38,stop,NIFTY PHARMA,-6409.610099999978,-3.225632798082756,9,ha_ema21_touch,5060.5,initial
ADANIENT,2021-10-21,2021-10-22,1559.8582999999999,1492.1,128,stop,NIFTY METAL,-8673.062399999995,-4.343875337907299,1,ha_ema21_touch,1492.1,initial
MANAPPURAM,2021-11-03,2021-11-08,202.14908492913838,219.84725478741512,988,target,NIFTY MS FIN SERV,17485.79181997742,8.755008643487393,5,ha_ema21_touch,193.3,n/a
CHOLAFIN,2021-11-03,2021-11-23,614.1635499999999,585.4,325,stop,NIFTY FINSEREXBNK,-9348.153749999967,-4.683369763640299,20,ha_ema21_touch,586.0,initial
VBL,2021-11-22,2021-11-23,127.42729999999999,121.25,1593,stop,NIFTY FMCG,-9840.438899999981,-4.84770531903288,1,ha_ema21_touch,122.3,initial
APLAPOLLO,2021-11-24,2021-11-26,921.0701499999999,871.2,201,stop,NIFTY METAL,-10023.90014999997,-5.414370447245509,2,ha_ema21_touch,871.2,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,573,target,NIFTY MS FIN SERV,19683.122999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
FORTIS,2021-12-02,2021-12-06,292.292,275.0,584,stop,NIFTY MIDSML HLTH,-10098.527999999984,-5.916001806412751,4,ha_ema21_touch,275.0,initial
INOXWIND,2021-12-13,2021-12-15,33.993959999999994,31.54,4083,stop,NIFTY ENERGY,-10019.51867999998,-7.218811812451376,2,ha_ema21_touch,31.54,initial
ASTRAL,2021-12-16,2021-12-20,1714.5127999999997,1665.6,116,stop,NIFTY MULTI MFG,-5673.884799999981,-2.852868756652027,4,ha_ema21_touch,1665.6,initial
TECHM,2021-12-08,2021-12-24,1495.42714894907,1599.4814468472098,133,target,NIFTY IT,13839.221620452592,6.9581656298847605,16,ha_ema21_touch,1443.4,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,85,stop,NIFTY METAL,-9727.490218322102,-10.786241803194606,13,ha_ema21_touch,946.55,initial
BEL,2022-01-11,2022-01-13,70.5705,69.35,2798,stop,NIFTY IND DEFENCE,-3414.9590000000035,-1.7294761975613082,2,ha_ema21_touch,69.35,initial
BEL,2022-01-17,2022-01-18,74.12404999999998,69.45,2121,stop,NIFTY IND DEFENCE,-9913.660049999957,-6.305713192951523,1,ha_ema21_touch,69.45,initial
INOXWIND,2022-01-20,2022-01-24,31.671639999999996,30.16,6213,stop,NIFTY ENERGY,-9391.819319999977,-4.77285041128277,4,ha_ema21_touch,30.16,initial
CDSL,2022-01-20,2022-01-24,818.2173999999999,777.5,241,stop,NIFTY MS FIN SERV,-9812.893399999972,-4.9763546949746935,4,ha_ema21_touch,777.5,initial
MARUTI,2022-01-24,2022-02-10,8252.243999999999,9044.631999999996,23,target,NIFTY AUTO,18224.923999999934,9.602091261479885,17,ha_ema21_touch,7856.05,n/a
SIEMENS,2022-02-10,2022-02-14,1850.0982499999998,1800.65,106,stop,NIFTY ENERGY,-5241.514499999967,-2.672736434402856,4,ha_ema21_touch,1800.65,initial
INDIGO,2022-02-16,2022-02-21,2201.14895,2071.55,75,stop,NIFTY IND TOURISM,-9719.92124999997,-5.887786467153877,5,ha_ema21_touch,2071.55,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,320,stop,NIFTY MS FIN SERV,-10801.439999999993,-13.249815017987899,14,ha_ema21_touch,224.0,initial
TVSMOTOR,2022-02-16,2022-02-24,666.6659999999999,630.55,268,stop,NIFTY AUTO,-9679.087999999996,-5.417405417405419,8,ha_ema21_touch,630.55,initial
BLUESTARCO,2022-02-23,2022-02-24,546.0455,504.85,231,stop,NIFTY CONSR DURBL,-9516.160499999982,-7.544334675407072,1,ha_ema21_touch,504.85,initial
ADANIENSOL,2021-10-22,2022-03-02,1797.4957,2143.0870999999997,57,target,NIFTY COMMODITIES,19698.70979999999,19.226271306240108,131,ha_ema21_touch,1624.7,n/a
OIL,2022-01-27,2022-03-03,150.80065,168.60194999999996,1096,target,NIFTY OIL AND GAS,19510.224799999967,11.804524715244913,35,ha_ema21_touch,141.9,n/a
VOLTAS,2022-04-13,2022-04-18,1313.2119,1268.05,147,stop,NIFTY CONSR DURBL,-6638.799300000009,-3.4390413306489287,5,ha_ema21_touch,1268.05,initial
VBL,2022-04-13,2022-04-19,132.68255,146.04764999999998,1441,target,NIFTY FMCG,19259.109099999976,10.072990005091098,6,ha_ema21_touch,126.0,n/a
TVSMOTOR,2022-04-26,2022-04-27,654.8041499999999,689.6124499999999,298,target,NIFTY AUTO,10372.873399999975,5.3158337496791885,1,ha_ema21_touch,637.4,n/a
