symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2021-09-21,2021-09-27,324.98798198717384,344.9639459615215,616,target,NIFTY MS FIN SERV,12305.19380819817,6.146677748574736,6,ha_ema21_touch,315.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,71,stop,NIFTY FMCG,-6161.5929999999935,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,209,stop,NIFTY PHARMA,-5653.888899999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
ALKEM,2021-10-08,2021-10-14,3997.7437499999996,3890.0,50,stop,NIFTY MIDSML HLTH,-5387.187499999982,-2.6951139627195864,6,ha_ema21_touch,3890.0,initial
SHRIRAMFIN,2021-11-02,2021-11-09,298.2364933320141,339.0094799960423,488,target,NIFTY FINSEREXBNK,19897.217492045747,13.671360673704447,7,ha_ema21_touch,277.85,n/a
ASTRAL,2021-11-12,2021-11-23,1736.4847499999998,1619.65,86,stop,NIFTY MULTI MFG,-10047.788499999979,-6.728233576482589,11,ha_ema21_touch,1619.65,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,585,target,NIFTY MS FIN SERV,20095.334999999966,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PHOENIXLTD,2021-12-15,2021-12-16,528.5279999999999,506.8,387,stop,NIFTY REALTY,-8408.735999999959,-4.11104047467682,1,ha_ema21_touch,506.8,initial
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,88,stop,NIFTY METAL,-10070.813402498175,-10.786241803194606,13,ha_ema21_touch,946.55,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2341,stop,NIFTY IND TOURISM,-11936.290799999977,-10.43792273300468,1,ha_ema21_touch,44.55,initial
BEL,2022-01-17,2022-01-18,74.12404999999998,69.45,2127,stop,NIFTY IND DEFENCE,-9941.704349999956,-6.305713192951523,1,ha_ema21_touch,69.45,initial
MARUTI,2022-01-24,2022-02-10,8252.243999999999,9044.631999999996,23,target,NIFTY AUTO,18224.923999999934,9.602091261479885,17,ha_ema21_touch,7856.05,n/a
NTPC,2022-01-25,2022-02-15,135.38524999999998,131.0,1466,stop,NIFTY COMMODITIES,-6428.776499999978,-3.2390899304023058,21,ha_ema21_touch,131.0,initial
ONGC,2022-02-10,2022-02-15,153.9499445024149,147.4,1304,stop,NIFTY OIL AND GAS,-8541.127631149015,-4.25459361066034,5,ha_ema21_touch,147.4,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1270,stop,NIFTY METAL,-9855.746099999982,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,326,stop,NIFTY MS FIN SERV,-11003.966999999993,-13.249815017987899,14,ha_ema21_touch,224.0,initial
POWERGRID,2022-03-21,2022-03-22,156.15599999999998,150.2,1238,stop,NIFTY ENERGY,-7373.527999999987,-3.8141345833653473,1,ha_ema21_touch,152.25,initial
VBL,2022-04-13,2022-04-19,132.68255,146.04764999999998,1436,target,NIFTY FMCG,19192.283599999977,10.072990005091098,6,ha_ema21_touch,126.0,n/a
JSWENERGY,2022-04-19,2022-04-29,342.4921499999999,315.0,359,stop,NIFTY COMMODITIES,-9869.681849999974,-8.02708908802725,10,ha_ema21_touch,315.0,initial
PGEL,2022-04-13,2022-05-09,75.90159920991698,71.5,2187,stop,NIFTY CONSR DURBL,-9626.297472088438,-5.799086258701502,26,ha_ema21_touch,71.5,initial
PHOENIXLTD,2022-08-12,2022-08-19,644.5297792692332,706.5893378076997,298,target,NIFTY REALTY,18493.748444463014,9.628656508133648,7,ha_ema21_touch,613.5,n/a
ITC,2022-08-30,2022-09-05,259.95969999999994,270.5790999999998,763,target,NIFTY FMCG,8102.602199999901,4.085017793142498,6,ha_ema21_touch,254.65,n/a
EICHERMOT,2022-08-03,2022-09-15,3151.1479999999997,3627.3439999999987,40,target,NIFTY AUTO,19047.83999999996,15.111825912334131,43,ha_ema21_touch,2913.05,n/a
ASHOKLEY,2022-09-20,2022-09-26,79.4794,76.5,2567,stop,NIFTY AUTO,-7648.119799999996,-3.7486443028004746,6,ha_ema21_touch,76.5,initial
BAJFINANCE,2022-09-20,2022-09-26,753.2524999999999,719.0,270,stop,NIFTY FINSEREXBNK,-9248.174999999985,-4.547279962562345,6,ha_ema21_touch,719.0,initial
NHPC,2022-09-15,2022-09-27,37.88785,36.5,5373,stop,NIFTY COMMODITIES,-7456.918050000001,-3.663047652479623,12,ha_ema21_touch,36.5,initial
ADANIENSOL,2022-08-24,2022-09-30,3703.5998999999997,3317.65,25,stop,NIFTY COMMODITIES,-9648.74749999999,-10.420939367667648,37,ha_ema21_touch,3317.65,initial
MARICO,2022-09-28,2022-10-04,541.89135,522.75,360,stop,NIFTY FMCG,-6890.885999999996,-3.532322484940942,6,ha_ema21_touch,522.75,initial
NHPC,2022-10-18,2022-10-25,39.589549999999996,43.76864999999999,4627,target,NIFTY COMMODITIES,19336.69569999996,10.556068457459089,7,ha_ema21_touch,37.5,n/a
LICHSGFIN,2022-10-27,2022-10-31,415.36494999999996,403.2,476,stop,NIFTY MS FIN SERV,-5790.516199999989,-2.9287377281111415,4,ha_ema21_touch,403.2,initial
KEI,2022-11-23,2022-11-24,1631.5299,1565.0,121,stop,NIFTY EV,-8050.117899999999,-4.077761615033837,1,ha_ema21_touch,1579.5,initial
JSWSTEEL,2022-11-23,2022-12-01,710.6098999999999,749.8296999999998,277,target,NIFTY METAL,10863.884599999958,5.519174444375152,8,ha_ema21_touch,691.0,n/a
COCHINSHIP,2022-11-23,2022-12-21,330.8305,296.8,290,stop,NIFTY IND DEFENCE,-9868.844999999988,-10.286385324206792,28,ha_ema21_touch,296.8,initial
SUPREMEIND,2022-11-02,2023-02-17,2277.2749999999996,2731.824999999999,43,target,NIFTY MULTI MFG,19545.64999999997,19.96025952069904,107,ha_ema21_touch,2050.0,n/a
ITC,2023-02-02,2023-05-25,301.9016,362.90479999999997,322,target,NIFTY FMCG,19643.030399999996,20.206318880058927,112,ha_ema21_touch,271.4,n/a
KPITTECH,2023-05-25,2023-06-02,988.6877,1142.4631,132,target,NIFTY MS IT TELCM,20298.3528,15.553485696241598,8,ha_ema21_touch,911.8,n/a
SUPREMEIND,2023-05-02,2023-06-13,2742.74,3010.2199999999993,73,target,NIFTY MULTI MFG,19526.039999999968,9.752291504116318,42,ha_ema21_touch,2609.0,n/a
KEI,2023-05-19,2023-06-14,2009.1905386742997,2203.571616022899,100,target,NIFTY EV,19438.107734859932,9.674596490826382,26,ha_ema21_touch,1912.0,n/a
NATIONALUM,2023-06-05,2023-06-23,82.42233999999999,80.78,2573,stop,NIFTY METAL,-4225.7408199999745,-1.9925908436960071,18,ha_ema21_touch,80.78,initial
MCX,2023-06-26,2023-06-30,325.325,296.0,482,stop,NIFTY MS FIN SERV,-14134.649999999994,-9.014062860216699,4,ha_ema21_touch,303.0,initial
NHPC,2023-06-13,2023-07-12,45.19514999999999,47.68544999999997,4775,target,NIFTY COMMODITIES,11891.182499999888,5.510104513426728,29,ha_ema21_touch,43.95,n/a
COFORGE,2023-07-12,2023-07-17,942.9419999999999,1000.8259999999997,229,target,NIFTY MS IT TELCM,13255.43599999995,6.138659641844324,5,ha_ema21_touch,914.0,n/a
ICICIBANK,2023-07-14,2023-07-20,960.2092499999999,996.2277499999996,229,target,NIFTY PVT BANK,8248.236499999926,3.75110945869348,6,ha_ema21_touch,942.2,n/a
INDHOTEL,2023-07-20,2023-07-24,403.40299999999996,388.3,546,stop,NIFTY IND TOURISM,-8246.237999999974,-3.7438987811196145,4,ha_ema21_touch,388.3,initial
GODREJPROP,2023-07-06,2023-07-28,1571.670349699472,1719.8110490984159,136,target,NIFTY REALTY,20147.13511825638,9.425685190744403,22,ha_ema21_touch,1497.6,n/a
BAJAJHLDNG,2023-08-03,2023-08-11,7506.498999999999,7251.2,29,stop,NIFTY FINSEREXBNK,-7403.670999999973,-3.401039552526408,8,ha_ema21_touch,7251.2,initial
ICICIGI,2023-07-20,2023-08-23,1388.5371499999999,1316.0,151,stop,NIFTY MS FIN SERV,-10953.109649999982,-5.223997787887768,34,ha_ema21_touch,1316.0,initial
PGEL,2023-05-29,2023-08-28,157.35719999999998,182.87159999999994,800,target,NIFTY CONSR DURBL,20411.519999999975,16.214320031113914,91,ha_ema21_touch,144.6,n/a
ASTRAL,2023-08-16,2023-09-04,2003.8017999999997,1900.0,105,stop,NIFTY MULTI MFG,-10899.188999999971,-5.180242876316399,19,ha_ema21_touch,1900.0,initial
NHPC,2023-09-04,2023-09-05,51.101049999999994,53.503149999999984,4378,target,NIFTY COMMODITIES,10516.393799999956,4.700686189422698,1,ha_ema21_touch,49.9,n/a
CHOLAFIN,2023-09-07,2023-09-08,1118.117,1171.9509999999998,201,target,NIFTY FINSEREXBNK,10820.633999999965,4.81470186035986,1,ha_ema21_touch,1091.2,n/a
BHARTIARTL,2022-09-08,2023-09-13,762.6619,915.5856999999997,131,target,NIFTY INFRA,20033.017799999972,20.051322873215494,370,ha_ema21_touch,686.2,n/a
MARICO,2023-09-20,2023-09-21,584.584,574.25,390,stop,NIFTY FMCG,-4030.2599999999793,-1.767752795150046,1,ha_ema21_touch,574.75,initial
IDFCFIRSTB,2023-09-04,2023-10-09,94.094,89.1,2215,stop,NIFTY MS FIN SERV,-11061.71,-5.3074584989478595,35,ha_ema21_touch,89.1,initial
FEDERALBNK,2023-09-14,2023-10-26,146.75541569784292,140.8,1554,stop,NIFTY MS FIN SERV,-9254.71599444788,-4.058055145375084,42,ha_ema21_touch,140.8,initial
TVSMOTOR,2023-10-27,2023-11-15,1590.9645617137237,1675.893685141171,139,target,NIFTY AUTO,11805.148156415187,5.338215914499389,19,ha_ema21_touch,1548.5,n/a
SBILIFE,2023-11-08,2023-11-17,1345.3940499999999,1395.3821499999995,166,target,NIFTY FINSEREXBNK,8298.02459999993,3.7154988161274716,9,ha_ema21_touch,1320.4,n/a
TITAN,2023-11-12,2023-11-22,3292.9051084502407,3432.715325350722,68,target,NIFTY CONSR DURBL,9507.09474923274,4.2458015732582455,10,ha_ema21_touch,3223.0,n/a
NTPC,2023-09-04,2023-12-01,231.88164999999998,263.3449499999999,709,target,NIFTY COMMODITIES,22307.479699999963,13.568689027355108,88,ha_ema21_touch,216.15,n/a
BAJAJHLDNG,2023-12-01,2023-12-04,7407.4,7802.199999999999,31,target,NIFTY FINSEREXBNK,12238.799999999977,5.329805329805315,3,ha_ema21_touch,7210.0,n/a
LICHSGFIN,2023-08-07,2023-12-07,425.67524999999995,514.0257499999998,252,target,NIFTY MS FIN SERV,22264.32599999996,20.75537631093183,122,ha_ema21_touch,381.5,n/a
COLPAL,2023-12-01,2023-12-13,2224.2219999999998,2379.565999999999,105,target,NIFTY FMCG,16311.11999999991,6.984194922988762,12,ha_ema21_touch,2146.55,n/a
