symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2021-09-21,2021-09-27,324.98798198717384,344.9639459615215,616,target,NIFTY MS FIN SERV,12305.19380819817,6.146677748574736,6,ha_ema21_touch,315.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,71,stop,NIFTY FMCG,-6161.5929999999935,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,209,stop,NIFTY PHARMA,-5653.888899999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
ALKEM,2021-10-08,2021-10-14,3997.7437499999996,3890.0,50,stop,NIFTY MIDSML HLTH,-5387.187499999982,-2.6951139627195864,6,ha_ema21_touch,3890.0,initial
SHRIRAMFIN,2021-11-02,2021-11-09,298.2364933320141,339.0094799960423,488,target,NIFTY FINSEREXBNK,19897.217492045747,13.671360673704447,7,ha_ema21_touch,277.85,n/a
CHOLAFIN,2021-11-03,2021-11-23,614.1635499999999,585.4,327,stop,NIFTY FINSEREXBNK,-9405.680849999966,-4.683369763640299,20,ha_ema21_touch,586.0,initial
ASTRAL,2021-11-12,2021-11-23,1736.4847499999998,1619.65,88,stop,NIFTY MULTI MFG,-10281.457999999979,-6.728233576482589,11,ha_ema21_touch,1619.65,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,579,target,NIFTY MS FIN SERV,19889.228999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PHOENIXLTD,2021-12-15,2021-12-16,528.5279999999999,506.8,384,stop,NIFTY REALTY,-8343.55199999996,-4.11104047467682,1,ha_ema21_touch,506.8,initial
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,87,stop,NIFTY METAL,-9956.372341106151,-10.786241803194606,13,ha_ema21_touch,946.55,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2319,stop,NIFTY IND TOURISM,-11824.117199999977,-10.43792273300468,1,ha_ema21_touch,44.55,initial
BEL,2022-01-17,2022-01-18,74.12404999999998,69.45,2107,stop,NIFTY IND DEFENCE,-9848.223349999958,-6.305713192951523,1,ha_ema21_touch,69.45,initial
MARUTI,2022-01-24,2022-02-10,8252.243999999999,9044.631999999996,23,target,NIFTY AUTO,18224.923999999934,9.602091261479885,17,ha_ema21_touch,7856.05,n/a
NTPC,2022-01-25,2022-02-15,135.38524999999998,131.0,1452,stop,NIFTY COMMODITIES,-6367.382999999978,-3.2390899304023058,21,ha_ema21_touch,131.0,initial
ONGC,2022-02-10,2022-02-15,153.9499445024149,147.4,1291,stop,NIFTY OIL AND GAS,-8455.978352617622,-4.25459361066034,5,ha_ema21_touch,147.4,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1254,stop,NIFTY METAL,-9731.579219999981,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
INDIGO,2022-02-16,2022-02-21,2201.14895,2071.55,75,stop,NIFTY IND TOURISM,-9719.92124999997,-5.887786467153877,5,ha_ema21_touch,2071.55,initial
HINDALCO,2022-02-16,2022-02-21,536.88635,513.7,361,stop,NIFTY METAL,-8370.272349999981,-4.3186700500021935,5,ha_ema21_touch,513.7,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,323,stop,NIFTY MS FIN SERV,-10902.703499999992,-13.249815017987899,14,ha_ema21_touch,224.0,initial
TVSMOTOR,2022-02-16,2022-02-24,666.6659999999999,630.55,269,stop,NIFTY AUTO,-9715.203999999996,-5.417405417405419,8,ha_ema21_touch,630.55,initial
BLUESTARCO,2022-02-23,2022-02-24,546.0455,504.85,227,stop,NIFTY CONSR DURBL,-9351.378499999983,-7.544334675407072,1,ha_ema21_touch,504.85,initial
POWERGRID,2022-03-21,2022-03-22,156.15599999999998,150.2,1179,stop,NIFTY ENERGY,-7022.123999999987,-3.8141345833653473,1,ha_ema21_touch,152.25,initial
VOLTAS,2022-04-13,2022-04-18,1313.2119,1268.05,139,stop,NIFTY CONSR DURBL,-6277.504100000008,-3.4390413306489287,5,ha_ema21_touch,1268.05,initial
VBL,2022-04-13,2022-04-19,132.68255,146.04764999999998,1367,target,NIFTY FMCG,18270.09169999998,10.072990005091098,6,ha_ema21_touch,126.0,n/a
JSWENERGY,2022-04-19,2022-04-29,342.4921499999999,315.0,336,stop,NIFTY COMMODITIES,-9237.362399999975,-8.02708908802725,10,ha_ema21_touch,315.0,initial
PHOENIXLTD,2022-08-12,2022-08-19,644.5297792692332,706.5893378076997,285,target,NIFTY REALTY,17686.97418346295,9.628656508133648,7,ha_ema21_touch,613.5,n/a
EICHERMOT,2022-08-03,2022-09-15,3151.1479999999997,3627.3439999999987,38,target,NIFTY AUTO,18095.44799999996,15.111825912334131,43,ha_ema21_touch,2913.05,n/a
ASHOKLEY,2022-09-20,2022-09-26,79.4794,76.5,2432,stop,NIFTY AUTO,-7245.900799999996,-3.7486443028004746,6,ha_ema21_touch,76.5,initial
BAJFINANCE,2022-09-20,2022-09-26,753.2524999999999,719.0,256,stop,NIFTY FINSEREXBNK,-8768.639999999985,-4.547279962562345,6,ha_ema21_touch,719.0,initial
NHPC,2022-09-15,2022-09-27,37.88785,36.5,5092,stop,NIFTY COMMODITIES,-7066.932200000001,-3.663047652479623,12,ha_ema21_touch,36.5,initial
ADANIENSOL,2022-08-24,2022-09-30,3703.5998999999997,3317.65,24,stop,NIFTY COMMODITIES,-9262.79759999999,-10.420939367667648,37,ha_ema21_touch,3317.65,initial
MARICO,2022-09-28,2022-10-04,541.89135,522.75,342,stop,NIFTY FMCG,-6546.341699999996,-3.532322484940942,6,ha_ema21_touch,522.75,initial
NHPC,2022-10-18,2022-10-25,39.589549999999996,43.76864999999999,4383,target,NIFTY COMMODITIES,18316.995299999962,10.556068457459089,7,ha_ema21_touch,37.5,n/a
LICHSGFIN,2022-10-27,2022-10-31,415.36494999999996,403.2,451,stop,NIFTY MS FIN SERV,-5486.392449999989,-2.9287377281111415,4,ha_ema21_touch,403.2,initial
KEI,2022-11-23,2022-11-24,1631.5299,1565.0,114,stop,NIFTY EV,-7584.4086,-4.077761615033837,1,ha_ema21_touch,1579.5,initial
JSWSTEEL,2022-11-23,2022-12-01,710.6098999999999,749.8296999999998,263,target,NIFTY METAL,10314.807399999961,5.519174444375152,8,ha_ema21_touch,691.0,n/a
COCHINSHIP,2022-11-23,2022-12-21,330.8305,296.8,275,stop,NIFTY IND DEFENCE,-9358.38749999999,-10.286385324206792,28,ha_ema21_touch,296.8,initial
SUPREMEIND,2022-11-02,2023-02-17,2277.2749999999996,2731.824999999999,41,target,NIFTY MULTI MFG,18636.54999999997,19.96025952069904,107,ha_ema21_touch,2050.0,n/a
HAL,2023-03-17,2023-03-20,1405.7255523027543,1332.6,128,stop,NIFTY IND DEFENCE,-9360.070694752561,-5.201979304065829,3,ha_ema21_touch,1332.6,initial
ITC,2023-02-02,2023-05-25,301.9016,362.90479999999997,305,target,NIFTY FMCG,18605.976,20.206318880058927,112,ha_ema21_touch,271.4,n/a
SUPREMEIND,2023-05-02,2023-06-13,2742.74,3010.2199999999993,69,target,NIFTY MULTI MFG,18456.11999999997,9.752291504116318,42,ha_ema21_touch,2609.0,n/a
KEI,2023-05-19,2023-06-14,2009.1905386742997,2203.571616022899,94,target,NIFTY EV,18271.821270768334,9.674596490826382,26,ha_ema21_touch,1912.0,n/a
APOLLOHOSP,2023-06-01,2023-06-15,4735.731,5157.192999999999,40,target,NIFTY HEALTHCARE,16858.47999999998,8.899618664995955,14,ha_ema21_touch,4525.0,n/a
MCX,2023-06-26,2023-06-30,325.325,296.0,453,stop,NIFTY MS FIN SERV,-13284.224999999995,-9.014062860216699,4,ha_ema21_touch,303.0,initial
NHPC,2023-06-13,2023-07-12,45.19514999999999,47.68544999999997,4426,target,NIFTY COMMODITIES,11022.067799999895,5.510104513426728,29,ha_ema21_touch,43.95,n/a
COFORGE,2023-07-12,2023-07-17,942.9419999999999,1000.8259999999997,215,target,NIFTY MS IT TELCM,12445.059999999954,6.138659641844324,5,ha_ema21_touch,914.0,n/a
ICICIBANK,2023-07-14,2023-07-20,960.2092499999999,996.2277499999996,215,target,NIFTY PVT BANK,7743.97749999993,3.75110945869348,6,ha_ema21_touch,942.2,n/a
GODREJPROP,2023-07-06,2023-07-28,1571.670349699472,1719.8110490984159,128,target,NIFTY REALTY,18962.00952306483,9.425685190744403,22,ha_ema21_touch,1497.6,n/a
BAJAJHLDNG,2023-08-03,2023-08-11,7506.498999999999,7251.2,27,stop,NIFTY FINSEREXBNK,-6893.072999999975,-3.401039552526408,8,ha_ema21_touch,7251.2,initial
OBEROIRLTY,2023-08-11,2023-08-14,1101.1,1079.05,189,stop,NIFTY REALTY,-4167.449999999992,-2.00254291163382,3,ha_ema21_touch,1079.05,initial
ICICIGI,2023-07-20,2023-08-23,1388.5371499999999,1316.0,142,stop,NIFTY MS FIN SERV,-10300.275299999983,-5.223997787887768,34,ha_ema21_touch,1316.0,initial
PGEL,2023-05-29,2023-08-28,157.35719999999998,182.87159999999994,751,target,NIFTY CONSR DURBL,19161.314399999974,16.214320031113914,91,ha_ema21_touch,144.6,n/a
ASTRAL,2023-08-16,2023-09-04,2003.8017999999997,1900.0,99,stop,NIFTY MULTI MFG,-10276.378199999974,-5.180242876316399,19,ha_ema21_touch,1900.0,initial
CHOLAFIN,2023-09-07,2023-09-08,1118.117,1171.9509999999998,187,target,NIFTY FINSEREXBNK,10066.95799999997,4.81470186035986,1,ha_ema21_touch,1091.2,n/a
BHARTIARTL,2022-09-08,2023-09-13,762.6619,915.5856999999997,124,target,NIFTY INFRA,18962.551199999976,20.051322873215494,370,ha_ema21_touch,686.2,n/a
SAIL,2023-09-14,2023-09-22,98.61431251937947,93.7,2162,stop,NIFTY METAL,-10624.743666898403,-4.983366403749678,8,ha_ema21_touch,93.7,initial
PETRONET,2023-09-22,2023-09-28,221.42119999999997,215.95,953,stop,NIFTY OIL AND GAS,-5214.053599999983,-2.4709467747442315,6,ha_ema21_touch,215.95,initial
IDFCFIRSTB,2023-09-04,2023-10-09,94.094,89.1,2089,stop,NIFTY MS FIN SERV,-10432.466,-5.3074584989478595,35,ha_ema21_touch,89.1,initial
CDSL,2023-10-10,2023-10-13,669.4135049634589,703.2405148903766,311,target,NIFTY MS FIN SERV,10520.200087271422,5.0532308768948875,3,ha_ema21_touch,652.5,n/a
SBILIFE,2023-11-08,2023-11-17,1345.3940499999999,1395.3821499999995,155,target,NIFTY FINSEREXBNK,7748.155499999934,3.7154988161274716,9,ha_ema21_touch,1320.4,n/a
TITAN,2023-11-12,2023-11-22,3292.9051084502407,3432.715325350722,64,target,NIFTY CONSR DURBL,8947.853881630814,4.2458015732582455,10,ha_ema21_touch,3223.0,n/a
NTPC,2023-09-04,2023-12-01,231.88164999999998,263.3449499999999,669,target,NIFTY COMMODITIES,21048.947699999964,13.568689027355108,88,ha_ema21_touch,216.15,n/a
