symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
APOLLOHOSP,2021-09-16,2021-09-23,4824.0192,5098.957599999999,41,target,NIFTY HEALTHCARE,11272.474399999963,5.699363717291983,7,ha_ema21_touch,4686.55,n/a
UNITDSPR,2021-09-22,2021-09-23,751.4006499999999,797.2019499999998,267,target,NIFTY FMCG,12228.947099999961,6.095456531745058,1,ha_ema21_touch,728.5,n/a
DIVISLAB,2021-09-14,2021-09-27,5124.878024559195,5001.0,39,stop,NIFTY PHARMA,-4831.242957808612,-2.417189715844026,13,ha_ema21_touch,5001.0,initial
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,293,target,NIFTY REALTY,20057.490799999967,15.985790740348914,5,ha_ema21_touch,394.0,n/a
NHPC,2021-09-24,2021-09-30,28.1281,29.8843,7337,target,NIFTY COMMODITIES,12885.239399999999,6.243578485571377,6,ha_ema21_touch,27.25,n/a
HINDALCO,2021-10-12,2021-10-14,490.48999999999995,518.9699999999998,428,target,NIFTY METAL,12189.439999999935,5.806438459499663,2,ha_ema21_touch,476.25,n/a
VBL,2021-10-04,2021-10-20,122.22209999999998,117.8,1720,stop,NIFTY FMCG,-7606.011999999976,-3.6180854362672488,16,ha_ema21_touch,117.8,initial
PGEL,2021-10-22,2021-10-25,50.414078059202474,46.7,2845,stop,NIFTY CONSR DURBL,-10566.55207843103,-7.367144659158376,3,ha_ema21_touch,46.7,initial
GODREJPROP,2021-10-27,2021-10-28,2365.8635,2266.1,88,stop,NIFTY REALTY,-8779.188000000002,-4.216790190981012,1,ha_ema21_touch,2266.1,initial
DMART,2021-11-03,2021-11-08,4671.466799999999,4854.400399999998,44,target,NIFTY NONCYC CONS,8049.078399999933,3.9159777395827433,5,ha_ema21_touch,4580.0,n/a
GMRAIRPORT,2021-10-26,2021-11-22,41.45638356262296,38.8,3935,stop,NIFTY IND TOURISM,-10452.86931892136,-6.407658686895101,27,ha_ema21_touch,38.8,initial
PGEL,2021-10-27,2021-11-25,51.45139999999999,60.25419999999998,2380,target,NIFTY CONSR DURBL,20950.66399999998,17.108961077832664,29,ha_ema21_touch,47.05,n/a
RADICO,2021-11-16,2021-11-29,1104.1029999999998,1020.0,175,stop,NIFTY FMCG,-14718.024999999972,-7.617314688937526,13,ha_ema21_touch,1044.0,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,606,target,NIFTY MS FIN SERV,20816.705999999966,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PGEL,2021-12-01,2021-12-02,56.55649999999999,64.66949999999997,2585,target,NIFTY CONSR DURBL,20972.104999999945,14.34494708830989,1,ha_ema21_touch,52.5,n/a
ADANIENT,2021-12-08,2021-12-10,1645.379006273629,1729.1370188208873,133,target,NIFTY METAL,11139.81566878534,5.090499649497104,2,ha_ema21_touch,1603.5,n/a
TECHM,2021-12-08,2021-12-24,1495.42714894907,1599.4814468472098,146,target,NIFTY IT,15191.927493128409,6.9581656298847605,16,ha_ema21_touch,1443.4,n/a
PERSISTENT,2021-10-26,2021-12-31,2039.3372999999997,2444.711899999999,51,target,NIFTY MS IT TELCM,20674.10459999996,19.877761270781402,66,ha_ema21_touch,1836.65,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,96,stop,NIFTY METAL,-10986.341893634373,-10.786241803194606,13,ha_ema21_touch,946.55,initial
UNOMINDA,2022-01-10,2022-01-24,619.56895,525.0,118,stop,NIFTY AUTO,-11159.136099999996,-15.26366839396971,14,ha_ema21_touch,525.0,initial
TORNTPHARM,2021-12-28,2022-01-27,1581.6800999999998,1470.0,140,stop,NIFTY PHARMA,-15635.213999999974,-7.060852570630427,30,ha_ema21_touch,1515.3,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,13560,stop,NIFTY ENERGY,-10991.735999999964,-7.639530281039686,11,ha_ema21_touch,9.8,initial
KEI,2021-12-01,2022-02-11,1145.8446999999999,999.45,71,stop,NIFTY EV,-10394.023699999987,-12.776137987983871,72,ha_ema21_touch,999.45,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1376,stop,NIFTY METAL,-10678.35167999998,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
BANKBARODA,2022-02-16,2022-02-21,96.93442791061103,90.3,1622,stop,NIFTY PSU BANK,-10761.042071011103,-6.844243117346327,5,ha_ema21_touch,90.3,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,353,stop,NIFTY MS FIN SERV,-11915.338499999993,-13.249815017987899,14,ha_ema21_touch,224.0,initial
MARUTI,2022-02-16,2022-02-24,8672.91425,8356.5,24,stop,NIFTY AUTO,-7593.9419999999955,-3.648303682928722,8,ha_ema21_touch,8356.5,initial
ADANIENSOL,2021-10-22,2022-03-02,1797.4957,2143.0870999999997,61,target,NIFTY COMMODITIES,21081.075399999987,19.226271306240108,131,ha_ema21_touch,1624.7,n/a
HINDALCO,2022-03-17,2022-03-24,579.9107300139403,613.1321900418211,362,target,NIFTY METAL,12026.168530092837,5.728719664677029,7,ha_ema21_touch,563.3,n/a
CIPLA,2022-04-05,2022-04-19,1030.67965,1003.45,206,stop,NIFTY PHARMA,-5609.307899999998,-2.6419120625889914,14,ha_ema21_touch,1003.45,initial
NTPC,2022-05-04,2022-05-11,158.50834999999998,153.0,1338,stop,NIFTY COMMODITIES,-7370.172299999972,-3.4751166105760234,7,ha_ema21_touch,153.0,initial
POWERGRID,2022-05-04,2022-05-19,171.57139999999998,163.7,1231,stop,NIFTY ENERGY,-9689.693399999993,-4.587827574992098,15,ha_ema21_touch,165.85,initial
VBL,2022-05-13,2022-06-02,143.34319999999997,153.92959999999988,1467,target,NIFTY FMCG,15530.248799999872,7.385352078089458,20,ha_ema21_touch,138.05,n/a
ITC,2022-05-30,2022-06-13,223.47324999999998,218.6,932,stop,NIFTY FMCG,-4541.868999999986,-2.1806860552661123,14,ha_ema21_touch,218.6,initial
BDL,2022-05-27,2022-06-20,375.27489999999995,342.35,316,stop,NIFTY IND DEFENCE,-10404.268399999975,-8.773541742333402,24,ha_ema21_touch,342.35,initial
VBL,2022-06-13,2022-06-20,151.60144999999997,146.2,1395,stop,NIFTY FMCG,-7535.0227499999755,-3.5629276632908047,7,ha_ema21_touch,146.2,initial
TIINDIA,2022-08-03,2022-08-05,2103.65155,2348.95465,84,target,NIFTY AUTO,20605.460400000007,11.660823770932982,2,ha_ema21_touch,1981.0,n/a
NESTLEIND,2022-08-24,2022-09-05,985.3843999999999,962.6,216,stop,NIFTY FMCG,-4921.4303999999765,-2.312234697443949,12,ha_ema21_touch,962.6,initial
BANKBARODA,2022-08-24,2022-09-08,109.05895,122.27684999999998,1612,target,NIFTY PSU BANK,21307.254799999977,12.119958976315083,15,ha_ema21_touch,102.45,n/a
AXISBANK,2022-09-08,2022-09-12,758.7579999999999,798.1739999999999,287,target,NIFTY PVT BANK,11312.391999999983,5.1948051948051965,4,ha_ema21_touch,739.05,n/a
HEROMOTOCO,2022-09-06,2022-09-15,2683.4307499999995,2641.75,80,stop,NIFTY AUTO,-3334.4599999999627,-1.5532634855585314,9,ha_ema21_touch,2641.75,initial
EICHERMOT,2022-08-03,2022-09-15,3151.1479999999997,3627.3439999999987,43,target,NIFTY AUTO,20476.427999999956,15.111825912334131,43,ha_ema21_touch,2913.05,n/a
