symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
VBL,2021-10-04,2021-10-20,122.22209999999998,117.8,1669,stop,NIFTY FMCG,-7380.484899999977,-3.6180854362672488,16,ha_ema21_touch,117.8,initial
CDSL,2021-11-04,2021-11-15,713.7630499999999,785.0891499999997,283,target,NIFTY MS FIN SERV,20185.286299999934,9.992966153123195,11,ha_ema21_touch,678.1,n/a
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,602,target,NIFTY MS FIN SERV,20679.301999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PERSISTENT,2021-10-26,2021-12-31,2039.3372999999997,2444.711899999999,49,target,NIFTY MS IT TELCM,19863.35539999996,19.877761270781402,66,ha_ema21_touch,1836.65,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,92,stop,NIFTY METAL,-10528.577648066275,-10.786241803194606,13,ha_ema21_touch,946.55,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,13111,stop,NIFTY ENERGY,-10627.776599999965,-7.639530281039686,11,ha_ema21_touch,9.8,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1345,stop,NIFTY METAL,-10437.77834999998,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
BANKBARODA,2022-02-16,2022-02-21,96.93442791061103,90.3,1582,stop,NIFTY PSU BANK,-10495.664954586662,-6.844243117346327,5,ha_ema21_touch,90.3,initial
HINDALCO,2022-02-16,2022-02-21,536.88635,513.7,387,stop,NIFTY METAL,-8973.11744999998,-4.3186700500021935,5,ha_ema21_touch,513.7,initial
OIL,2022-02-17,2022-02-21,155.40525,150.0,1331,stop,NIFTY OIL AND GAS,-7194.3877499999935,-3.478164347729562,4,ha_ema21_touch,150.0,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,342,stop,NIFTY MS FIN SERV,-11544.038999999993,-13.249815017987899,14,ha_ema21_touch,224.0,initial
VBL,2022-05-13,2022-06-02,143.34319999999997,153.92959999999988,1400,target,NIFTY FMCG,14820.959999999877,7.385352078089458,20,ha_ema21_touch,138.05,n/a
TIINDIA,2022-08-03,2022-08-05,2103.65155,2348.95465,82,target,NIFTY AUTO,20114.85420000001,11.660823770932982,2,ha_ema21_touch,1981.0,n/a
