symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TORNTPHARM,2021-09-14,2021-09-20,1569.9684,1538.0,127,stop,NIFTY PHARMA,-4059.986799999997,-2.0362448059464078,6,ha_ema21_touch,1538.0,initial
APOLLOHOSP,2021-09-16,2021-09-23,4824.0192,5098.957599999999,41,target,NIFTY HEALTHCARE,11272.474399999963,5.699363717291983,7,ha_ema21_touch,4686.55,n/a
UNITDSPR,2021-09-22,2021-09-23,751.4006499999999,797.2019499999998,266,target,NIFTY FMCG,12183.145799999962,6.095456531745058,1,ha_ema21_touch,728.5,n/a
DIVISLAB,2021-09-14,2021-09-27,5124.878024559195,5001.0,39,stop,NIFTY PHARMA,-4831.242957808612,-2.417189715844026,13,ha_ema21_touch,5001.0,initial
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
NHPC,2021-09-24,2021-09-30,28.1281,29.8843,7319,target,NIFTY COMMODITIES,12853.627799999998,6.243578485571377,6,ha_ema21_touch,27.25,n/a
CIPLA,2021-09-22,2021-10-05,959.959,933.0,209,stop,NIFTY PHARMA,-5634.430999999989,-2.8083491065764243,13,ha_ema21_touch,933.0,initial
ADANIENT,2021-10-08,2021-10-14,1490.3889,1582.1666999999998,139,target,NIFTY METAL,12757.114199999978,6.157976619391081,6,ha_ema21_touch,1444.5,n/a
HINDALCO,2021-10-12,2021-10-14,490.48999999999995,518.9699999999998,425,target,NIFTY METAL,12103.999999999935,5.806438459499663,2,ha_ema21_touch,476.25,n/a
VBL,2021-10-04,2021-10-20,122.22209999999998,117.8,1713,stop,NIFTY FMCG,-7575.057299999976,-3.6180854362672488,16,ha_ema21_touch,117.8,initial
DIVISLAB,2021-10-12,2021-10-21,5229.173949999999,5060.5,40,stop,NIFTY PHARMA,-6746.957999999977,-3.225632798082756,9,ha_ema21_touch,5060.5,initial
ADANIENT,2021-10-21,2021-10-22,1559.8582999999999,1492.1,134,stop,NIFTY METAL,-9079.612199999996,-4.343875337907299,1,ha_ema21_touch,1492.1,initial
PGEL,2021-10-22,2021-10-25,50.414078059202474,46.7,2810,stop,NIFTY CONSR DURBL,-10436.559346358943,-7.367144659158376,3,ha_ema21_touch,46.7,initial
GODREJPROP,2021-10-27,2021-10-28,2365.8635,2266.1,87,stop,NIFTY REALTY,-8679.424500000001,-4.216790190981012,1,ha_ema21_touch,2266.1,initial
DMART,2021-11-03,2021-11-08,4671.466799999999,4854.400399999998,43,target,NIFTY NONCYC CONS,7866.144799999935,3.9159777395827433,5,ha_ema21_touch,4580.0,n/a
GMRAIRPORT,2021-10-26,2021-11-22,41.45638356262296,38.8,3886,stop,NIFTY IND TOURISM,-10322.706524352836,-6.407658686895101,27,ha_ema21_touch,38.8,initial
TATACONSUM,2021-11-09,2021-11-22,828.7278999999999,807.0,252,stop,NIFTY FMCG,-5475.4307999999655,-2.6218376381439423,13,ha_ema21_touch,807.0,initial
