symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
KOTAKBANK,2021-09-08,2021-09-14,356.6866694526956,371.66000835808677,564,target,NIFTY PVT BANK,8444.96314264063,4.197896974497661,6,ha_ema21_touch,349.2,n/a
SUPREMEIND,2021-09-09,2021-09-16,2152.4503,2274.1509,94,target,NIFTY MULTI MFG,11439.856400000011,5.654049247966375,7,ha_ema21_touch,2091.6,n/a
SUNPHARMA,2021-08-30,2021-09-20,778.72795,754.25,256,stop,NIFTY PHARMA,-6266.355199999991,-3.143324957066196,21,ha_ema21_touch,754.25,initial
BSE,2021-09-08,2021-09-21,131.81238153055347,126.0,1527,stop,NIFTY MS FIN SERV,-8875.506597155143,-4.4095869166935415,13,ha_ema21_touch,126.0,initial
APOLLOHOSP,2021-09-16,2021-09-24,4841.806274603293,5162.718823809878,42,target,NIFTY HEALTHCARE,13478.327066676571,6.627951037402435,8,ha_ema21_touch,4681.35,n/a
DIVISLAB,2021-09-14,2021-09-27,5124.878024559195,5001.0,40,stop,NIFTY PHARMA,-4955.120982367807,-2.417189715844026,13,ha_ema21_touch,5001.0,initial
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,73,stop,NIFTY FMCG,-6335.158999999992,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
NHPC,2021-09-24,2021-10-06,28.178149999999995,30.23444999999999,7285,target,NIFTY COMMODITIES,14980.14549999995,7.29749823888366,12,ha_ema21_touch,27.15,n/a
LTM,2021-10-07,2021-10-11,5804.798999999999,5670.0,35,stop,NIFTY IT,-4717.964999999967,-2.322199269948866,4,ha_ema21_touch,5670.0,initial
JUBLFOOD,2021-08-30,2021-10-12,779.3785999999999,864.9357999999996,233,target,NIFTY IND TOURISM,19934.82759999994,10.977617296651431,43,ha_ema21_touch,736.6,n/a
ITC,2021-10-11,2021-10-13,195.14494999999997,205.1348499999999,1050,target,NIFTY FMCG,10489.394999999917,5.11922035389587,2,ha_ema21_touch,190.15,n/a
NHPC,2021-10-14,2021-10-18,30.518128888312738,33.45438666493821,6899,target,NIFTY COMMODITIES,20257.242400939147,9.62135584187125,4,ha_ema21_touch,29.05,n/a
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,115,target,NIFTY FINSEREXBNK,16185.927999999923,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
VBL,2021-09-21,2021-10-20,122.80607637101575,116.3,1570,stop,NIFTY FMCG,-10214.53990249473,-5.2978456467902335,29,ha_ema21_touch,116.3,initial
ADANIENT,2021-10-21,2021-10-22,1559.8582999999999,1492.1,137,stop,NIFTY METAL,-9282.887099999994,-4.343875337907299,1,ha_ema21_touch,1492.1,initial
