symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
SUPREMEIND,2021-09-09,2021-09-16,2152.4503,2274.1509,93,target,NIFTY MULTI MFG,11318.155800000011,5.654049247966375,7,ha_ema21_touch,2091.6,n/a
APOLLOHOSP,2021-09-16,2021-09-24,4841.806274603293,5162.718823809878,42,target,NIFTY HEALTHCARE,13478.327066676571,6.627951037402435,8,ha_ema21_touch,4681.35,n/a
MCX,2021-09-21,2021-09-27,324.98798198717384,344.9639459615215,632,target,NIFTY MS FIN SERV,12624.809231787733,6.146677748574736,6,ha_ema21_touch,315.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,73,stop,NIFTY FMCG,-6335.158999999992,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,211,stop,NIFTY PHARMA,-5707.993099999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
NHPC,2021-09-24,2021-10-06,28.178149999999995,30.23444999999999,7379,target,NIFTY COMMODITIES,15173.43769999995,7.29749823888366,12,ha_ema21_touch,27.15,n/a
PGEL,2021-10-08,2021-10-11,43.04299999999999,49.52899999999998,3202,target,NIFTY CONSR DURBL,20768.17199999997,15.068652277954575,3,ha_ema21_touch,39.8,n/a
JUBLFOOD,2021-08-30,2021-10-12,779.3785999999999,864.9357999999996,233,target,NIFTY IND TOURISM,19934.82759999994,10.977617296651431,43,ha_ema21_touch,736.6,n/a
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,118,target,NIFTY FINSEREXBNK,16608.16959999992,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
RECLTD,2021-10-04,2021-10-20,119.49327730330309,115.15,1766,stop,NIFTY FINSEREXBNK,-7670.227717633244,-3.6347461558684846,16,ha_ema21_touch,115.15,initial
BAJFINANCE,2021-10-06,2021-10-25,783.2824999999999,742.5,254,stop,NIFTY FINSEREXBNK,-10358.754999999977,-5.206614471790183,19,ha_ema21_touch,742.5,initial
JSWENERGY,2021-10-25,2021-10-26,385.1848,365.0,534,stop,NIFTY COMMODITIES,-10778.683199999998,-5.240289855674474,1,ha_ema21_touch,365.0,initial
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,578.35,315,stop,NIFTY FINSEREXBNK,-10713.701249999966,-5.5541924360886235,5,ha_ema21_touch,578.35,initial
BLUESTARCO,2021-10-25,2021-11-01,455.15469999999993,493.26409999999976,471,target,NIFTY CONSR DURBL,17949.527399999915,8.372845540208607,7,ha_ema21_touch,436.1,n/a
