symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
APOLLOHOSP,2021-09-16,2021-09-24,4841.806274603293,5162.718823809878,41,target,NIFTY HEALTHCARE,13157.414517469986,6.627951037402435,8,ha_ema21_touch,4681.35,n/a
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,296,target,NIFTY REALTY,20262.857599999967,15.985790740348914,5,ha_ema21_touch,394.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,72,stop,NIFTY FMCG,-6248.375999999993,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,212,stop,NIFTY PHARMA,-5735.045199999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
NHPC,2021-09-24,2021-10-06,28.178149999999995,30.23444999999999,7330,target,NIFTY COMMODITIES,15072.67899999995,7.29749823888366,12,ha_ema21_touch,27.15,n/a
JUBLFOOD,2021-08-30,2021-10-12,779.3785999999999,864.9357999999996,233,target,NIFTY IND TOURISM,19934.82759999994,10.977617296651431,43,ha_ema21_touch,736.6,n/a
BAJFINANCE,2021-10-06,2021-10-25,783.2824999999999,742.5,254,stop,NIFTY FINSEREXBNK,-10358.754999999977,-5.206614471790183,19,ha_ema21_touch,742.5,initial
JSWENERGY,2021-10-25,2021-10-26,385.1848,365.0,518,stop,NIFTY COMMODITIES,-10455.726399999998,-5.240289855674474,1,ha_ema21_touch,365.0,initial
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,578.35,304,stop,NIFTY FINSEREXBNK,-10339.571999999967,-5.5541924360886235,5,ha_ema21_touch,578.35,initial
INDIANB,2021-11-09,2021-11-22,175.6218904750498,148.55,378,stop,NIFTY PSU BANK,-10233.174599568823,-15.414872486465935,13,ha_ema21_touch,148.55,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,590,target,NIFTY MS FIN SERV,20267.089999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PGEL,2021-12-22,2021-12-29,68.37053321255628,83.11159963766885,1403,target,NIFTY CONSR DURBL,20681.716194432927,21.560555011739126,7,ha_ema21_touch,61.0,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,90,stop,NIFTY METAL,-10299.695525282224,-10.786241803194606,13,ha_ema21_touch,946.55,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2429,stop,NIFTY IND TOURISM,-12384.985199999976,-10.43792273300468,1,ha_ema21_touch,44.55,initial
TORNTPHARM,2021-12-28,2022-01-27,1581.6800999999998,1470.0,131,stop,NIFTY PHARMA,-14630.093099999975,-7.060852570630427,30,ha_ema21_touch,1515.3,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,12567,stop,NIFTY ENERGY,-10186.810199999967,-7.639530281039686,11,ha_ema21_touch,9.8,initial
ADANIENSOL,2022-02-04,2022-02-14,2041.0389999999998,1930.0,91,stop,NIFTY COMMODITIES,-10104.548999999977,-5.44031740696771,10,ha_ema21_touch,1930.0,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1280,stop,NIFTY METAL,-9933.350399999981,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
