symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASTRAL,2021-09-24,2021-09-27,1618.1665499999997,1563.95,124,stop,NIFTY MULTI MFG,-6722.852199999956,-3.350492568271146,3,ha_ema21_touch,1563.95,initial
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,71,stop,NIFTY FMCG,-6161.5929999999935,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
NHPC,2021-09-24,2021-09-30,28.1281,29.8843,7176,target,NIFTY COMMODITIES,12602.491199999999,6.243578485571377,6,ha_ema21_touch,27.25,n/a
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,209,stop,NIFTY PHARMA,-5653.888899999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,114,target,NIFTY FINSEREXBNK,16045.180799999926,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
RECLTD,2021-10-04,2021-10-20,119.49327730330309,115.15,1709,stop,NIFTY FINSEREXBNK,-7422.660911344969,-3.6347461558684846,16,ha_ema21_touch,115.15,initial
VBL,2021-10-04,2021-10-20,122.22209999999998,117.8,1670,stop,NIFTY FMCG,-7384.9069999999765,-3.6180854362672488,16,ha_ema21_touch,117.8,initial
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,578.35,297,stop,NIFTY FINSEREXBNK,-10101.489749999968,-5.5541924360886235,5,ha_ema21_touch,578.35,initial
DIVISLAB,2021-11-04,2021-11-08,5216.56135,5023.2,38,stop,NIFTY PHARMA,-7347.731300000005,-3.706682180590093,4,ha_ema21_touch,5094.05,initial
CDSL,2021-11-04,2021-11-15,713.7630499999999,785.0891499999997,281,target,NIFTY MS FIN SERV,20042.634099999934,9.992966153123195,11,ha_ema21_touch,678.1,n/a
CHOLAFIN,2021-11-03,2021-11-23,614.1635499999999,585.4,325,stop,NIFTY FINSEREXBNK,-9348.153749999967,-4.683369763640299,20,ha_ema21_touch,586.0,initial
ASTRAL,2021-11-12,2021-11-23,1736.4847499999998,1619.65,87,stop,NIFTY MULTI MFG,-10164.623249999979,-6.728233576482589,11,ha_ema21_touch,1619.65,initial
PERSISTENT,2021-10-27,2021-11-29,2042.0399999999997,1900.0,83,stop,NIFTY MS IT TELCM,-11789.319999999978,-6.955789308730475,33,ha_ema21_touch,1920.5,initial
SHRIRAMFIN,2021-11-03,2021-11-29,325.27494999999993,286.45,258,stop,NIFTY FINSEREXBNK,-10016.837099999986,-11.936040571215202,26,ha_ema21_touch,286.45,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,568,target,NIFTY MS FIN SERV,19511.367999999966,19.553665707511826,2,ha_ema21_touch,158.5,n/a
VOLTAS,2021-12-08,2021-12-15,1261.20995,1218.7,157,stop,NIFTY CONSR DURBL,-6674.0621499999825,-3.370568873168178,7,ha_ema21_touch,1218.7,initial
PHOENIXLTD,2021-12-15,2021-12-16,528.5279999999999,506.8,374,stop,NIFTY REALTY,-8126.271999999961,-4.11104047467682,1,ha_ema21_touch,506.8,initial
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,85,stop,NIFTY METAL,-9727.490218322102,-10.786241803194606,13,ha_ema21_touch,946.55,initial
SIEMENS,2021-12-28,2022-01-05,1833.6818499999997,1782.45,106,stop,NIFTY ENERGY,-5430.576099999965,-2.793933418711636,8,ha_ema21_touch,1782.45,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2249,stop,NIFTY IND TOURISM,-11467.201199999978,-10.43792273300468,1,ha_ema21_touch,44.55,initial
ALKEM,2022-01-07,2022-01-18,3694.691,3532.35,52,stop,NIFTY MIDSML HLTH,-8441.731999999995,-4.393899246242783,11,ha_ema21_touch,3532.35,initial
BEL,2022-01-17,2022-01-18,74.12404999999998,69.45,2033,stop,NIFTY IND DEFENCE,-9502.343649999959,-6.305713192951523,1,ha_ema21_touch,69.45,initial
TORNTPHARM,2021-12-28,2022-01-27,1581.6800999999998,1470.0,123,stop,NIFTY PHARMA,-13736.652299999976,-7.060852570630427,30,ha_ema21_touch,1515.3,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,11549,stop,NIFTY ENERGY,-9361.619399999969,-7.639530281039686,11,ha_ema21_touch,9.8,initial
