symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,71,stop,NIFTY FMCG,-6161.5929999999935,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
NHPC,2021-09-24,2021-09-30,28.1281,29.8843,7176,target,NIFTY COMMODITIES,12602.491199999999,6.243578485571377,6,ha_ema21_touch,27.25,n/a
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,209,stop,NIFTY PHARMA,-5653.888899999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,115,target,NIFTY FINSEREXBNK,16185.927999999923,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
RECLTD,2021-10-04,2021-10-20,119.49327730330309,115.15,1720,stop,NIFTY FINSEREXBNK,-7470.436961681302,-3.6347461558684846,16,ha_ema21_touch,115.15,initial
VBL,2021-10-04,2021-10-20,122.22209999999998,117.8,1681,stop,NIFTY FMCG,-7433.550099999977,-3.6180854362672488,16,ha_ema21_touch,117.8,initial
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,578.35,299,stop,NIFTY FINSEREXBNK,-10169.513249999967,-5.5541924360886235,5,ha_ema21_touch,578.35,initial
CDSL,2021-11-04,2021-11-15,713.7630499999999,785.0891499999997,283,target,NIFTY MS FIN SERV,20185.286299999934,9.992966153123195,11,ha_ema21_touch,678.1,n/a
CHOLAFIN,2021-11-03,2021-11-23,614.1635499999999,585.4,328,stop,NIFTY FINSEREXBNK,-9434.444399999966,-4.683369763640299,20,ha_ema21_touch,586.0,initial
ASTRAL,2021-11-12,2021-11-23,1736.4847499999998,1619.65,88,stop,NIFTY MULTI MFG,-10281.457999999979,-6.728233576482589,11,ha_ema21_touch,1619.65,initial
PERSISTENT,2021-10-27,2021-11-29,2042.0399999999997,1900.0,84,stop,NIFTY MS IT TELCM,-11931.359999999979,-6.955789308730475,33,ha_ema21_touch,1920.5,initial
SHRIRAMFIN,2021-11-03,2021-11-29,325.27494999999993,286.45,259,stop,NIFTY FINSEREXBNK,-10055.662049999986,-11.936040571215202,26,ha_ema21_touch,286.45,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,576,target,NIFTY MS FIN SERV,19786.175999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,88,stop,NIFTY METAL,-10070.813402498175,-10.786241803194606,13,ha_ema21_touch,946.55,initial
SIEMENS,2021-12-28,2022-01-05,1833.6818499999997,1782.45,109,stop,NIFTY ENERGY,-5584.271649999964,-2.793933418711636,8,ha_ema21_touch,1782.45,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2315,stop,NIFTY IND TOURISM,-11803.721999999976,-10.43792273300468,1,ha_ema21_touch,44.55,initial
ALKEM,2022-01-07,2022-01-18,3694.691,3532.35,53,stop,NIFTY MIDSML HLTH,-8604.072999999995,-4.393899246242783,11,ha_ema21_touch,3532.35,initial
BEL,2022-01-17,2022-01-18,74.12404999999998,69.45,2092,stop,NIFTY IND DEFENCE,-9778.112599999959,-6.305713192951523,1,ha_ema21_touch,69.45,initial
TORNTPHARM,2021-12-28,2022-01-27,1581.6800999999998,1470.0,127,stop,NIFTY PHARMA,-14183.372699999976,-7.060852570630427,30,ha_ema21_touch,1515.3,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,11890,stop,NIFTY ENERGY,-9638.033999999969,-7.639530281039686,11,ha_ema21_touch,9.8,initial
MARUTI,2022-01-24,2022-02-10,8252.243999999999,9044.631999999996,23,target,NIFTY AUTO,18224.923999999934,9.602091261479885,17,ha_ema21_touch,7856.05,n/a
NTPC,2022-01-25,2022-02-15,135.38524999999998,131.0,1436,stop,NIFTY COMMODITIES,-6297.218999999978,-3.2390899304023058,21,ha_ema21_touch,131.0,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1214,stop,NIFTY METAL,-9421.162019999982,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
BANKBARODA,2022-02-16,2022-02-21,96.93442791061103,90.3,1432,stop,NIFTY PSU BANK,-9500.500767995007,-6.844243117346327,5,ha_ema21_touch,90.3,initial
INDIGO,2022-02-16,2022-02-21,2201.14895,2071.55,72,stop,NIFTY IND TOURISM,-9331.124399999972,-5.887786467153877,5,ha_ema21_touch,2071.55,initial
BSE,2022-02-10,2022-02-24,254.75449999999998,221.0,312,stop,NIFTY MS FIN SERV,-10531.403999999993,-13.249815017987899,14,ha_ema21_touch,224.0,initial
TVSMOTOR,2022-02-16,2022-02-24,666.6659999999999,630.55,261,stop,NIFTY AUTO,-9426.275999999996,-5.417405417405419,8,ha_ema21_touch,630.55,initial
BLUESTARCO,2022-02-23,2022-02-24,546.0455,504.85,221,stop,NIFTY CONSR DURBL,-9104.205499999984,-7.544334675407072,1,ha_ema21_touch,504.85,initial
GAIL,2022-03-17,2022-03-21,90.12002999999999,86.57,1986,stop,NIFTY OIL AND GAS,-7050.359579999985,-3.9392241658152916,4,ha_ema21_touch,87.05,initial
POWERGRID,2022-03-21,2022-03-22,156.15599999999998,150.2,1137,stop,NIFTY ENERGY,-6771.971999999987,-3.8141345833653473,1,ha_ema21_touch,152.25,initial
VOLTAS,2022-04-13,2022-04-18,1313.2119,1268.05,134,stop,NIFTY CONSR DURBL,-6051.694600000008,-3.4390413306489287,5,ha_ema21_touch,1268.05,initial
JSWENERGY,2022-04-19,2022-04-29,342.4921499999999,315.0,319,stop,NIFTY COMMODITIES,-8769.995849999976,-8.02708908802725,10,ha_ema21_touch,315.0,initial
PGEL,2022-04-18,2022-05-09,77.8778,72.1,1514,stop,NIFTY CONSR DURBL,-8747.589199999999,-7.419059090010249,21,ha_ema21_touch,72.1,initial
VBL,2022-05-13,2022-06-02,143.34319999999997,153.92959999999988,1196,target,NIFTY FMCG,12661.334399999894,7.385352078089458,20,ha_ema21_touch,138.05,n/a
TIINDIA,2022-08-03,2022-08-05,2103.65155,2348.95465,71,target,NIFTY AUTO,17416.520100000005,11.660823770932982,2,ha_ema21_touch,1981.0,n/a
