symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
JUBLFOOD,2021-08-30,2021-09-01,767.9671999999999,811.0015999999997,260,target,NIFTY IND TOURISM,11188.943999999941,5.603676823697645,2,ha_ema21_touch,746.45,n/a
TORNTPHARM,2021-09-14,2021-09-20,1569.9684,1538.0,128,stop,NIFTY PHARMA,-4091.9551999999967,-2.0362448059464078,6,ha_ema21_touch,1538.0,initial
APOLLOHOSP,2021-09-16,2021-09-23,4824.0192,5098.957599999999,41,target,NIFTY HEALTHCARE,11272.474399999963,5.699363717291983,7,ha_ema21_touch,4686.55,n/a
DIVISLAB,2021-09-14,2021-09-27,5124.878024559195,5001.0,39,stop,NIFTY PHARMA,-4831.242957808612,-2.417189715844026,13,ha_ema21_touch,5001.0,initial
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,295,target,NIFTY REALTY,20194.40199999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
HINDUNILVR,2021-09-20,2021-09-29,2785.783,2699.0,72,stop,NIFTY FMCG,-6248.375999999993,-3.1152103376321794,9,ha_ema21_touch,2699.0,initial
NHPC,2021-09-24,2021-09-30,28.1281,29.8843,7303,target,NIFTY COMMODITIES,12825.528599999998,6.243578485571377,6,ha_ema21_touch,27.25,n/a
CIPLA,2021-09-13,2021-10-06,953.0520999999999,926.0,212,stop,NIFTY PHARMA,-5735.045199999975,-2.8384702158465336,23,ha_ema21_touch,926.0,initial
BAJFINANCE,2021-10-04,2021-10-13,764.7639999999999,799.2919999999997,272,target,NIFTY FINSEREXBNK,9391.615999999944,4.514856870877781,9,ha_ema21_touch,747.5,n/a
ALKEM,2021-10-13,2021-10-14,3972.9689999999996,3900.0,52,stop,NIFTY MIDSML HLTH,-3794.387999999979,-1.8366365305140686,1,ha_ema21_touch,3900.0,initial
HINDALCO,2021-10-12,2021-10-14,490.48999999999995,518.9699999999998,423,target,NIFTY METAL,12047.039999999935,5.806438459499663,2,ha_ema21_touch,476.25,n/a
LTM,2021-10-13,2021-10-19,5954.898949999999,6424.696849999997,35,target,NIFTY IT,16442.92649999992,7.889267373714182,6,ha_ema21_touch,5720.0,n/a
DIVISLAB,2021-10-12,2021-10-21,5229.173949999999,5060.5,39,stop,NIFTY PHARMA,-6578.2840499999775,-3.225632798082756,9,ha_ema21_touch,5060.5,initial
ADANIENT,2021-10-21,2021-10-22,1559.8582999999999,1492.1,135,stop,NIFTY METAL,-9147.370499999995,-4.343875337907299,1,ha_ema21_touch,1492.1,initial
BAJAJHLDNG,2021-10-12,2021-10-25,4784.78,4672.1,43,stop,NIFTY FINSEREXBNK,-4845.239999999973,-2.354967208523684,13,ha_ema21_touch,4672.1,initial
PGEL,2021-10-22,2021-10-25,50.414078059202474,46.7,2824,stop,NIFTY CONSR DURBL,-10488.556439187778,-7.367144659158376,3,ha_ema21_touch,46.7,initial
JINDALSTEL,2021-10-26,2021-10-28,435.14765375107606,415.0,476,stop,NIFTY METAL,-9590.283185512206,-4.630072936714358,2,ha_ema21_touch,415.0,initial
