symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
JSWENERGY,2021-10-25,2021-10-26,385.1848,365.0,502,stop,NIFTY COMMODITIES,-10132.769599999998,-5.240289855674474,1,ha_ema21_touch,365.0,initial
GODREJPROP,2021-10-22,2021-10-29,2407.839974355081,2200.1,49,stop,NIFTY REALTY,-10179.258743398965,-8.627648704549905,7,ha_ema21_touch,2200.1,initial
ADANIENSOL,2021-11-03,2021-11-12,1791.7899999999997,1945.3699999999992,110,target,NIFTY COMMODITIES,16893.79999999994,8.571316951205187,9,ha_ema21_touch,1715.0,n/a
TECHM,2021-11-03,2021-11-15,1432.3309,1501.7927,138,target,NIFTY IT,9585.728400000005,4.849563742568153,12,ha_ema21_touch,1397.6,n/a
OBEROIRLTY,2021-11-16,2021-11-18,983.983,950.0,211,stop,NIFTY REALTY,-7170.412999999989,-3.45361657670914,2,ha_ema21_touch,950.0,initial
GMRAIRPORT,2021-10-26,2021-11-22,41.45638356262296,38.8,3790,stop,NIFTY IND TOURISM,-10067.69370234103,-6.407658686895101,27,ha_ema21_touch,38.8,initial
MPHASIS,2021-11-01,2021-11-22,3117.5143999999996,3014.4,64,stop,NIFTY MS IT TELCM,-6599.321599999967,-3.307583759677246,21,ha_ema21_touch,3014.4,initial
PERSISTENT,2021-10-27,2021-11-29,2042.0399999999997,1900.0,82,stop,NIFTY MS IT TELCM,-11647.279999999979,-6.955789308730475,33,ha_ema21_touch,1920.5,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,576,target,NIFTY MS FIN SERV,19786.175999999967,19.553665707511826,2,ha_ema21_touch,158.5,n/a
PGEL,2021-12-01,2021-12-02,56.55649999999999,64.66949999999997,2453,target,NIFTY CONSR DURBL,19901.188999999948,14.34494708830989,1,ha_ema21_touch,52.5,n/a
PERSISTENT,2021-12-08,2021-12-17,2151.29915,2323.5974499999993,95,target,NIFTY MS IT TELCM,16368.33849999995,8.009034912694467,9,ha_ema21_touch,2065.15,n/a
TCS,2021-12-08,2021-12-20,3601.943991894283,3524.3,57,stop,NIFTY IT,-4425.707537974124,-2.1556135261683873,12,ha_ema21_touch,3524.3,initial
KEI,2021-12-15,2021-12-20,1151.5003499999998,1075.0,143,stop,NIFTY EV,-10939.55004999997,-6.6435368430413195,5,ha_ema21_touch,1079.1,initial
TECHM,2021-12-08,2021-12-24,1495.42714894907,1599.4814468472098,137,target,NIFTY IT,14255.438812045151,6.9581656298847605,16,ha_ema21_touch,1443.4,n/a
PGEL,2021-12-22,2021-12-29,68.37053321255628,83.11159963766885,1410,target,NIFTY CONSR DURBL,20784.903659408716,21.560555011739126,7,ha_ema21_touch,61.0,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,90,stop,NIFTY METAL,-10299.695525282224,-10.786241803194606,13,ha_ema21_touch,946.55,initial
SIEMENS,2021-12-23,2022-01-05,1841.6673826404185,1779.85,113,stop,NIFTY ENERGY,-6985.364238367301,-3.35659865745086,13,ha_ema21_touch,1779.85,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2440,stop,NIFTY IND TOURISM,-12441.071999999976,-10.43792273300468,1,ha_ema21_touch,44.55,initial
INOXWIND,2022-01-20,2022-01-24,31.671639999999996,30.16,6546,stop,NIFTY ENERGY,-9895.195439999976,-4.77285041128277,4,ha_ema21_touch,30.16,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,12789,stop,NIFTY ENERGY,-10366.763399999965,-7.639530281039686,11,ha_ema21_touch,9.8,initial
ADANIENSOL,2022-01-28,2022-02-14,2061.3593,1920.0,73,stop,NIFTY COMMODITIES,-10319.228900000006,-6.857576939643661,17,ha_ema21_touch,1920.0,initial
SIEMENS,2022-02-10,2022-02-14,1850.0982499999998,1800.65,110,stop,NIFTY ENERGY,-5439.307499999966,-2.672736434402856,4,ha_ema21_touch,1800.65,initial
NTPC,2022-01-27,2022-02-15,135.78565,131.05,1516,stop,NIFTY COMMODITIES,-7179.245399999989,-3.4875923928633035,19,ha_ema21_touch,131.05,initial
ONGC,2022-02-14,2022-02-15,154.20405,149.25,1290,stop,NIFTY OIL AND GAS,-6390.724499999994,-3.2126588114903543,1,ha_ema21_touch,149.25,initial
BANKBARODA,2022-02-16,2022-02-21,96.93442791061103,90.3,1493,stop,NIFTY PSU BANK,-9905.20087054228,-6.844243117346327,5,ha_ema21_touch,90.3,initial
INDIGO,2022-02-16,2022-02-21,2201.14895,2071.55,76,stop,NIFTY IND TOURISM,-9849.52019999997,-5.887786467153877,5,ha_ema21_touch,2071.55,initial
TVSMOTOR,2022-02-16,2022-02-22,673.8231499999999,640.0,291,stop,NIFTY AUTO,-9842.536649999984,-5.019588596800206,6,ha_ema21_touch,640.6,initial
MARUTI,2022-02-16,2022-02-24,8672.91425,8356.5,22,stop,NIFTY AUTO,-6961.113499999996,-3.648303682928722,8,ha_ema21_touch,8356.5,initial
BLUESTARCO,2022-02-23,2022-02-24,546.0455,504.85,231,stop,NIFTY CONSR DURBL,-9516.160499999982,-7.544334675407072,1,ha_ema21_touch,504.85,initial
TVSMOTOR,2022-02-23,2022-02-24,667.1664999999999,637.0,284,stop,NIFTY AUTO,-8567.28599999998,-4.5215849416899605,1,ha_ema21_touch,638.0,initial
OIL,2022-01-27,2022-03-03,150.80065,168.60194999999996,1153,target,NIFTY OIL AND GAS,20524.898899999964,11.804524715244913,35,ha_ema21_touch,141.9,n/a
HINDALCO,2022-03-17,2022-03-24,579.9107300139403,613.1321900418211,328,target,NIFTY METAL,10896.638889144891,5.728719664677029,7,ha_ema21_touch,563.3,n/a
APLAPOLLO,2022-05-02,2022-05-04,1032.6964255880416,1004.25,186,stop,NIFTY METAL,-5291.035159375741,-2.7545777135660754,2,ha_ema21_touch,1004.25,initial
BLUESTARCO,2022-04-26,2022-05-05,578.2084492346958,552.5,333,stop,NIFTY CONSR DURBL,-8560.913595153688,-4.44622510596705,9,ha_ema21_touch,552.5,initial
ADANIENSOL,2022-04-26,2022-05-10,2811.5587499999997,2461.05,27,stop,NIFTY COMMODITIES,-9463.736249999987,-12.466705524115385,14,ha_ema21_touch,2461.05,initial
NTPC,2022-05-04,2022-05-11,158.50834999999998,153.0,1206,stop,NIFTY COMMODITIES,-6643.070099999974,-3.4751166105760234,7,ha_ema21_touch,153.0,initial
POWERGRID,2022-05-04,2022-05-19,171.57139999999998,163.7,1110,stop,NIFTY ENERGY,-8737.253999999994,-4.587827574992098,15,ha_ema21_touch,165.85,initial
VBL,2022-05-13,2022-06-02,143.34319999999997,153.92959999999988,1306,target,NIFTY FMCG,13825.838399999886,7.385352078089458,20,ha_ema21_touch,138.05,n/a
ITC,2022-05-30,2022-06-13,223.47324999999998,218.6,829,stop,NIFTY FMCG,-4039.9242499999873,-2.1806860552661123,14,ha_ema21_touch,218.6,initial
BDL,2022-05-27,2022-06-20,375.27489999999995,342.35,281,stop,NIFTY IND DEFENCE,-9251.896899999978,-8.773541742333402,24,ha_ema21_touch,342.35,initial
VBL,2022-06-13,2022-07-07,152.152,168.45599999999996,1154,target,NIFTY FMCG,18814.81599999997,10.715600189284391,24,ha_ema21_touch,144.0,n/a
EICHERMOT,2022-07-05,2022-07-08,2817.076939121517,2959.7308173645515,66,target,NIFTY AUTO,9415.155964040267,5.063897129040429,3,ha_ema21_touch,2745.75,n/a
TIINDIA,2022-08-03,2022-08-05,2103.65155,2348.95465,77,target,NIFTY AUTO,18888.338700000008,11.660823770932982,2,ha_ema21_touch,1981.0,n/a
NESTLEIND,2022-08-24,2022-09-05,985.3843999999999,962.6,199,stop,NIFTY FMCG,-4534.095599999979,-2.312234697443949,12,ha_ema21_touch,962.6,initial
KEI,2022-08-24,2022-09-07,1399.3479499999999,1524.0438499999996,140,target,NIFTY EV,17457.42599999996,8.91100029838896,14,ha_ema21_touch,1337.0,n/a
EICHERMOT,2022-08-03,2022-09-15,3151.1479999999997,3627.3439999999987,40,target,NIFTY AUTO,19047.83999999996,15.111825912334131,43,ha_ema21_touch,2913.05,n/a
COLPAL,2022-09-15,2022-09-16,1645.0934499999998,1621.0,123,stop,NIFTY FMCG,-2963.4943499999813,-1.4645642167014805,1,ha_ema21_touch,1621.0,initial
INDIANB,2022-09-19,2022-09-23,195.41843092795415,185.0,968,stop,NIFTY PSU BANK,-10085.041138259616,-5.3313450929278865,4,ha_ema21_touch,185.0,initial
KEI,2022-09-20,2022-09-23,1537.8480925166666,1465.55,131,stop,NIFTY EV,-9471.050119683332,-4.701250589604844,3,ha_ema21_touch,1465.55,initial
ASHOKLEY,2022-09-20,2022-09-26,79.4794,76.5,2543,stop,NIFTY AUTO,-7576.614199999995,-3.7486443028004746,6,ha_ema21_touch,76.5,initial
ADANIENSOL,2022-08-24,2022-09-30,3703.5998999999997,3317.65,25,stop,NIFTY COMMODITIES,-9648.74749999999,-10.420939367667648,37,ha_ema21_touch,3317.65,initial
