symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,292,target,NIFTY REALTY,19989.03519999997,15.985790740348914,5,ha_ema21_touch,394.0,n/a
JSWENERGY,2021-10-25,2021-10-26,385.1848,365.0,505,stop,NIFTY COMMODITIES,-10193.323999999997,-5.240289855674474,1,ha_ema21_touch,365.0,initial
INDIANB,2021-11-09,2021-11-22,175.6218904750498,148.55,373,stop,NIFTY PSU BANK,-10097.815147193574,-15.414872486465935,13,ha_ema21_touch,148.55,initial
PERSISTENT,2021-10-27,2021-11-29,2042.0399999999997,1900.0,83,stop,NIFTY MS IT TELCM,-11789.319999999978,-6.955789308730475,33,ha_ema21_touch,1920.5,initial
BSE,2021-11-30,2021-12-02,175.67549999999997,210.0264999999999,574,target,NIFTY MS FIN SERV,19717.473999999966,19.553665707511826,2,ha_ema21_touch,158.5,n/a
TECHM,2021-11-08,2021-12-24,1462.9020194695643,1632.3060584086927,119,target,NIFTY IT,20159.080633756283,11.579998980420637,46,ha_ema21_touch,1378.2,n/a
PGEL,2021-12-02,2021-12-27,58.558499999999995,74.67549999999999,1260,target,NIFTY CONSR DURBL,20307.419999999987,27.522904445981354,25,ha_ema21_touch,50.5,n/a
APLAPOLLO,2021-12-21,2022-01-03,1060.9910613920247,946.55,89,stop,NIFTY METAL,-10185.2544638902,-10.786241803194606,13,ha_ema21_touch,946.55,initial
SIEMENS,2021-12-28,2022-01-05,1833.6818499999997,1782.45,113,stop,NIFTY ENERGY,-5789.199049999963,-2.793933418711636,8,ha_ema21_touch,1782.45,initial
GMRAIRPORT,2022-01-10,2022-01-11,48.84879999999999,43.75,2400,stop,NIFTY IND TOURISM,-12237.119999999975,-10.43792273300468,1,ha_ema21_touch,44.55,initial
SUZLON,2022-01-28,2022-02-08,10.610599999999998,9.8,12670,stop,NIFTY ENERGY,-10270.301999999967,-7.639530281039686,11,ha_ema21_touch,9.8,initial
ADANIENSOL,2022-02-04,2022-02-14,2041.0389999999998,1930.0,91,stop,NIFTY COMMODITIES,-10104.548999999977,-5.44031740696771,10,ha_ema21_touch,1930.0,initial
NTPC,2022-01-25,2022-02-15,135.38524999999998,131.0,1506,stop,NIFTY COMMODITIES,-6604.186499999977,-3.2390899304023058,21,ha_ema21_touch,131.0,initial
ONGC,2022-02-14,2022-02-15,154.20405,149.25,1290,stop,NIFTY OIL AND GAS,-6390.724499999994,-3.2126588114903543,1,ha_ema21_touch,149.25,initial
NATIONALUM,2022-02-16,2022-02-18,120.55042999999999,112.79,1257,stop,NIFTY METAL,-9754.860509999982,-6.4374967389166375,2,ha_ema21_touch,112.79,initial
BANKBARODA,2022-02-16,2022-02-21,96.93442791061103,90.3,1486,stop,NIFTY PSU BANK,-9858.759875168002,-6.844243117346327,5,ha_ema21_touch,90.3,initial
INDIGO,2022-02-16,2022-02-21,2201.14895,2071.55,75,stop,NIFTY IND TOURISM,-9719.92124999997,-5.887786467153877,5,ha_ema21_touch,2071.55,initial
