symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,85,target,NIFTY MS FIN SERV,15337.645336481204,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1052,target,NIFTY AUTO,20356.199999999903,9.913163759317566,8,ha_ema21_touch,185.52,n/a
BAJAJ-AUTO,2026-02-10,2026-02-25,9677.668,10090.003999999999,21,target,NIFTY AUTO,8659.055999999986,4.260695861854313,15,ha_ema21_touch,9471.5,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,804,target,NIFTY OIL AND GAS,20350.847999999965,9.877622377622352,23,ha_ema21_touch,243.6,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,190,stop,NIFTY CAPITAL MKT,-10640.949999999977,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,21,stop,NIFTY AUTO,-4722.374999999962,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
BEL,2026-02-17,2026-03-04,439.4279651992207,460.08389559766204,481,target,NIFTY IND DEFENCE,9935.502521650285,4.700640840888837,15,ha_ema21_touch,429.1,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,152,stop,NIFTY PVT BANK,-10921.610399999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,121,target,NIFTY PHARMA,9185.642399999959,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
ABB,2026-03-06,2026-03-13,6019.142053659701,6470.426160979102,35,target,NIFTY ENERGY,15794.943756179046,7.4974822540534,7,ha_ema21_touch,5793.5,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,77,stop,NIFTY MS FIN SERV,-10685.828999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
ASTRAL,2026-03-06,2026-03-23,1677.8762,1586.6,122,stop,NIFTY MULTI MFG,-11135.696400000003,-5.439984189536751,17,ha_ema21_touch,1590.5,initial
TORNTPHARM,2026-03-10,2026-03-23,4401.897499999999,4175.2,47,stop,NIFTY PHARMA,-10654.782499999968,-5.149994973758465,13,ha_ema21_touch,4175.2,initial
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,187,target,NIFTY MIDSML HLTH,12739.543300000001,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,200,target,NIFTY METAL,12261.839999999938,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,876,target,NIFTY COMMODITIES,21346.173344505176,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-04,2026-06-08,1095.3943,1045.3,202,stop,NIFTY CAPITAL MKT,-10119.048599999995,-4.573175157110088,4,ha_ema21_touch,1045.3,initial
MANAPPURAM,2026-05-13,2026-06-10,310.84619183833985,292.05,564,stop,NIFTY MS FIN SERV,-10601.052196823668,-6.046782084470593,28,ha_ema21_touch,292.05,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,634,target,NIFTY MS FIN SERV,16922.727999999934,7.706744122929066,12,ha_ema21_touch,333.0,n/a
KEI,2026-05-14,2026-06-17,5086.578662204266,5614.535986612797,40,target,NIFTY EV,21118.292976341254,10.37941924169008,34,ha_ema21_touch,4822.6,n/a
LAURUSLABS,2026-06-19,2026-06-23,1391.6206772165478,1460.6620316496437,161,target,NIFTY MIDSML HLTH,11115.658063728435,4.961219358366331,4,ha_ema21_touch,1357.1,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1545,target,NIFTY AUTO,9996.644399999936,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,28,stop,NIFTY ENERGY,-10927.462912052542,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,237,stop,NIFTY ENERGY,-9124.251149999982,-4.052952158753298,4,ha_ema21_touch,919.45,initial
HDFCAMC,2026-07-01,2026-07-03,2672.2695999999996,2805.608799999999,85,target,NIFTY FINSEREXBNK,11333.831999999951,4.989736065552641,2,ha_ema21_touch,2605.6,n/a
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,212,stop,NIFTY MS FIN SERV,-5000.639273919316,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,182,stop,NIFTY CAPITAL MKT,-11141.821599999977,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
FEDERALBNK,2026-07-17,2026-07-20,330.27994999999993,342.8398499999998,643,target,NIFTY MS FIN SERV,8076.015699999908,3.802804257418546,3,ha_ema21_touch,324.0,n/a
ADANIGREEN,2026-07-01,2026-07-22,1526.433398392084,1469.3,148,stop,NIFTY COMMODITIES,-8455.742962028435,-3.7429342447739433,21,ha_ema21_touch,1469.3,initial
CHOLAFIN,2026-07-15,2026-07-22,1805.3241513924115,1742.7,123,stop,NIFTY FINSEREXBNK,-7702.770621266612,-3.468859115639189,7,ha_ema21_touch,1742.7,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,71,stop,NIFTY METAL,-7257.120204879973,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
UNIONBANK,2026-07-20,2026-07-24,170.77917043170314,166.25,1292,stop,NIFTY PSU BANK,-5851.688197760452,-2.6520625555529365,4,ha_ema21_touch,166.25,initial
LAURUSLABS,2026-07-09,2026-07-27,1516.1703475526253,1652.111042657876,147,target,NIFTY MIDSML HLTH,19983.282180471837,8.966056836864244,18,ha_ema21_touch,1448.2,n/a
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2721,target,NIFTY MS FIN SERV,12468.111779999983,5.645088663956588,1,ha_ema21_touch,78.88,n/a
TORNTPHARM,2026-07-31,2026-08-03,4956.7518,5146.2554,45,target,NIFTY PHARMA,8527.662,3.8231407915159332,3,ha_ema21_touch,4862.0,n/a
SIEMENS,2026-07-31,2026-08-03,3668.6649999999995,3840.7949999999987,61,target,NIFTY ENERGY,10499.929999999951,4.69189746133809,3,ha_ema21_touch,3582.6,n/a
NYKAA,2026-07-27,2026-08-05,326.8711988697632,346.51359660928955,681,target,NIFTY INTERNET,13376.47286061745,6.009216415347929,9,ha_ema21_touch,317.05,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8869.360499999999,8744.0,25,stop,NIFTY HEALTHCARE,-3134.0124999999716,-1.413410809043092,14,ha_ema21_touch,8744.0,initial
