symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-02-01,2418.0,2272.0,68,stop,NIFTY MS FIN SERV,-9928.0,-6.038047973531846,5,ha_ema21_touch,2272.0,initial
INDIANB,2026-01-22,2026-02-02,878.05,814.3,156,stop,NIFTY PSU BANK,-9945.0,-7.26040658276863,11,ha_ema21_touch,814.3,initial
NAM-INDIA,2026-02-18,2026-03-02,978.55,899.95,126,stop,NIFTY CAPITAL MKT,-9903.599999999988,-8.032292677941843,12,ha_ema21_touch,899.95,initial
ASHOKLEY,2026-02-03,2026-03-09,199.87,185.52,683,stop,NIFTY AUTO,-9801.049999999996,-7.1796667834092105,34,ha_ema21_touch,185.52,initial
AXISBANK,2026-02-03,2026-03-09,1356.2,1282.2,144,stop,NIFTY PVT BANK,-10656.0,-5.456422356584579,34,ha_ema21_touch,1302.9,initial
BAJAJ-AUTO,2026-02-10,2026-03-09,9774.0,9471.5,20,stop,NIFTY AUTO,-6050.0,-3.094945774503788,27,ha_ema21_touch,9471.5,initial
APOLLOHOSP,2026-03-10,2026-03-12,7803.0,7556.0,24,stop,NIFTY HEALTHCARE,-5928.0,-3.165449186210434,2,ha_ema21_touch,7556.0,initial
MCX,2026-03-17,2026-03-20,2671.8,2440.8,40,stop,NIFTY MS FIN SERV,-9240.0,-8.645856725802826,3,ha_ema21_touch,2440.8,initial
TORNTPHARM,2026-03-10,2026-03-23,4427.8,4175.2,37,stop,NIFTY PHARMA,-9346.200000000013,-5.704864718370306,13,ha_ema21_touch,4175.2,initial
SUNPHARMA,2026-03-05,2026-04-01,1784.5,1721.0,109,stop,NIFTY PHARMA,-6921.5,-3.5584197254132865,27,ha_ema21_touch,1721.0,initial
GLENMARK,2026-03-10,2026-04-02,2225.8,2050.2,54,stop,NIFTY MIDSML HLTH,-9482.40000000002,-7.889298229849961,23,ha_ema21_touch,2050.2,initial
ONGC,2026-02-04,2026-04-28,260.8,295.20000000000005,568,target,NIFTY OIL AND GAS,19539.20000000002,13.190184049079768,83,ha_ema21_touch,243.6,n/a
HINDALCO,2026-05-13,2026-05-29,1073.1,1169.2999999999997,171,target,NIFTY METAL,16450.199999999968,8.9646817631162,16,ha_ema21_touch,1025.0,n/a
MANAPPURAM,2026-05-13,2026-06-10,309.5,292.05,528,stop,NIFTY MS FIN SERV,-9213.599999999995,-5.638126009693045,28,ha_ema21_touch,292.05,initial
RBLBANK,2026-06-03,2026-06-19,348.2,378.59999999999997,543,target,NIFTY MS FIN SERV,16507.199999999986,8.730614589316477,16,ha_ema21_touch,333.0,n/a
LAURUSLABS,2026-06-19,2026-06-29,1412.9,1524.5000000000005,138,target,NIFTY MIDSML HLTH,15400.80000000005,7.898648170429645,10,ha_ema21_touch,1357.1,n/a
GVT&D,2026-06-03,2026-07-03,4964.5,4581.0,24,stop,NIFTY ENERGY,-9204.0,-7.724846409507502,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,956.25,911.4,202,stop,NIFTY ENERGY,-9059.700000000004,-4.6901960784313745,4,ha_ema21_touch,919.45,initial
MOTHERSON,2026-06-25,2026-07-07,151.71,142.07,995,stop,NIFTY AUTO,-9591.800000000014,-6.35422846219762,12,ha_ema21_touch,142.07,initial
NAM-INDIA,2026-07-09,2026-07-16,1218.2,1158.8,151,stop,NIFTY CAPITAL MKT,-8969.400000000014,-4.876046626169761,7,ha_ema21_touch,1158.8,initial
ADANIENT,2026-07-10,2026-07-23,3157.3,3026.8,59,stop,NIFTY METAL,-7699.5,-4.133278434105092,13,ha_ema21_touch,3026.8,initial
KEI,2026-05-14,2026-07-24,5144.7,4822.6,28,stop,NIFTY EV,-9018.799999999985,-6.260812097887136,71,ha_ema21_touch,4822.6,initial
LAURUSLABS,2026-07-09,2026-07-27,1507.4,1625.8000000000002,122,target,NIFTY MIDSML HLTH,14444.80000000001,7.854584052010094,18,ha_ema21_touch,1448.2,n/a
ADANIPOWER,2026-05-14,2026-07-28,224.49,208.9,595,stop,NIFTY COMMODITIES,-9276.050000000003,-6.94463005033632,75,ha_ema21_touch,208.9,initial
NYKAA,2026-07-27,2026-08-05,326.75,346.15,562,target,NIFTY INTERNET,10902.799999999987,5.93726090283091,9,ha_ema21_touch,317.05,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8903.0,8744.0,20,stop,NIFTY HEALTHCARE,-3180.0,-1.7859148601594987,14,ha_ema21_touch,8744.0,initial
