symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,85,target,NIFTY MS FIN SERV,15337.645336481204,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1052,target,NIFTY AUTO,20356.199999999903,9.913163759317566,8,ha_ema21_touch,185.52,n/a
INDIANB,2026-02-09,2026-02-18,864.7638999999999,905.7916999999998,240,target,NIFTY PSU BANK,9846.671999999962,4.7443932384318765,9,ha_ema21_touch,844.25,n/a
AUBANK,2026-02-13,2026-02-23,1003.95295,980.3,209,stop,NIFTY MS FIN SERV,-4943.4665500000065,-2.3559819212643385,10,ha_ema21_touch,980.3,initial
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,21,target,NIFTY AUTO,12234.819684201444,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,191,stop,NIFTY CAPITAL MKT,-10696.954999999978,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
HINDALCO,2026-03-10,2026-03-13,957.2062499999998,925.25,221,stop,NIFTY METAL,-7062.331249999965,-3.3384915737856735,3,ha_ema21_touch,925.25,initial
ABB,2026-03-06,2026-03-13,6019.142053659701,6470.426160979102,35,target,NIFTY ENERGY,15794.943756179046,7.4974822540534,7,ha_ema21_touch,5793.5,n/a
DRREDDY,2026-03-10,2026-03-16,1301.7669410509468,1273.6,162,stop,NIFTY PHARMA,-4563.044450253396,-2.1637468399840487,6,ha_ema21_touch,1273.6,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,75,stop,NIFTY MS FIN SERV,-10408.274999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
ASTRAL,2026-03-06,2026-03-23,1677.8762,1586.6,120,stop,NIFTY MULTI MFG,-10953.144000000002,-5.439984189536751,17,ha_ema21_touch,1590.5,initial
TORNTPHARM,2026-03-10,2026-03-23,4401.897499999999,4175.2,46,stop,NIFTY PHARMA,-10428.084999999968,-5.149994973758465,13,ha_ema21_touch,4175.2,initial
ABB,2026-03-25,2026-03-27,6250.744499999999,6045.0,32,stop,NIFTY ENERGY,-6583.823999999964,-3.2915199141478113,2,ha_ema21_touch,6045.0,initial
UNIONBANK,2026-04-15,2026-04-23,180.13996,173.68,1132,stop,NIFTY PSU BANK,-7312.6747199999945,-3.5860782915683953,8,ha_ema21_touch,173.68,initial
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,191,target,NIFTY METAL,11710.057199999941,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,838,target,NIFTY COMMODITIES,20420.197788464997,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-04,2026-06-08,1095.3943,1045.3,191,stop,NIFTY CAPITAL MKT,-9568.011299999995,-4.573175157110088,4,ha_ema21_touch,1045.3,initial
LAURUSLABS,2026-06-19,2026-06-23,1391.6206772165478,1460.6620316496437,150,target,NIFTY MIDSML HLTH,10356.203164964381,4.961219358366331,4,ha_ema21_touch,1357.1,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,220,stop,NIFTY ENERGY,-8469.768999999982,-4.052952158753298,4,ha_ema21_touch,919.45,initial
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,166,stop,NIFTY CAPITAL MKT,-10162.32079999998,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
FEDERALBNK,2026-07-17,2026-07-20,330.27994999999993,342.8398499999998,617,target,NIFTY MS FIN SERV,7749.458299999912,3.802804257418546,3,ha_ema21_touch,324.0,n/a
ADANIGREEN,2026-07-01,2026-07-22,1526.433398392084,1469.3,137,stop,NIFTY COMMODITIES,-7827.2755797155105,-3.7429342447739433,21,ha_ema21_touch,1469.3,initial
LUPIN,2026-07-21,2026-07-22,2497.2948,2424.0,83,stop,NIFTY MIDSML HLTH,-6083.468400000011,-2.934967870032812,1,ha_ema21_touch,2424.0,initial
HAL,2026-07-17,2026-07-22,4464.459999999999,4605.379999999997,44,target,NIFTY IND DEFENCE,6200.479999999923,3.1564847708345,5,ha_ema21_touch,4394.0,n/a
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,65,stop,NIFTY METAL,-6643.842441087299,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
LAURUSLABS,2026-07-09,2026-07-27,1516.1703475526253,1652.111042657876,134,target,NIFTY MIDSML HLTH,18216.05314410358,8.966056836864244,18,ha_ema21_touch,1448.2,n/a
BHEL,2026-07-27,2026-07-29,418.41799999999995,402.15,491,stop,NIFTY ENERGY,-7987.587999999986,-3.88797805065747,2,ha_ema21_touch,402.15,initial
BIOCON,2026-07-27,2026-07-30,435.874224189797,426.7,471,stop,NIFTY MIDSML HLTH,-4321.059593394401,-2.1047870419156123,3,ha_ema21_touch,426.7,initial
TORNTPHARM,2026-07-31,2026-08-03,4956.7518,5146.2554,41,target,NIFTY PHARMA,7769.6476,3.8231407915159332,3,ha_ema21_touch,4862.0,n/a
ABB,2026-07-31,2026-08-03,7339.331999999999,7627.995999999998,27,target,NIFTY ENERGY,7793.927999999969,3.9331099887564447,3,ha_ema21_touch,7195.0,n/a
SIEMENS,2026-07-31,2026-08-03,3668.6649999999995,3840.7949999999987,55,target,NIFTY ENERGY,9467.149999999956,4.69189746133809,3,ha_ema21_touch,3582.6,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8869.360499999999,8744.0,23,stop,NIFTY HEALTHCARE,-2883.291499999974,-1.413410809043092,14,ha_ema21_touch,8744.0,initial
NAM-INDIA,2026-08-13,2026-08-14,1184.0828999999999,1160.7,174,stop,NIFTY CAPITAL MKT,-4068.6245999999715,-1.9747688274190822,1,ha_ema21_touch,1160.7,initial
