symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PERSISTENT,2026-01-20,2026-01-21,6473.967499999999,6250.0,30,stop,NIFTY MS IT TELCM,-6719.024999999965,-3.459509180421416,1,ha_ema21_touch,6250.0,initial
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,690,target,NIFTY OIL AND GAS,14892.269999999979,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,787,target,NIFTY OIL AND GAS,19920.543999999965,9.877622377622352,23,ha_ema21_touch,243.6,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,148,stop,NIFTY PVT BANK,-10634.199599999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
OIL,2026-03-09,2026-03-10,489.53905,470.95,414,stop,NIFTY OIL AND GAS,-7695.866699999994,-3.7972558062528416,1,ha_ema21_touch,474.7,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,119,target,NIFTY PHARMA,9033.81359999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,99,target,NIFTY MIDSML HLTH,15606.142199999997,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
DRREDDY,2026-03-10,2026-03-16,1301.7669410509468,1273.6,149,stop,NIFTY PHARMA,-4196.874216591086,-2.1637468399840487,6,ha_ema21_touch,1273.6,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,456,stop,NIFTY IND DEFENCE,-9822.855599999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,184,target,NIFTY MIDSML HLTH,12535.1656,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,854,target,NIFTY COMMODITIES,20810.08223311349,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,672,stop,NIFTY MS FIN SERV,-8775.311999999987,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,192,stop,NIFTY METAL,-10116.479999999967,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,29,stop,NIFTY ENERGY,-10744.787099999987,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,457,stop,NIFTY ENERGY,-10495.644799999958,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,148,target,NIFTY MIDSML HLTH,18418.481599999934,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,74,stop,NIFTY FINSEREXBNK,-6315.52259999997,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
GMRAIRPORT,2026-07-21,2026-07-22,111.81169999999999,109.69,1832,stop,NIFTY IND TOURISM,-3886.9543999999814,-1.8975652816297317,1,ha_ema21_touch,109.69,initial
SHRIRAMFIN,2026-07-15,2026-07-24,1043.3422999999998,1007.0,195,stop,NIFTY FINSEREXBNK,-7086.74849999996,-3.4832576039522056,9,ha_ema21_touch,1007.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,42,target,NIFTY AUTO,19908.839999999942,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
PAYTM,2026-07-27,2026-08-03,1297.9967,1420.9900999999998,155,target,NIFTY MS FIN SERV,19063.976999999973,9.475632719251115,7,ha_ema21_touch,1236.5,n/a
