symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,42,target,NIFTY MS FIN SERV,7578.601225084831,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,25,target,NIFTY PHARMA,5930.92499999999,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,345,target,NIFTY OIL AND GAS,7446.134999999989,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,393,target,NIFTY OIL AND GAS,9947.615999999982,9.877622377622352,23,ha_ema21_touch,243.6,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,74,stop,NIFTY PVT BANK,-5317.099799999994,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,58,target,NIFTY PHARMA,4403.03519999998,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,48,target,NIFTY MIDSML HLTH,7566.614399999999,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,13,stop,NIFTY HEALTHCARE,-3522.898583683519,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
DRREDDY,2026-03-10,2026-03-16,1301.7669410509468,1273.6,80,stop,NIFTY PHARMA,-2253.355284075751,-2.1637468399840487,6,ha_ema21_touch,1273.6,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,228,stop,NIFTY IND DEFENCE,-4911.427799999992,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,82,target,NIFTY MIDSML HLTH,11636.09519999997,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,93,target,NIFTY MIDSML HLTH,6335.7087,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,472,target,NIFTY COMMODITIES,11501.591117130643,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,92,stop,NIFTY CAPITAL MKT,-8201.15599999998,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,337,stop,NIFTY MS FIN SERV,-4400.714499999994,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,96,stop,NIFTY METAL,-5058.239999999983,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,27,stop,NIFTY ENERGY,-10003.767299999989,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,21,stop,NIFTY ENERGY,-8195.597184039407,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,249,stop,NIFTY ENERGY,-5718.633599999977,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,73,target,NIFTY MIDSML HLTH,9084.791599999968,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,37,stop,NIFTY FINSEREXBNK,-3157.761299999985,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
GMRAIRPORT,2026-07-21,2026-07-22,111.81169999999999,109.69,912,stop,NIFTY IND TOURISM,-1934.9903999999908,-1.8975652816297317,1,ha_ema21_touch,109.69,initial
SHRIRAMFIN,2026-07-15,2026-07-24,1043.3422999999998,1007.0,97,stop,NIFTY FINSEREXBNK,-3525.20309999998,-3.4832576039522056,9,ha_ema21_touch,1007.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,26,target,NIFTY AUTO,12324.519999999964,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
PAYTM,2026-07-27,2026-08-03,1297.9967,1420.9900999999998,78,target,NIFTY MS FIN SERV,9593.485199999988,9.475632719251115,7,ha_ema21_touch,1236.5,n/a
GODREJPROP,2026-07-28,2026-08-04,2088.5865,2025.1,48,stop,NIFTY REALTY,-3047.351999999999,-3.0396873675090808,7,ha_ema21_touch,2025.1,initial
