symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1037,target,NIFTY AUTO,20065.949999999906,9.913163759317566,8,ha_ema21_touch,185.52,n/a
BANKINDIA,2026-02-05,2026-02-18,156.59643999999997,167.26931999999994,1302,target,NIFTY PSU BANK,13896.089759999953,6.8155316940793575,13,ha_ema21_touch,151.26,n/a
BPCL,2026-02-18,2026-02-19,376.76956700821285,366.55,560,stop,NIFTY OIL AND GAS,-5722.957524599187,-2.71241838595474,1,ha_ema21_touch,366.55,initial
BAJAJ-AUTO,2026-02-23,2026-02-24,9858.399279974705,9670.5,21,stop,NIFTY AUTO,-3945.8848794688,-1.9059816369619287,1,ha_ema21_touch,9670.5,initial
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,793,target,NIFTY OIL AND GAS,20072.415999999965,9.877622377622352,23,ha_ema21_touch,243.6,n/a
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,21,stop,NIFTY AUTO,-4722.374999999962,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
FEDERALBNK,2026-02-18,2026-03-09,291.34105,280.0,724,stop,NIFTY MS FIN SERV,-8210.920199999997,-3.892705816773845,19,ha_ema21_touch,282.6,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,120,target,NIFTY PHARMA,9109.72799999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
CGPOWER,2026-03-06,2026-03-13,703.5528499999999,743.8585499999998,302,target,NIFTY ENERGY,12172.321399999966,5.728880211344456,7,ha_ema21_touch,683.4,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,76,stop,NIFTY MS FIN SERV,-10547.051999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,460,stop,NIFTY IND DEFENCE,-9909.020999999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
GVT&D,2026-03-20,2026-03-23,3841.8379999999997,3649.0,54,stop,NIFTY ENERGY,-10413.251999999986,-5.019420392010277,3,ha_ema21_touch,3684.5587,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,150,target,NIFTY MIDSML HLTH,21285.539999999946,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
RBLBANK,2026-05-15,2026-05-19,338.78844999999995,322.6,620,stop,NIFTY MS FIN SERV,-10036.838999999958,-4.778335861213668,4,ha_ema21_touch,322.6,initial
BHARATFORG,2026-05-07,2026-05-20,1906.9049999999997,1831.2,109,stop,NIFTY AUTO,-8251.844999999967,-3.97004570232915,13,ha_ema21_touch,1831.2,initial
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,198,target,NIFTY METAL,12139.221599999939,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,871,target,NIFTY COMMODITIES,21224.334455552522,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,665,stop,NIFTY MS FIN SERV,-8683.902499999987,-4.228672462059812,22,ha_ema21_touch,295.75,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,29,stop,NIFTY ENERGY,-10744.787099999987,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,612,target,NIFTY MS FIN SERV,16335.503999999935,7.706744122929066,12,ha_ema21_touch,333.0,n/a
ADANIENSOL,2026-06-18,2026-06-29,1503.706211703155,1470.0,143,stop,NIFTY COMMODITIES,-4819.9882735511765,-2.24154235985885,11,ha_ema21_touch,1470.0,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,227,stop,NIFTY ENERGY,-8739.261649999982,-4.052952158753298,4,ha_ema21_touch,919.45,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,153,target,NIFTY MIDSML HLTH,19040.727599999933,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
ZYDUSLIFE,2026-06-23,2026-07-03,1089.2882,1138.6646,199,target,NIFTY PHARMA,9825.90360000002,4.532905065895343,10,ha_ema21_touch,1064.6,n/a
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,204,stop,NIFTY MS FIN SERV,-4811.935905092172,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
ADANIENSOL,2026-07-03,2026-07-16,1571.8702999999998,1723.8108999999993,135,target,NIFTY COMMODITIES,20511.980999999927,9.666230095447403,13,ha_ema21_touch,1495.9,n/a
CHOLAFIN,2026-07-15,2026-07-22,1805.3241513924115,1742.7,119,stop,NIFTY FINSEREXBNK,-7452.274015696966,-3.468859115639189,7,ha_ema21_touch,1742.7,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,68,stop,NIFTY METAL,-6950.481322983636,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
LAURUSLABS,2026-07-09,2026-07-27,1516.1703475526253,1652.111042657876,140,target,NIFTY MIDSML HLTH,19031.697314735084,8.966056836864244,18,ha_ema21_touch,1448.2,n/a
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2670,target,NIFTY MS FIN SERV,12234.420599999983,5.645088663956588,1,ha_ema21_touch,78.88,n/a
BIOCON,2026-07-27,2026-07-30,435.874224189797,426.7,497,stop,NIFTY MIDSML HLTH,-4559.589422329124,-2.1047870419156123,3,ha_ema21_touch,426.7,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,45,target,NIFTY AUTO,21330.899999999936,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8869.360499999999,8744.0,24,stop,NIFTY HEALTHCARE,-3008.6519999999728,-1.413410809043092,14,ha_ema21_touch,8744.0,initial
