symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
PERSISTENT,2026-01-20,2026-01-21,6473.967499999999,6250.0,30,stop,NIFTY MS IT TELCM,-6719.024999999965,-3.459509180421416,1,ha_ema21_touch,6250.0,initial
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,690,target,NIFTY OIL AND GAS,14892.269999999979,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,790,target,NIFTY OIL AND GAS,19996.479999999963,9.877622377622352,23,ha_ema21_touch,243.6,n/a
ULTRACEMCO,2026-02-03,2026-03-04,12360.347999999998,11931.0,16,stop,,-6869.56799999997,-3.473591520238739,29,ha_ema21_touch,11947.0,initial
TVSMOTOR,2026-02-25,2026-03-04,3847.0377919288935,3725.0,54,stop,NIFTY AUTO,-6590.04076416025,-3.1722535241252237,7,ha_ema21_touch,3743.4,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,148,stop,NIFTY PVT BANK,-10634.199599999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
ONGC,2026-03-09,2026-03-10,281.23094999999995,270.85,720,stop,NIFTY OIL AND GAS,-7474.283999999948,-3.6912544654135404,1,ha_ema21_touch,271.15,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,117,target,NIFTY PHARMA,8881.98479999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,98,target,NIFTY MIDSML HLTH,15448.504399999998,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,456,stop,NIFTY IND DEFENCE,-9822.855599999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,182,target,NIFTY MIDSML HLTH,12398.9138,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
GRASIM,2026-05-04,2026-05-07,2804.2014,2958.6041999999998,73,target,,11271.404399999989,5.506123775560479,3,ha_ema21_touch,2727.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,856,target,NIFTY COMMODITIES,20858.817788694556,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,120,stop,NIFTY CAPITAL MKT,-10697.159999999976,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,673,stop,NIFTY MS FIN SERV,-8788.370499999986,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,192,stop,NIFTY METAL,-10116.479999999967,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,458,stop,NIFTY ENERGY,-10518.611199999958,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,148,target,NIFTY MIDSML HLTH,18418.481599999934,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
GRASIM,2026-07-10,2026-07-13,3225.2219999999998,3136.3,64,stop,,-5691.0079999999725,-2.7570815280312355,3,ha_ema21_touch,3136.3,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,75,stop,NIFTY FINSEREXBNK,-6400.867499999969,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
SHRIRAMFIN,2026-07-15,2026-07-24,1043.3422999999998,1007.0,195,stop,NIFTY FINSEREXBNK,-7086.74849999996,-3.4832576039522056,9,ha_ema21_touch,1007.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,42,target,NIFTY AUTO,19908.839999999942,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
PAYTM,2026-07-27,2026-08-03,1297.9967,1420.9900999999998,155,target,NIFTY MS FIN SERV,19063.976999999973,9.475632719251115,7,ha_ema21_touch,1236.5,n/a
ASIANPAINT,2026-07-31,2026-08-18,2770.6679,2663.1,75,stop,,-8067.592500000001,-3.882381573049587,18,ha_ema21_touch,2666.2,initial
