symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,49,target,NIFTY PHARMA,11624.612999999981,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,20,target,NIFTY AUTO,11652.209223048994,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,685,target,NIFTY OIL AND GAS,14784.35499999998,7.396719918160732,22,ha_ema21_touch,281.0,n/a
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,21,stop,NIFTY AUTO,-4722.374999999962,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
FEDERALBNK,2026-02-18,2026-03-09,291.34105,280.0,708,stop,NIFTY MS FIN SERV,-8029.463399999997,-3.892705816773845,19,ha_ema21_touch,282.6,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,118,target,NIFTY PHARMA,8957.89919999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,98,target,NIFTY MIDSML HLTH,15448.504399999998,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,75,stop,NIFTY MS FIN SERV,-10408.274999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,453,stop,NIFTY IND DEFENCE,-9758.231549999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,148,target,NIFTY MIDSML HLTH,21001.732799999947,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,187,target,NIFTY MIDSML HLTH,12739.543300000001,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
BHARATFORG,2026-05-07,2026-05-20,1906.9049999999997,1831.2,110,stop,NIFTY AUTO,-8327.549999999967,-3.97004570232915,13,ha_ema21_touch,1831.2,initial
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,870,target,NIFTY COMMODITIES,21199.96667776199,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,678,stop,NIFTY MS FIN SERV,-8853.662999999988,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,193,stop,NIFTY METAL,-10169.169999999967,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,29,stop,NIFTY ENERGY,-10744.787099999987,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,222,stop,NIFTY ENERGY,-8546.766899999982,-4.052952158753298,4,ha_ema21_touch,919.45,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,461,stop,NIFTY ENERGY,-10587.510399999957,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,149,target,NIFTY MIDSML HLTH,18542.930799999936,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,75,stop,NIFTY FINSEREXBNK,-6400.867499999969,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,168,stop,NIFTY CAPITAL MKT,-10284.758399999979,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
ADANIENSOL,2026-07-03,2026-07-16,1571.8702999999998,1723.8108999999993,131,target,NIFTY COMMODITIES,19904.218599999927,9.666230095447403,13,ha_ema21_touch,1495.9,n/a
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,96,target,NIFTY AUTO,8990.726399999927,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
GMRAIRPORT,2026-07-21,2026-07-22,111.81169999999999,109.69,1870,stop,NIFTY IND TOURISM,-3967.578999999981,-1.8975652816297317,1,ha_ema21_touch,109.69,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,66,stop,NIFTY METAL,-6746.055401719412,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
SHRIRAMFIN,2026-07-15,2026-07-24,1043.3422999999998,1007.0,197,stop,NIFTY FINSEREXBNK,-7159.43309999996,-3.4832576039522056,9,ha_ema21_touch,1007.0,initial
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2513,target,NIFTY MS FIN SERV,11515.018339999984,5.645088663956588,1,ha_ema21_touch,78.88,n/a
