symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,49,target,NIFTY PHARMA,11624.612999999981,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,684,target,NIFTY OIL AND GAS,14762.771999999979,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,781,target,NIFTY OIL AND GAS,19768.671999999966,9.877622377622352,23,ha_ema21_touch,243.6,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,147,stop,NIFTY PVT BANK,-10562.346899999988,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,119,target,NIFTY PHARMA,9033.81359999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,99,target,NIFTY MIDSML HLTH,15606.142199999997,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,452,stop,NIFTY IND DEFENCE,-9736.690199999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,149,target,NIFTY MIDSML HLTH,21143.636399999945,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,119,stop,NIFTY CAPITAL MKT,-10608.016999999976,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,688,stop,NIFTY MS FIN SERV,-8984.247999999987,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,197,stop,NIFTY METAL,-10379.929999999966,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,29,stop,NIFTY ENERGY,-10744.787099999987,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,454,stop,NIFTY ENERGY,-10426.745599999958,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,145,target,NIFTY MIDSML HLTH,18045.133999999936,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,43,target,NIFTY AUTO,20382.859999999942,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
