symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1037,target,NIFTY AUTO,20065.949999999906,9.913163759317566,8,ha_ema21_touch,185.52,n/a
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,49,target,NIFTY PHARMA,11624.612999999981,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
BAJAJ-AUTO,2026-02-23,2026-02-24,9858.399279974705,9670.5,21,stop,NIFTY AUTO,-3945.8848794688,-1.9059816369619287,1,ha_ema21_touch,9670.5,initial
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,696,target,NIFTY OIL AND GAS,15021.767999999978,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ICICIGI,2026-02-26,2026-02-27,1946.1441999999997,1898.0,110,stop,NIFTY MS FIN SERV,-5295.86199999997,-2.473824909788269,1,ha_ema21_touch,1898.0,initial
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,21,stop,NIFTY AUTO,-4722.374999999962,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,150,stop,NIFTY PVT BANK,-10777.904999999988,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
FEDERALBNK,2026-02-18,2026-03-09,291.34105,280.0,726,stop,NIFTY MS FIN SERV,-8233.602299999997,-3.892705816773845,19,ha_ema21_touch,282.6,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,119,target,NIFTY PHARMA,9033.81359999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-10,2026-03-11,2126.9248,2280.3743999999997,98,target,NIFTY MIDSML HLTH,15038.060799999992,7.214622726670927,1,ha_ema21_touch,2050.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,75,stop,NIFTY MS FIN SERV,-10408.274999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,460,stop,NIFTY IND DEFENCE,-9909.020999999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
GVT&D,2026-03-20,2026-03-23,3841.8379999999997,3649.0,53,stop,NIFTY ENERGY,-10220.413999999986,-5.019420392010277,3,ha_ema21_touch,3684.5587,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,147,target,NIFTY MIDSML HLTH,20859.82919999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
RBLBANK,2026-05-15,2026-05-19,338.78844999999995,322.6,609,stop,NIFTY MS FIN SERV,-9858.766049999958,-4.778335861213668,4,ha_ema21_touch,322.6,initial
BHARATFORG,2026-05-07,2026-05-20,1906.9049999999997,1831.2,108,stop,NIFTY AUTO,-8176.139999999968,-3.97004570232915,13,ha_ema21_touch,1831.2,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,658,stop,NIFTY MS FIN SERV,-8592.492999999988,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,188,stop,NIFTY METAL,-9905.719999999968,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,27,stop,NIFTY ENERGY,-10003.767299999989,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,590,target,NIFTY MS FIN SERV,15748.279999999937,7.706744122929066,12,ha_ema21_touch,333.0,n/a
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,445,stop,NIFTY ENERGY,-10220.047999999959,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,142,target,NIFTY MIDSML HLTH,17671.78639999994,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-01,2026-07-03,2672.2695999999996,2805.608799999999,75,target,NIFTY FINSEREXBNK,10000.439999999959,4.989736065552641,2,ha_ema21_touch,2605.6,n/a
ADANIGREEN,2026-07-02,2026-07-09,1547.5459999999998,1482.4,131,stop,NIFTY COMMODITIES,-8534.125999999964,-4.209632540809761,7,ha_ema21_touch,1482.4,initial
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,165,stop,NIFTY CAPITAL MKT,-10101.101999999979,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
ADANIENSOL,2026-07-03,2026-07-16,1571.8702999999998,1723.8108999999993,130,target,NIFTY COMMODITIES,19752.27799999993,9.666230095447403,13,ha_ema21_touch,1495.9,n/a
ADANIGREEN,2026-07-13,2026-07-22,1548.3467999999998,1495.7,131,stop,NIFTY COMMODITIES,-6896.730799999968,-3.400194323390582,9,ha_ema21_touch,1495.7,initial
BHARTIARTL,2026-07-15,2026-07-24,1943.0410999999997,1885.0,105,stop,NIFTY INFRA,-6094.315499999967,-2.987126726243705,9,ha_ema21_touch,1885.0,initial
UNIONBANK,2026-07-20,2026-07-24,170.77917043170314,166.25,1186,stop,NIFTY PSU BANK,-5371.59613199992,-2.6520625555529365,4,ha_ema21_touch,166.25,initial
BHEL,2026-07-24,2026-07-28,417.80890330423176,405.65,478,stop,NIFTY ENERGY,-5811.955779422793,-2.910158976525723,4,ha_ema21_touch,405.65,initial
BIOCON,2026-07-27,2026-07-30,435.874224189797,426.7,458,stop,NIFTY MIDSML HLTH,-4201.79467892704,-2.1047870419156123,3,ha_ema21_touch,426.7,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,42,target,NIFTY AUTO,19908.839999999942,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
UNIONBANK,2026-07-31,2026-08-05,171.25108,177.95324,1182,target,NIFTY PSU BANK,7921.953119999991,3.9136453913166447,5,ha_ema21_touch,167.9,n/a
