symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-02-01,2413.4109999999996,2245.0,59,stop,NIFTY MS FIN SERV,-9936.248999999976,-6.97813178111808,5,ha_ema21_touch,2245.0,initial
SHRIRAMFIN,2026-01-29,2026-02-01,1021.8708499999999,973.65,199,stop,NIFTY FINSEREXBNK,-9595.949149999986,-4.718879102970785,3,ha_ema21_touch,973.65,initial
BAJAJ-AUTO,2026-01-30,2026-02-01,9542.533,9381.5,21,stop,NIFTY AUTO,-3381.6929999999884,-1.687528877290756,2,ha_ema21_touch,9381.5,initial
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,48,target,NIFTY PHARMA,11387.375999999982,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,670,target,NIFTY OIL AND GAS,14460.60999999998,7.396719918160732,22,ha_ema21_touch,281.0,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,179,stop,NIFTY CAPITAL MKT,-10024.894999999979,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,144,stop,NIFTY PVT BANK,-10346.788799999988,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,114,target,NIFTY PHARMA,8654.241599999961,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,25,stop,NIFTY HEALTHCARE,-6774.804968622152,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
FEDERALBNK,2026-01-22,2026-03-23,280.53024999999997,255.38224263417794,397,stop,NIFTY MS FIN SERV,-9983.758924231344,-8.964454765866437,60,ha_ema21_touch,255.3822,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,443,stop,NIFTY IND DEFENCE,-9542.818049999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
JSWENERGY,2026-03-13,2026-03-23,528.5279999999999,484.0,221,stop,NIFTY COMMODITIES,-9840.68799999998,-8.424908424908406,10,ha_ema21_touch,484.0,initial
BSE,2026-04-08,2026-04-15,3002.9999999999995,3380.5353572106146,51,target,NIFTY MS FIN SERV,19254.30321774137,12.571939967053458,7,ha_ema21_touch,2814.2323,n/a
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,140,target,NIFTY MIDSML HLTH,19866.50399999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
LUPIN,2026-04-13,2026-04-22,2338.7364,2290.1,84,stop,NIFTY MIDSML HLTH,-4085.457599999989,-2.0796016173520004,9,ha_ema21_touch,2290.1,initial
CAMS,2026-05-05,2026-05-08,763.2308708767207,839.6926126301621,258,target,NIFTY MS FIN SERV,19727.12937238788,10.018166805230244,3,ha_ema21_touch,725.0,n/a
DELHIVERY,2026-05-15,2026-05-18,483.08259999999996,462.8,417,stop,NIFTY MULTI INFRA,-8457.844199999978,-4.1985780485573105,3,ha_ema21_touch,462.8,initial
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,112,stop,NIFTY CAPITAL MKT,-9984.015999999978,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,647,stop,NIFTY MS FIN SERV,-8448.849499999988,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,185,stop,NIFTY METAL,-9747.649999999969,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,27,stop,NIFTY ENERGY,-10003.767299999989,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
FORTIS,2026-06-10,2026-06-17,1005.5044999999999,945.0239169543042,159,stop,NIFTY MIDSML HLTH,-9616.41270426561,-6.014949017701632,7,ha_ema21_touch,945.0239,initial
GVT&D,2026-06-17,2026-06-19,5017.012,5571.035999999999,34,target,NIFTY ENERGY,18836.81599999998,11.042907611143837,2,ha_ema21_touch,4740.0,n/a
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,431,stop,NIFTY ENERGY,-9898.51839999996,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,138,target,NIFTY MIDSML HLTH,17173.98959999994,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
360ONE,2026-07-07,2026-07-08,1140.0389,1087.063219612892,171,stop,NIFTY MS FIN SERV,-9058.84134619547,-4.6468309447254885,1,ha_ema21_touch,1087.0632,initial
HDFCAMC,2026-07-15,2026-07-16,2760.9581999999996,2681.0,70,stop,NIFTY FINSEREXBNK,-5597.0739999999705,-2.8960308055369866,1,ha_ema21_touch,2681.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,40,target,NIFTY AUTO,18960.799999999945,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
